Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,805,0,2,156,439,642
07:34:00,100,100,6,416,100,411
07:36:00,100,100,6,50,100,1
07:38:00,600,100,88,207,891,371
07:40:00,100,200,12,100,106,100
07:42:00,100,100,2447,10,400,712
07:44:00,614,100,530,10,200,600
07:46:00,578,1,100,1,2488,1610
07:48:00,200,2,100,300,493,400
07:50:00,200,100,100,500,494,200
07:52:00,118,1,600,100,941,200
07:54:00,371,216,400,600,1385,300
07:56:00,986,1,692,600,2344,1240
07:58:00,599,1,500,300,2086,350
08:00:00,301,2,411,2600,1506,850
08:02:00,1311,1,843,100,2101,4
08:04:00,941,1,1344,720,3966,600
08:06:00,699,14,2981,400,4436,350
08:08:00,530,186,1352,836,4285,4510
08:10:00,258,100,1826,400,5876,200
08:12:00,100,100,1900,237,3161,300
08:14:00,100,100,1179,4601,2688,510
08:16:00,2385,600,7325,1181,1645,900
08:18:00,3765,349,473,2949,2222,100
08:20:00,171,105,2446,2791,3606,100
08:22:00,8,3,316,2615,1910,2600
08:24:00,450,779,6104,997,1083,1656
08:26:00,49,544,700,410,551,4900
08:28:00,800,605,1407,5480,8429,4152
08:30:00,389,1097,1401,4086,1331,1203
08:32:00,400,616,1000,2,1588,2806
08:34:00,100,692,810,1642,1359,1200
08:36:00,100,295,4886,4189,985,1312
08:38:00,630,208,510,3980,693,3507
08:40:00,100,1,701,3180,1605,201
08:42:00,12388,2,518,2148,1159,2415
08:44:00,710,4,981,988,528,955
08:46:00,259,204,712,5038,800,720
08:48:00,500,57,1730,1814,205,2118
08:50:00,1729,7,11311,2500,1799,1600
08:52:00,936,625,200,4350,984,2461
08:54:00,202,108,808,714,100,1100
08:56:00,500,602,3034,4560,875,1437
08:58:00,232,623,523,1050,830,4422
09:00:00,210,166,989,1600,674,3737
09:02:00,300,512,5547,2668,1712,3492
09:04:00,321,100,929,602,1295,2251
09:06:00,326,100,2336,8598,31,7476
09:08:00,100,2673,465,1110,1616,1300
09:10:00,398,105,1046,5577,553,5912
09:12:00,2500,531,2423,41163,3545,300
09:14:00,402,1420,508,4985,786,2614
09:16:00,1,144,1320,6557,4168,1400
09:18:00,100,2,925,7007,412,1117
09:20:00,207,25,651,4101,2386,2100
09:22:00,100,1209,710,4925,1284,700
09:24:00,300,328,1310,1907,1185,773
09:26:00,17,504,3800,5111,2368,4563
09:28:00,166,505,844,6410,1400,3957
09:30:00,500,1302,4172,5629,1031,100
09:32:00,100,500,220,980,10867,21
09:34:00,105,466,300,3505,2071,600
09:36:00,100,915,808,600,1200,402
09:38:00,300,400,841,2070,214,500
09:40:00,801,400,682,3295,1063,2779
09:42:00,883,130,1496,1122,501,300
09:44:00,100,361,1719,100,4265,10
09:46:00,500,622,7861,2822,410,332
09:48:00,3,399,856,910,786,143
09:50:00,100,1003,6957,1400,1578,145
09:52:00,441,411,4906,56,1518,2
09:54:00,100,2117,1664,2514,115,8
09:56:00,17815,515,500,104,600,92
09:58:00,200,404,418,1704,901,1
10:00:00,102,1207,5883,8518,4505,71
10:02:00,878,1245,8952,3276,799,620
10:04:00,8339,304,410,2847,200,677
10:06:00,500,100,699,5207,1347,200
10:08:00,200,300,1238,2759,216,800
10:10:00,400,3,543,1243,120,1885
10:12:00,4981,1737,582,2178,542,300
10:14:00,71,308,724,2221,1335,300
10:16:00,746,801,1547,3294,835,2350
10:18:00,404,1737,3230,3485,286,3835
10:20:00,836,400,200,3860,11488,3126
10:22:00,300,1711,1174,10047,1551,2275
10:24:00,1954,10,1205,2792,1158,2644
10:26:00,21145,100,800,6243,752,1435
10:28:00,643,100,808,1398,1610,3921
10:30:00,3212,10,948,2440,1879,1510
10:32:00,6617,800,980,2406,861,2235
10:34:00,1136,100,881,1735,3695,2197
10:36:00,3400,8964,828,600,2637,1100
10:38:00,1100,100,1185,3294,1023,1745
10:40:00,1143,3395,3064,3040,302,1500
10:42:00,100,300,518,5205,7506,1900
10:44:00,578,100,202,1500,549,1945
10:46:00,1746,4,805,1980,14303,1520
10:48:00,863,106,781,2897,1749,3147
10:50:00,307,145,608,11294,782,935
10:52:00,266,1902,3094,5500,2400,1300
10:54:00,481,1,2542,4926,7546,3135
10:56:00,448,1,995,6978,3573,1300
10:58:00,471,100,1229,3164,1504,1747
11:00:00,600,1,1016,3945,1157,435
11:02:00,1100,2,164,4674,1141,3267
11:04:00,1872,616,300,917,1560,1481
11:06:00,438,100,1810,2235,993,1735
11:08:00,3330,399,409,1227,522,710
11:10:00,100,105,1966,2277,9267,2891
11:12:00,117,202,881,4633,6417,1345
11:14:00,2407,299,327,1313,12123,3693
11:16:00,10267,600,1038,2450,8812,300
11:18:00,707,4,408,2239,2028,1526
11:20:00,200,3,1211,1220,726,2201
11:22:00,10292,207,769,2088,971,5296
11:24:00,400,144,717,1567,1260,3081
11:26:00,800,454,1324,5002,1200,3397
11:28:00,2371,1206,1266,3363,2402,3014
11:30:00,636,1859,629,3241,1979,3596
11:32:00,2224,97,420,3727,1544,2090
11:34:00,492,1067,491,4781,111,5541
11:36:00,337,300,5615,4126,1439,5150
11:38:00,100,3339,200,5603,500,592
11:40:00,17467,2211,459,3817,412,400
11:42:00,2489,214,6021,3103,1404,7680
11:44:00,1778,383,5071,2381,211,1344
11:46:00,2810,100,1248,5479,100,274
11:48:00,736,107,1704,1599,559,829
11:50:00,1543,15,1472,1607,781,909
11:52:00,3750,100,300,3880,23652,200
11:54:00,1800,500,754,2292,613,1361
11:56:00,29312,80874,425,4183,1038,829
11:58:00,5500,1,118,4167,410,2086
12:00:00,3930,25,884,3554,751,435
12:02:00,1018,500,2496,2276,9939,745
12:04:00,500,107,200,4381,6730,200
12:06:00,210,6,5065,3736,457,1066
12:08:00,710,2009,500,3705,300,725
12:10:00,6272,100,337,2463,1530,853
12:12:00,8042,2237,525,3034,642,300
12:14:00,1801,603,9749,6220,310,1555
12:16:00,436,200,1205,3494,676,1538
12:18:00,1100,100,1608,2429,495,1996
12:20:00,100,100,2169,2212,1253,680
12:22:00,1500,1001,1454,2844,2418,962
12:24:00,4468,9,446,1669,34199,7831
12:26:00,200,101,910,3698,28868,4295
12:28:00,6875,900,6823,3693,52691,6483
12:30:00,7219,10,627,1893,2513,7230
12:32:00,9230,196,1764,3614,3275,8641
12:34:00,4762,35,10042,2890,1749,2633
12:36:00,397,500,22839,4016,518,4451
12:38:00,400,1366,10568,2948,2554,7407
12:40:00,1536,1100,5235,2634,982,2413
12:42:00,15013,114,1823,1658,300,3045
12:44:00,984,251,3621,2476,12770,4954
12:46:00,6698,600,1754,3734,7352,1900
12:48:00,9223,611,2610,4262,1198,4010
12:50:00,1900,218,6985,4827,1397,2162
12:52:00,300,507,1311,2365,21465,3235
12:54:00,4381,798,1428,4033,18851,3696
12:56:00,100,311,8530,5482,59468,3406
12:58:00,2236,14,5818,4407,5625,3725
13:00:00,1530,116,1642,2203,2187,4707
13:02:00,510,1021,2115,4404,5149,477
13:04:00,1700,530,1356,4964,12220,1164
13:06:00,200,12,5849,3243,11851,1116
13:08:00,1204,227,1251,6369,25535,1024
13:10:00,13114,423,461,6346,17141,634
13:12:00,583,2018,3696,3047,3701,972
13:14:00,900,1310,719,4990,2416,1464
13:16:00,100,891,3318,5580,1239,2007
13:18:00,7629,102,1556,1728,1559,22150
13:20:00,564,109,576,5054,4105,3497
13:22:00,306,308,1679,2305,1099,957
13:24:00,681,2140,11675,7571,2335,4181
13:26:00,13260,6068,741,5033,760,1293
13:28:00,5441,176,2565,3820,6605,3405
13:30:00,500,867,1376,4059,5424,3378
13:32:00,2463,6,2495,7677,2481,445
13:34:00,72,2299,2014,5724,1042,1415
13:36:00,4424,500,2726,11517,3705,608
13:38:00,1184,700,793,13081,3231,2323
13:40:00,1827,400,1992,7958,951,1152
13:42:00,2916,2010,4135,6335,4289,336
13:44:00,6861,1437,32327,15006,3051,1672
13:46:00,2216,1305,10410,16925,4983,3168
13:48:00,4768,2425,10087,32098,3827,1697
13:50:00,6232,488,8137,17680,2726,2839
13:52:00,4405,960,10892,33767,7097,3846
13:54:00,4182,3360,8039,16163,6240,3862
13:56:00,5850,3365,9479,52592,4478,2600
13:58:00,3333,1061,9901,41790,5748,2939
14:00:00,5993,989,6479,94166,2095,2274
