Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0.0,0.0,0,0,0.0,0.0
07:32:00,20.0,209.0,2,16,0.0,0.0
07:34:00,25.0,5.0,1,500,5.0,5.0
07:36:00,100.0,1.0,61,314,26.0,20.0
07:38:00,92.0,10.0,700,100,100.0,10.0
07:40:00,100.0,1.0,265,500,1.0,16.0
07:42:00,8.0,11.0,961,261,2.0,34.0
07:44:00,10.0,4.0,152,2,196.0,63.0
07:46:00,108.0,1.0,406,600,100.0,100.0
07:48:00,259.0,1.0,94,299,100.0,100.0
07:50:00,50.0,600.0,1,12,3.0,10.0
07:52:00,12.0,600.0,100,100,1.0,5.0
07:54:00,195.0,3.0,2,100,100.0,150.0
07:56:00,195.0,3.0,515,1,100.0,260.0
07:58:00,4.0,3.0,8,100,100.0,10.0
08:00:00,1.0,100.0,161,100,100.0,600.0
08:02:00,100.0,600.0,465,100,100.0,10.0
08:04:00,600.0,600.0,265,40,100.0,25.0
08:06:00,1.0,600.0,602,2,100.0,260.0
08:08:00,1.0,100.0,198,19,200.0,50.0
08:10:00,200.0,600.0,265,600,100.0,100.0
08:12:00,260.0,100.0,1,200,100.0,100.0
08:14:00,1778.0,3.0,61,261,3.0,3.0
08:16:00,100.0,2.0,8,261,97.0,50.0
08:18:00,100.0,1.0,265,28,100.0,100.0
08:20:00,100.0,1.0,100,10,200.0,160.0
08:22:00,100.0,1146.0,192,261,200.0,87.0
08:24:00,100.0,59.0,100,261,100.0,13.0
08:26:00,200.0,5.0,200,100,3.0,110.0
08:28:00,7.0,2.0,10,600,200.0,8.0
08:30:00,100.0,1.0,100,261,260.0,52.0
08:32:00,100.0,2.0,1,100,600.0,260.0
08:34:00,100.0,2.0,25,2047,372.0,75.0
08:36:00,100.0,75.0,50,1322,372.0,108.0
08:38:00,200.0,25.0,100,600,100.0,100.0
08:40:00,600.0,4.0,100,3,600.0,700.0
08:42:00,100.0,17.0,100,99,100.0,2524.0
08:44:00,100.0,8.0,100,200,8.0,5.0
08:46:00,3841.0,23.0,300,100,100.0,10.0
08:48:00,100.0,1.0,405,10,100.0,1.0
08:50:00,100.0,1.0,100,5,100.0,2.0
08:52:00,600.0,2.0,1,864,100.0,600.0
08:54:00,454.0,10.0,604,100,100.0,100.0
08:56:00,400.0,2.0,100,32,100.0,100.0
08:58:00,300.0,13.0,151,4,3.0,100.0
09:00:00,300.0,325.0,297,140,4.0,100.0
09:02:00,38.0,100.0,500,100,1.0,400.0
09:04:00,600.0,35.0,584,100,13.0,260.0
09:06:00,600.0,1.0,828,10,1.0,100.0
09:08:00,100.0,5.0,2771,100,50.0,15.0
09:10:00,100.0,95.0,160,9,1.0,260.0
09:12:00,100.0,35.0,1266,100,20.0,600.0
09:14:00,200.0,,8,5,40.0,100.0
09:16:00,400.0,,305,135,2.0,100.0
09:18:00,96.0,,1175,1,37.0,260.0
09:20:00,100.0,,61,120,10.0,100.0
09:22:00,100.0,,700,100,343.0,600.0
09:24:00,100.0,,100,100,8.0,100.0
09:26:00,100.0,,46,1,12.0,46.0
09:28:00,300.0,,100,1,26.0,2.0
09:30:00,1.0,,100,10,14.0,2.0
09:32:00,97.0,,891,4,1.0,100.0
09:34:00,800.0,,120,9,260.0,6.0
09:36:00,317.0,,127,100,200.0,100.0
09:38:00,9.0,,397,1,4.0,48.0
09:40:00,1.0,,328,2,2.0,15.0
09:42:00,4.0,,199,10,398.0,85.0
09:44:00,96.0,,1,50,2.0,1.0
09:46:00,10.0,,244,38,2.0,1.0
09:48:00,100.0,,969,10,50.0,1.0
09:50:00,100.0,,500,100,67.0,10.0
09:52:00,1.0,,100,10,4.0,86.0
09:54:00,1.0,,700,100,1.0,1.0
09:56:00,34.0,,1462,150,1.0,100.0
09:58:00,100.0,,884,10,10.0,100.0
10:00:00,100.0,,200,50,4.0,600.0
10:02:00,9.0,,29,100,433.0,260.0
10:04:00,100.0,,52,3,600.0,1.0
10:06:00,100.0,,1,1,100.0,3.0
10:08:00,2.0,,184,50,80.0,3.0
10:10:00,100.0,,38,50,100.0,100.0
10:12:00,1.0,,23,500,117.0,71.0
10:14:00,1.0,,86,83,100.0,29.0
10:16:00,3.0,,1,30,83.0,100.0
10:18:00,97.0,,19,76,1.0,100.0
10:20:00,73.0,,5,104,1.0,100.0
10:22:00,27.0,,12,100,100.0,100.0
10:24:00,100.0,,71,100,100.0,100.0
10:26:00,1.0,,2,174,100.0,100.0
10:28:00,197.0,,100,1,347.0,1.0
10:30:00,100.0,,265,1,100.0,171.0
10:32:00,2.0,,3,10,100.0,32.0
10:34:00,98.0,,68,100,77.0,260.0
10:36:00,1.0,,8,4,100.0,200.0
10:38:00,200.0,,125,10,100.0,1.0
10:40:00,1.0,,140,100,100.0,260.0
10:42:00,100.0,,100,1,100.0,10.0
10:44:00,14.0,,23,2,260.0,7.0
10:46:00,5.0,,511,10,1796.0,1.0
10:48:00,224.0,,6,1,100.0,1.0
10:50:00,3.0,,2200,93,100.0,24.0
10:52:00,71.0,,84,1,100.0,100.0
10:54:00,5.0,,108,10,100.0,20.0
10:56:00,6.0,,7,290,100.0,63.0
10:58:00,7.0,,115,3,910.0,308.0
11:00:00,100.0,,253,100,100.0,100.0
11:02:00,388.0,,30,1,100.0,100.0
11:04:00,100.0,,15,1,100.0,4.0
11:06:00,100.0,,3,1,100.0,96.0
11:08:00,152.0,,1,100,100.0,100.0
11:10:00,50.0,,1,10,19.0,100.0
11:12:00,2.0,,100,19,,2.0
11:14:00,600.0,,37,1,,98.0
11:16:00,100.0,,2,71,,100.0
11:18:00,100.0,,50,1,,30.0
11:20:00,100.0,,6,2,,10.0
11:22:00,189.0,,1,2,,10.0
11:24:00,1.0,,5,2,,200.0
11:26:00,100.0,,28,4,,100.0
11:28:00,10.0,,2,100,,61.0
11:30:00,265.0,,2,172,,100.0
11:32:00,265.0,,5,66,,100.0
11:34:00,265.0,,100,32,,100.0
11:36:00,265.0,,100,73,,100.0
11:38:00,265.0,,200,61,,100.0
11:40:00,265.0,,100,20,,500.0
11:42:00,100.0,,100,1,,100.0
11:44:00,300.0,,600,1,,300.0
11:46:00,65.0,,100,2,,100.0
11:48:00,265.0,,100,1,,100.0
11:50:00,100.0,,1,3,,150.0
11:52:00,265.0,,100,30,,150.0
11:54:00,300.0,,40,100,,
11:56:00,100.0,,600,40,,
11:58:00,48.0,,100,10,,
12:00:00,1.0,,300,77,,
12:02:00,300.0,,150,100,,
12:04:00,265.0,,265,37,,
12:06:00,400.0,,100,63,,
12:08:00,265.0,,265,100,,
12:10:00,265.0,,99,1,,
12:12:00,200.0,,100,1,,
12:14:00,13.0,,100,99,,
12:16:00,265.0,,100,100,,
12:18:00,200.0,,100,10,,
12:20:00,265.0,,61,9,,
12:22:00,265.0,,79,10,,
12:24:00,135.0,,6,10,,
12:26:00,200.0,,100,90,,
12:28:00,265.0,,354,10,,
12:30:00,100.0,,300,10,,
12:32:00,265.0,,100,60,,
12:34:00,100.0,,100,4,,
12:36:00,400.0,,100,2,,
12:38:00,13.0,,100,100,,
12:40:00,265.0,,2,10,,
12:42:00,265.0,,100,63,,
12:44:00,100.0,,100,100,,
12:46:00,400.0,,1,25,,
12:48:00,0.0,,300,1,,
12:50:00,0.0,,9,200,,
12:52:00,0.0,,100,100,,
12:54:00,0.0,,100,100,,
12:56:00,0.0,,35,63,,
12:58:00,0.0,,100,1,,
13:00:00,0.0,,165,5,,
13:02:00,0.0,,100,25,,
13:04:00,0.0,,100,3,,
13:06:00,0.0,,99,200,,
13:08:00,0.0,,100,100,,
13:10:00,0.0,,100,100,,
13:12:00,0.0,,100,100,,
13:14:00,0.0,,100,1,,
13:16:00,0.0,,1,9,,
13:18:00,0.0,,100,10,,
13:20:00,0.0,,100,176,,
13:22:00,0.0,,100,3,,
13:24:00,0.0,,100,200,,
13:26:00,0.0,,600,200,,
13:28:00,0.0,,200,14,,
13:30:00,0.0,,30,100,,
13:32:00,0.0,,601,1,,
13:34:00,0.0,,100,25,,
13:36:00,0.0,,100,200,,
13:38:00,0.0,,665,200,,
13:40:00,0.0,,1,37,,
13:42:00,0.0,,100,100,,
13:44:00,0.0,,8,334,,
13:46:00,0.0,,92,591,,
13:48:00,0.0,,300,261,,
13:50:00,0.0,,100,500,,
13:52:00,0.0,,465,1200,,
13:54:00,0.0,,400,183,,
13:56:00,0.0,,600,656,,
13:58:00,0.0,,100,2514,,
14:00:00,0.0,,293,9440,,
