Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,272509,0,0
07:32:00,21526,1003,38176,1403,2942,4717
07:34:00,33466,1704,36778,27529,1600,27994
07:36:00,7106,468,21177,6305,9592,18815
07:38:00,31945,917,6800,30424,25320,39500
07:40:00,61207,951,12447,14700,2701,143712
07:42:00,28796,600,43748,2025000,31378,44767
07:44:00,44116,1006,9897,10001,4501,12262
07:46:00,66371,702,7715,11300,27464,19700
07:48:00,61149,3822,17719,9955,10800,13343
07:50:00,23881,1047,6134,78300,50839,15708
07:52:00,39790,4288,20419,50021,46116,17673
07:54:00,25061,600,19949,184779,5101,44038
07:56:00,30610,1100,41355,70310,35799,46000
07:58:00,22974,6869,58708,300,45207,26472
08:00:00,16083,1404,32436,21966,1105,41300
08:02:00,53386,16,73581,16349,7319,26062
08:04:00,22231,904,6390,39011,36742,11848
08:06:00,34395,4596,32323,41382,15223,38150
08:08:00,56451,844,16103,42870,27407,16394
08:10:00,33065,2503,6000,93332,33021,5954
08:12:00,21083,545,26983,61382,15247,53084
08:14:00,83382,1407,33435,38872,52483,200
08:16:00,26290,1730,46673,96643,96565,47249
08:18:00,11027,23477,38414,20970,2040,7276
08:20:00,10707,561,56748,84625,23414,73882
08:22:00,16440,233,25600,126764,7679,14508
08:24:00,59867,946,23031,79470,3000,31253
08:26:00,18468,4669,63979,92665,13107,4150
08:28:00,34024,3708,8500,53567,5239,13253
08:30:00,21890,11049,89300,34245,11196,8626
08:32:00,52743,2055,9736,73871,6529,8886
08:34:00,43741,5186,67713,78545,44707,14204
08:36:00,8200,1056,4300,62806,21897,7370
08:38:00,44825,1572,40480,703660,69292,16595
08:40:00,18202,14656,36736,4362865,97451,1201
08:42:00,37212,302,49235,13396,12806,29346
08:44:00,39218,685,16800,39000,26912,25115
08:46:00,14753,43,86148,28654,22687,3400
08:48:00,76769,8986,60327,1836608,37490,13200
08:50:00,26297,6741,101271,80160,10105,5300
08:52:00,90542,7518,54528,86731,10395,34829
08:54:00,43993,8180,24000,73196,22026,5300
08:56:00,33108,1287,288660,51075,11633,21567
08:58:00,96071,15964,450672,6067178,68173,12162
09:00:00,40692,1467,341569,36394,86700,10888
09:02:00,67042,2824,36600,79406,20720,17101
09:04:00,47657,854,53879,55791,2541,11102
09:06:00,21286,5694,75964,42248,38019,12410
09:08:00,32001,2187,80976,83614,3736,20184
09:10:00,53390,16089,48227,46306,23889,3820
09:12:00,31045,466,267036,46573,68103,1500
09:14:00,74495,3268,57807,67800,14639,12500
09:16:00,48685,746,49064,51714,300,1000
09:18:00,33095,8239,51098,47623,17915,27644
09:20:00,40554,4894,127663,65008,60064,2168
09:22:00,48073,5545,107021,116805,1800,1500
09:24:00,37738,756,124975,44471,53266,32100
09:26:00,59376,3537,39106,17959,44500,41930
09:28:00,76375,10037,71844,25084,49103,19116
09:30:00,7253,5351,94014,58540,9600,11800
09:32:00,39023,3206,77669,139694,11628,16126
09:34:00,9175,227,41214,35510,13700,8832
09:36:00,34909,7205,90368,42421,20743,23327
09:38:00,18471,1319,65458,57885,23549,6679
09:40:00,28905,12211,26789,66893,491,16815
09:42:00,49732,1043,65920,39636,100,18875
09:44:00,28032,826,481778,20900,11536,11700
09:46:00,20091,15501,806006,35637,5900,1000
09:48:00,25067,17908,64500,70863,8000,6131
09:50:00,29770,4069,40296,31762,16890,17359
09:52:00,66693,14451,89406,75675,29607,4574
09:54:00,18414,5889,14600,51750,3000,4025
09:56:00,4000,9570,43578,125845,5301,13200
09:58:00,50910,11573,75084,47383,16689,13484
10:00:00,18897,13111,54002,80041,5121,12670
10:02:00,27238,4424,137745,84601,22851,9001
10:04:00,43128,34823,42212,57406,10611,4825
10:06:00,41709,17369,77453,100357,3300,10091
10:08:00,27818,13925,86108,70319,5635,9297
10:10:00,39058,17173,125565,80341,16622,1400
10:12:00,15370,11958,103180,91148,8701,7500
10:14:00,16260,13323,39078,77157,2300,7196
10:16:00,29050,10693,45210,67642,1400,4077
10:18:00,7900,27464,79669,64149,47832,21102
10:20:00,13788,3357,46621,110682,600,9032
10:22:00,31213,9009,107268,261143,2800,22920
10:24:00,27349,8107,104822,145317,16218,71577
10:26:00,142800,11277,26218,81123,5100,53801
10:28:00,23661,8530,62309,56446,43601,13412
10:30:00,13609,11614,55806,87856,5211,39991
10:32:00,13378,32998,64173,93874,3149,39961
10:34:00,38408,28860,36340,83487,11100,10173
10:36:00,20785,32197,90124,115015,6600,14500
10:38:00,37738,15073,80390,96649,19700,17452
10:40:00,2712,14949,35709,88840,17548,19546
10:42:00,2900,7093,32832,79312,3900,35400
10:44:00,49479,15799,59295,54946,3624,8200
10:46:00,2694,17135,131313,53689,14831,42591
10:48:00,36159,25419,27300,59457,7200,3001
10:50:00,10600,23274,47594,47500,17745,6080
10:52:00,52564,46089,66335,63224,2600,6210
10:54:00,4600,18884,91410,65609,19500,9050
10:56:00,15700,16725,127392,95460,10401,3750
10:58:00,66830,11165,28891,39594,5800,16157
11:00:00,15330,17578,144845,68010,5100,3550
11:02:00,17157,9389,57481,88403,5100,4800
11:04:00,80594,13596,81308,45550,11900,5258
11:06:00,45312,10290,45480,72205,14367,7900
11:08:00,7554,28030,118445,72697,9979,7300
11:10:00,44708,10939,141635,39744,17227,11000
11:12:00,169227,15052,103713,87629,15101,4178
11:14:00,73335,24832,47786,86493,82720,34644
11:16:00,122113,12924,40800,128700,17751,15800
11:18:00,24296,11661,76575,53217,62174,12210
11:20:00,86255,12381,53871,905316,3800,40456
11:22:00,15600,16487,99378,65831,3200,15024
11:24:00,58449,23896,113060,100272,25300,8900
11:26:00,800,3839,110790,123317,3336,3800
11:28:00,95281,41241,39763,123500,6621,13000
11:30:00,11800,13386,91330,58248,3100,29917
11:32:00,31089,8363,82209,56810,19479,41478
11:34:00,86419,23403,47695,99052,5500,2658
11:36:00,25694,14564,38823,50462,6920,12180
11:38:00,5100,23275,91387,133332,22782,14282
11:40:00,64203,22451,135030,124850,13200,13804
11:42:00,25331,18398,135238,121708,15800,12540
11:44:00,5346,21957,96173,107279,37331,16543
11:46:00,6446,20665,88027,88426,18880,14034
11:48:00,32115,15388,86344,58077,10700,50901
11:50:00,22434,20029,46508,83348,45185,21203
11:52:00,84105,39095,103886,59312,17601,1200
11:54:00,10434,40160,107865,76760,16184,42478
11:56:00,28920,16176,93626,87062,34926,32577
11:58:00,13997,27308,87435,48717,28900,8100
12:00:00,41668,12490,67100,106243,43621,14373
12:02:00,153676,60581,86224,64691,29394,12181
12:04:00,47282,7700,57151,96133,900,42372
12:06:00,7336,18704,40600,126445,15400,6557
12:08:00,8403,29878,96701,2967501,17556,10709
12:10:00,39585,31937,178983,62197,5546,1600
12:12:00,26034,16801,79266,268043,2000,10860
12:14:00,8575,16130,59800,84462,4624,37717
12:16:00,20732,27292,62202,40954,15000,11397
12:18:00,53267,37433,63211,54104,6528,18708
12:20:00,40125,32532,64399,69406,32800,9624
12:22:00,48049,25457,47563,38588,34000,7110
12:24:00,1756,22424,75875,57279,44785,3495
12:26:00,48539,39296,87561,102178,6100,2900
12:28:00,17585,33240,80679,153584,20996,31652
