Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,9,78.0,3,0,0,2
07:34:00,600,10.0,1,2395,376,273
07:36:00,200,1.0,6,635,286,495
07:38:00,52,600.0,3528,500,100,100
07:40:00,100,600.0,1002,48,20,156
07:42:00,600,5.0,999,1886,100,44
07:44:00,601,100.0,15,100,150,700
07:46:00,100,100.0,1,200,50,544
07:48:00,600,200.0,603,100,100,134
07:50:00,3,100.0,270,100,52,100
07:52:00,303,100.0,3,10,48,170
07:54:00,597,100.0,235,100,52,180
07:56:00,564,310.0,370,90,1,300
07:58:00,100,600.0,600,200,1,252
08:00:00,100,600.0,134,100,100,134
08:02:00,100,100.0,161,1208,600,200
08:04:00,100,600.0,355,900,600,2135
08:06:00,100,100.0,500,800,1596,19
08:08:00,300,544.0,87,1802,529,300
08:10:00,100,200.0,1145,610,2145,300
08:12:00,100,100.0,2,100,100,519
08:14:00,300,10.0,443,134,1028,1590
08:16:00,200,5.0,353,600,289,1093
08:18:00,100,10.0,20,150,10,25
08:20:00,286,2.0,600,2568,100,234
08:22:00,400,10.0,135,100,10,38
08:24:00,859,1.0,5,420,50,1800
08:26:00,300,28.0,100,1634,77,2569
08:28:00,100,1.0,600,13155,100,200
08:30:00,34,10.0,800,7732,100,2082
08:32:00,57,100.0,100,200,600,2
08:34:00,2300,100.0,100,100,300,256
08:36:00,2852,100.0,1112,400,242,300
08:38:00,100,2.0,450,168,11,10
08:40:00,1213,100.0,1,100,200,479
08:42:00,100,100.0,200,700,32,3
08:44:00,100,400.0,100,1400,270,1242
08:46:00,100,2.0,100,100,78,552
08:48:00,1200,1.0,1734,100,92,19
08:50:00,600,100.0,200,100,100,81
08:52:00,100,100.0,100,800,100,100
08:54:00,300,20.0,600,600,100,275
08:56:00,100,100.0,500,300,10,638
08:58:00,2700,100.0,100,900,15,715
09:00:00,210,100.0,739,200,80,234
09:02:00,37,100.0,119,564,30,845
09:04:00,100,100.0,335,3100,150,13
09:06:00,100,300.0,1457,800,100,1485
09:08:00,100,600.0,459,644,100,134
09:10:00,100,200.0,393,100,10,888
09:12:00,200,100.0,484,603,100,1579
09:14:00,310,1.0,284,8,100,24
09:16:00,100,99.0,551,1426,100,5987
09:18:00,100,50.0,600,200,100,300
09:20:00,2,50.0,168,116,1,100
09:22:00,100,100.0,731,100,100,319
09:24:00,100,100.0,1195,100,100,100
09:26:00,100,50.0,533,500,12,2244
09:28:00,10,100.0,100,696,100,100
09:30:00,100,100.0,322,1346,100,400
09:32:00,100,100.0,1292,2,100,1695
09:34:00,100,50.0,422,200,1,181
09:36:00,20,50.0,83,600,27,546
09:38:00,900,100.0,295,200,27,1292
09:40:00,200,50.0,556,900,10,1034
09:42:00,102,50.0,72,300,100,230
09:44:00,120,100.0,28,100,27,719
09:46:00,200,100.0,152,1,73,5
09:48:00,200,100.0,100,300,27,400
09:50:00,1050,100.0,30,200,27,19
09:52:00,897,100.0,200,100,100,2
09:54:00,481,100.0,3722,300,100,121
09:56:00,100,100.0,54,600,27,5828
09:58:00,100,100.0,600,300,27,392
10:00:00,342,100.0,1506,815,27,319
10:02:00,100,100.0,443,100,10,619
10:04:00,100,100.0,189,100,20,1919
10:06:00,202,100.0,174,100,27,1111
10:08:00,14,100.0,616,100,10,121
10:10:00,200,100.0,27,100,10,100
10:12:00,50,68.0,200,456,27,1600
10:14:00,1045,32.0,238,200,10,400
10:16:00,100,200.0,108,100,27,500
10:18:00,210,100.0,343,100,4,258
10:20:00,94,100.0,179,700,100,488
10:22:00,200,100.0,178,190,600,660
10:24:00,200,100.0,27,100,572,55
10:26:00,100,5.0,181,110,27,1961
10:28:00,112,95.0,241,100,27,1734
10:30:00,100,100.0,27,210,10,115
10:32:00,500,100.0,181,700,10,500
10:34:00,100,100.0,134,2869,100,10354
10:36:00,100,100.0,81,900,100,229
10:38:00,100,100.0,181,100,100,19
10:40:00,18,1200.0,28,100,100,181
10:42:00,247,,495,683,100,580
10:44:00,400,,100,600,27,1973
10:46:00,2188,,505,100,27,438
10:48:00,200,,27,400,10,1711
10:50:00,200,,127,1569,400,500
10:52:00,400,,48,541,10,1543
10:54:00,500,,10,1301,100,100
10:56:00,600,,270,100,100,233
10:58:00,810,,37,1850,87,419
11:00:00,100,,1515,100,100,238
11:02:00,100,,88,100,100,262
11:04:00,100,,258,210,400,210
11:06:00,10,,27,2075,100,1331
11:08:00,100,,54,100,100,899
11:10:00,25,,954,300,100,200
11:12:00,100,,127,1360,772,20
11:14:00,10,,439,300,27,1253
11:16:00,100,,608,900,20,348
11:18:00,100,,537,100,27,1000
11:20:00,100,,254,312,100,811
11:22:00,100,,104,41,717,214
11:24:00,100,,40,48,27,711
11:26:00,100,,197,791,27,619
11:28:00,100,,52,600,146,619
11:30:00,200,,38,1500,100,1010
11:32:00,100,,489,300,54,1250
11:34:00,100,,27,200,408,3785
11:36:00,100,,251,1,150,307
11:38:00,100,,27,1310,300,100
11:40:00,100,,27,980,100,323
11:42:00,66,,127,140,100,2403
11:44:00,34,,450,229,100,1896
11:46:00,100,,54,100,3,19
11:48:00,34,,319,10,97,1278
11:50:00,66,,30,700,3,419
11:52:00,1821,,84,100,27,38
11:54:00,100,,135,10,100,319
11:56:00,100,,834,1400,100,119
11:58:00,3,,282,901,100,2890
12:00:00,400,,27,318,300,219
12:02:00,100,,227,570,27,119
12:04:00,100,,59,118,281,19
12:06:00,10,,1327,300,27,2258
12:08:00,100,,154,310,497,2
12:10:00,100,,27,10,200,719
12:12:00,100,,27,100,10,219
12:14:00,100,,100,300,27,105
12:16:00,120,,647,10,100,19
12:18:00,100,,27,100,5,100
12:20:00,124,,944,380,4,100
