Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,0,78,2,86,77,18
07:34:00,100,100,10,261,50,107
07:36:00,404,100,1,10,100,5
07:38:00,100,100,15,140,134,5
07:40:00,660,38,100,70,6,100
07:42:00,904,4,10,2,100,83
07:44:00,1011,1,100,50,4,1
07:46:00,53,100,100,200,300,100
07:48:00,684,10,8,1,96,100
07:50:00,401,2,8,830,300,100
07:52:00,100,100,101,317,300,100
07:54:00,10,100,400,102,24,20
07:56:00,75,2,1401,70,1,1
07:58:00,68,100,1600,200,10,69
08:00:00,538,100,3905,200,2,10
08:02:00,448,15,200,200,2,100
08:04:00,6,40,133,1472,340,100
08:06:00,100,1,978,25,1,100
08:08:00,409,1,111,220,1,100
08:10:00,136,1,300,200,12,100
08:12:00,894,4,4,465,1,2
08:14:00,3,1,3,100,5,198
08:16:00,620,2,7,361,69,100
08:18:00,499,1,112,3216,31,1
08:20:00,200,10,370,480,31,9
08:22:00,372,2,481,240,69,1
08:24:00,97,100,2500,1098,60,100
08:26:00,100,1,100,334,60,100
08:28:00,1006,99,100,7382,5,1
08:30:00,112,1,131,146,69,100
08:32:00,100,100,138,368,69,100
08:34:00,298,34,520,268,69,1
08:36:00,237,16,230,1260,31,3
08:38:00,1046,200,320,625,69,2
08:40:00,100,14,370,303,87,1
08:42:00,100,6,280,1146,113,8
08:44:00,740,1,190,311,1,3
08:46:00,600,1,364,75,10,5
08:48:00,105,1,875,101,69,100
08:50:00,220,100,908,201,30,30
08:52:00,523,11,2440,624,69,1
08:54:00,212,5,201,359,30,69
08:56:00,106,1,318,170,106,100
08:58:00,1270,2,100,307,1,100
09:00:00,774,3,811,393,310,69
09:02:00,2796,3,100,100,212,31
09:04:00,2909,97,200,200,669,100
09:06:00,3,1,400,100,300,2
09:08:00,200,21,216,570,291,22
09:10:00,400,3,100,200,200,69
09:12:00,1207,12,211,810,792,3
09:14:00,620,26,100,530,200,100
09:16:00,498,82,100,2410,1122,100
09:18:00,100,2,100,1622,100,10
09:20:00,300,3,100,1652,99,100
09:22:00,100,206,100,2093,1,100
09:24:00,100,3,1398,1760,4,200
09:26:00,1101,21,540,3431,42,16
09:28:00,400,20,765,2692,20,184
09:30:00,105,124,1210,1439,34,65
09:32:00,1174,2,5,4076,66,77
09:34:00,100,2,100,2814,100,154
09:36:00,172,5,310,2597,100,173
09:38:00,100,5,520,2324,100,1
09:40:00,170,100,101,3024,162,173
09:42:00,600,100,212,2134,10,100
09:44:00,101,90,900,1822,92,100
09:46:00,203,10,502,2828,3,100
09:48:00,200,1,1,3276,5,62
09:50:00,400,1,100,2870,100,500
09:52:00,964,10,301,3857,100,200
09:54:00,10,100,100,520,1,100
09:56:00,100,1,692,2427,10,100
09:58:00,3,1,222,2301,100,11
