Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,555,4,2559,212,774,888
07:34:00,537,10,5,459,527,100
07:36:00,860,1,28,212,1149,300
07:38:00,385,1,773,240,939,564
07:40:00,454,6,870,357,697,2137
07:42:00,1148,90,369,2571,1092,1716
07:44:00,1005,2,105,29,522,1514
07:46:00,815,1,34,110,2135,107
07:48:00,1712,6,1006,189,1612,910
07:50:00,1205,100,120,32,384,8
07:52:00,692,1,194,1630,931,810
07:54:00,491,10,48,212,514,208
07:56:00,806,1,370,15,493,1139
07:58:00,753,10,271,826,898,105
08:00:00,372,1,1655,101,2083,420
08:02:00,395,100,823,411,1039,704
08:04:00,1000,1,450,1302,739,2
08:06:00,1661,100,240,101,1353,532
08:08:00,1597,10,565,335,1488,371
08:10:00,194,14,117,355,867,112
08:12:00,498,60,429,419,945,314
08:14:00,954,5,517,683,1215,8
08:16:00,1564,12,666,30,361,2626
08:18:00,825,2,241,835,1930,301
08:20:00,425,30,152,966,2378,8883
08:22:00,1253,30,580,789,71,9
08:24:00,1065,10,538,302,186,234
08:26:00,905,9,432,544,630,112
08:28:00,840,1,817,240,300,107
08:30:00,1456,10,530,106,547,545
08:32:00,170,10,1229,446,1792,10
08:34:00,2826,20,215,1080,800,127
08:36:00,1006,5,412,200,731,2091
08:38:00,1112,2,585,600,1631,309
08:40:00,1424,1,1082,464,2358,332
08:42:00,2133,100,3118,825,491,3062
08:44:00,1390,5,1128,859,659,309
08:46:00,1162,4,1164,2659,1108,12
08:48:00,370,1,612,1276,738,1407
08:50:00,1039,4,3165,794,1059,19
08:52:00,702,17,1036,115,2475,119
08:54:00,1232,5,709,313,725,313
08:56:00,1172,70,1476,120,2453,237
08:58:00,405,1,604,1983,3042,316
09:00:00,110,48,629,232,3817,109
09:02:00,1578,52,320,1252,2050,119
09:04:00,706,10,709,1623,184,128
09:06:00,810,1,1413,725,1571,107
09:08:00,600,100,1348,1897,1373,22
09:10:00,1242,48,1394,25,768,19
09:12:00,3179,329,803,595,5128,257
09:14:00,864,27,912,193,3239,26
09:16:00,287,48,1074,601,1017,7
09:18:00,234,48,532,935,1153,5
09:20:00,1503,52,398,224,992,37
09:22:00,292,239,1575,380,819,32
09:24:00,235,10,1332,945,534,110
09:26:00,472,48,688,200,503,381
09:28:00,820,85,426,107,675,107
09:30:00,2907,10,1519,675,169,15
09:32:00,303,20,822,1115,1348,216
09:34:00,859,4,765,681,1087,22
09:36:00,274,100,1060,234,3233,14
09:38:00,703,10,276,282,1395,109
09:40:00,1468,34,596,602,1429,705
09:42:00,581,49,799,1876,387,20
09:44:00,623,312,321,166,995,1202
09:46:00,1238,101,1389,922,49,22
09:48:00,332,595,605,1102,970,5
09:50:00,658,89,833,811,312,309
09:52:00,1104,10,530,570,886,16
09:54:00,887,13,10479,332,442,158
09:56:00,920,198,305,324,101,7
09:58:00,743,11,1070,1342,643,47
10:00:00,1085,17,697,587,539,116
10:02:00,704,100,1527,494,758,16
10:04:00,1140,210,154,352,341,107
10:06:00,1008,101,599,100,741,158
10:08:00,1150,120,707,318,266,115
10:10:00,1076,13,551,511,205,243
10:12:00,1977,139,4689,1541,1104,114
10:14:00,919,10,2031,447,448,182
10:16:00,553,100,4134,860,2931,94
10:18:00,1368,60,1061,300,374,124
10:20:00,1419,11,771,196,243,317
10:22:00,468,30,713,796,362,63
10:24:00,2503,32,2606,342,458,106
10:26:00,1068,12,740,1058,848,463
10:28:00,1109,90,4934,320,273,113
10:30:00,98,10,526,455,322,367
10:32:00,765,2,992,1728,968,170
10:34:00,473,251,2595,579,380,101
10:36:00,668,1,5940,1038,747,167
10:38:00,406,200,9438,1199,411,24
10:40:00,374,1,271,307,338,136
10:42:00,2012,209,1747,828,153,211
10:44:00,447,174,1317,522,777,120
10:46:00,686,20,2344,419,1004,62
10:48:00,262,199,1936,517,136,216
10:50:00,592,35,1233,1705,429,110
10:52:00,616,352,2315,240,36,9
10:54:00,180,2,481,1111,822,555
10:56:00,266,40,897,115,366,167
10:58:00,888,40,958,681,360,106
11:00:00,296,2,1257,400,777,588
11:02:00,646,100,1159,1242,73,154
11:04:00,962,182,1498,249,439,7
11:06:00,497,40,1079,221,935,5
11:08:00,94,1,466,967,156,10
11:10:00,991,3,1047,907,2850,57
11:12:00,171,101,3027,1650,326,105
11:14:00,732,100,2412,1459,1521,272
11:16:00,882,500,1675,238,360,7
11:18:00,509,585,5380,1403,109,159
11:20:00,517,100,4237,402,1062,10
11:22:00,556,330,1912,633,445,167
11:24:00,697,506,1674,580,1719,163
11:26:00,284,215,2039,499,271,417
11:28:00,1206,415,1780,694,103,13
11:30:00,330,535,771,3074,2179,9
11:32:00,680,300,3146,1990,494,101
11:34:00,1820,202,191,300,320,305
11:36:00,1327,133,1071,185,1691,37
11:38:00,771,51,1128,1026,8204,177
11:40:00,2238,1,4344,735,2060,13
11:42:00,883,185,1525,268,477,20
11:44:00,1061,100,3972,1247,931,147
11:46:00,1393,20,1762,223,2288,128
11:48:00,483,168,2875,452,185,10
11:50:00,1637,35,4723,128,1543,314
11:52:00,196,402,396,64,517,141
11:54:00,153,63,2097,524,1173,65
11:56:00,386,96,997,1056,209,74
11:58:00,1137,23,1693,262,1011,109
12:00:00,1319,100,1099,1082,1255,20
12:02:00,146,1,767,566,2008,70
12:04:00,563,113,1298,1196,487,56
12:06:00,1383,12,1038,560,368,74
12:08:00,1050,140,1560,154,1956,71
12:10:00,935,419,1236,1358,679,10
12:12:00,176,35,1908,294,3151,40
12:14:00,546,15,1252,236,1332,100
12:16:00,1174,50,829,1221,1931,9
12:18:00,420,84,415,339,1025,73
12:20:00,326,18,2659,905,502,156
12:22:00,813,84,1528,676,1898,234
12:24:00,407,60,1141,300,1060,86
12:26:00,164,5,2795,810,2128,24
12:28:00,401,4,1812,747,928,65
12:30:00,832,5,297,660,753,220
12:32:00,1706,6,4363,831,1798,320
12:34:00,156,601,947,709,1995,125
12:36:00,1507,3,1477,1209,340,77
12:38:00,406,20,899,611,1497,20
12:40:00,451,5,1455,2176,1080,15
12:42:00,547,251,958,1526,1922,319
12:44:00,1325,58,1775,1907,3967,310
12:46:00,250,1,7476,2800,516,3
12:48:00,975,165,1663,1651,2280,215
12:50:00,261,170,3418,4513,571,12
12:52:00,724,11,2718,1491,2888,338
12:54:00,357,209,1779,1149,1171,31
12:56:00,635,285,2649,1207,3546,65
12:58:00,468,298,2854,892,200,77
13:00:00,187,100,1494,1199,2080,628
13:02:00,387,117,2748,2743,1457,707
13:04:00,571,135,2681,917,359,426
13:06:00,241,30,2256,1115,758,102
13:08:00,430,5,3036,2782,2319,116
13:10:00,413,565,1672,2573,1512,30
13:12:00,2002,10,2474,1514,2640,113
13:14:00,392,5,1382,1560,2234,447
13:16:00,597,1,3202,656,2456,87
13:18:00,134,10,2459,1039,972,34
13:20:00,967,18,1857,1165,2107,538
13:22:00,544,19,4716,1957,1600,109
13:24:00,200,545,2510,1060,1579,281
13:26:00,469,820,2053,1713,2631,289
13:28:00,139,6,4770,1958,920,330
13:30:00,1368,15,2530,2025,1301,381
13:32:00,477,277,1020,5674,1873,333
13:34:00,969,650,3007,20799,146,221
13:36:00,300,121,1546,6630,871,436
13:38:00,146,364,3018,11775,638,838
13:40:00,311,377,1701,11917,1259,20
13:42:00,3114,583,3304,7975,1502,1078
13:44:00,1497,339,3380,6867,4235,2035
13:46:00,1695,867,4101,26125,1721,994
13:48:00,2022,1357,3684,33046,2837,2153
13:50:00,3168,1126,4057,12639,1397,1721
13:52:00,3266,513,4850,18898,4184,3704
13:54:00,3622,1125,12379,20608,5514,1204
13:56:00,7092,1370,1893,9785,3838,2450
13:58:00,6169,1493,4406,17462,12460,1124
14:00:00,2658,786,2338,15904,10227,1873
