Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,8,0.0,0,0,0,0
07:34:00,50,5.0,50,74,71,3
07:36:00,3,17.0,350,50,66,3
07:38:00,113,100.0,100,71,5,60
07:40:00,100,507.0,10,6,100,600
07:42:00,100,27.0,3,600,50,600
07:44:00,71,73.0,33,200,150,600
07:46:00,29,1.0,600,110,100,100
07:48:00,100,100.0,266,71,600,7
07:50:00,100,100.0,3,600,71,70
07:52:00,100,200.0,97,71,90,70
07:54:00,42,200.0,71,71,8,70
07:56:00,100,200.0,71,21,2,50
07:58:00,100,200.0,150,29,277,50
08:00:00,100,100.0,3,32,52,150
08:02:00,100,100.0,71,71,100,100
08:04:00,100,600.0,600,100,266,42
08:06:00,2,1.0,100,600,221,100
08:08:00,100,100.0,71,300,16,100
08:10:00,44,100.0,463,100,166,70
08:12:00,56,100.0,4,100,300,17
08:14:00,44,100.0,7,71,100,90
08:16:00,600,100.0,6,129,500,10
08:18:00,600,100.0,94,100,100,100
08:20:00,600,100.0,56,140,16,600
08:22:00,100,100.0,200,600,100,600
08:24:00,200,100.0,44,600,100,600
08:26:00,200,600.0,423,71,498,100
08:28:00,200,600.0,389,600,10,50
08:30:00,230,100.0,47,100,100,100
08:32:00,250,100.0,38,71,48,30
08:34:00,14,100.0,15,200,141,70
08:36:00,71,100.0,25,9,600,70
08:38:00,129,100.0,92,50,36,100
08:40:00,160,100.0,85,12,100,700
08:42:00,40,100.0,80,1,100,142
08:44:00,100,98.0,736,49,13,350
08:46:00,64,100.0,655,3,102,1488
08:48:00,193,1.0,78,20,30,100
08:50:00,100,170.0,42,200,37,371
08:52:00,71,100.0,21,75,1,70
08:54:00,200,100.0,391,71,20,210
08:56:00,200,100.0,20,229,1200,100
08:58:00,200,36.0,333,161,11,100
09:00:00,239,10.0,463,60,89,100
09:02:00,100,140.0,916,306,100,70
09:04:00,100,1.0,2544,110,100,70
09:06:00,100,130.0,421,11,200,270
09:08:00,100,15.0,596,112,200,100
09:10:00,100,14.0,611,23,200,10
09:12:00,100,42.0,438,191,100,600
09:14:00,10,12.0,278,154,30,600
09:16:00,100,50.0,220,64,200,600
09:18:00,100,7.0,243,114,600,670
09:20:00,100,20.0,572,1592,200,300
09:22:00,100,42.0,71,29,200,200
09:24:00,71,40.0,3081,29,600,1279
09:26:00,100,50.0,200,71,300,518
09:28:00,35,53.0,238,460,100,128
09:30:00,84,3.0,191,71,100,15
09:32:00,100,3.0,848,1378,49,75
09:34:00,600,13.0,110,100,110,202
09:36:00,100,7.0,802,2403,26,168
09:38:00,25,57.0,337,1,200,274
09:40:00,328,46.0,298,2405,23,120
09:42:00,35,18.0,58,1238,49,110
09:44:00,100,1.0,301,99,50,2770
09:46:00,35,57.0,562,71,100,100
09:48:00,100,43.0,42,71,30,100
09:50:00,142,50.0,35,35,28,98
09:52:00,183,100.0,232,80,23,2
09:54:00,11,22.0,213,100,7,47
09:56:00,10,10.0,341,400,20,10
09:58:00,21,57.0,4,28,8,100
10:00:00,35,100.0,68,71,8,600
10:02:00,35,10.0,337,100,24,1100
10:04:00,71,33.0,103,300,26,100
10:06:00,42,40.0,943,50,11,70
10:08:00,71,1.0,324,250,31,411
