Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,0,0,0,17,106,0
07:34:00,45,100,4,100,400,56
07:36:00,35,100,10,1257,100,549
07:38:00,300,100,100,959,1200,100
07:40:00,11,80,600,100,2,100
07:42:00,1684,2,6750,8908,1300,100
07:44:00,994,1000,322,500,500,606
07:46:00,706,1000,100,1095,600,500
07:48:00,110,2,100,100,944,100
07:50:00,2723,98,100,1259,720,2667
07:52:00,63,100,200,103,1941,90
07:54:00,600,1200,100,300,1876,110
07:56:00,100,600,1200,1000,1181,400
07:58:00,12,100,1415,231,200,100
08:00:00,3,100,1400,1287,200,2700
08:02:00,88,100,5827,152,100,700
08:04:00,672,100,1500,100,100,1300
08:06:00,404,2,300,1738,2,200
08:08:00,1315,100,325,3500,1200,1800
08:10:00,100,100,4584,500,200,50
08:12:00,302,100,500,5667,300,2
08:14:00,100,100,703,8378,81,82
08:16:00,300,665,1654,371,1200,1169
08:18:00,225,100,4364,185,100,400
08:20:00,200,100,1300,2900,1100,100
08:22:00,200,100,400,891,100,1200
08:24:00,200,200,3202,4834,200,401
08:26:00,25,100,100,2791,900,3052
08:28:00,225,100,4905,135,1000,7253
08:30:00,700,100,22,5062,200,1791
08:32:00,600,100,81,126053,200,100
08:34:00,100,100,200,3497,100,4400
08:36:00,600,300,795,300,800,30
08:38:00,200,100,1853,400,397,1951
08:40:00,225,100,500,9844,100,300
08:42:00,600,100,203,6824,200,600
08:44:00,435,100,1200,2732,100,351
08:46:00,1100,100,900,1,200,1
08:48:00,800,100,100,2379,100,2
08:50:00,700,100,3800,4000,106,1
08:52:00,1675,100,641,5310,499,100
08:54:00,1600,100,600,200,100,10
08:56:00,100,100,2400,200,302,300
08:58:00,3200,100,2,100,600,100
09:00:00,450,1,500,5548,500,100
09:02:00,100,50,900,100,1400,200
09:04:00,100,49,4242,1500,1,600
09:06:00,100,100,3121,2658,200,800
09:08:00,900,100,10600,1200,200,100
09:10:00,100,200,3978,100,200,903
09:12:00,300,100,2175,100,500,300
09:14:00,200,100,300,4804,200,1
09:16:00,200,100,1474,300,100,25
09:18:00,100,100,300,100,1,501
09:20:00,900,4,300,2111,100,300
09:22:00,100,30,200,1450,100,1300
09:24:00,100,1,1371,256,100,100
09:26:00,200,602,1652,29,300,2674
09:28:00,100,10,337,715,200,1
09:30:00,1473,100,1594,100,200,200
09:32:00,79,100,2284,102,200,1
09:34:00,100,200,100,100,2,200
09:36:00,100,200,359,48,100,100
09:38:00,300,500,909,100,200,300
09:40:00,497,100,1832,100,200,2400
09:42:00,100,100,720,100,200,600
09:44:00,1665,1,17,200,291,100
09:46:00,200,200,100,8320,400,200
09:48:00,100,100,17,2954,100,700
09:50:00,302,100,61,100,3000,14099
09:52:00,100,100,356,512,1500,1400
09:54:00,4,1700,100,100,15,153
09:56:00,200,227,3,100,85,1425
09:58:00,200,10,1923,100,1662,400
10:00:00,200,1063,591,100,6,1608
10:02:00,200,400,813,100,94,100
10:04:00,502,100,731,100,6,2210
10:06:00,1800,100,441,100,1687,3200
10:08:00,2650,100,1742,23,100,300
10:10:00,100,100,524,77,100,100
10:12:00,100,100,230,100,13,100
10:14:00,200,100,2029,77,2,691
10:16:00,1150,100,11,23,1,200
10:18:00,2181,200,84,3,200,300
10:20:00,2219,1000,114,97,50,1953
10:22:00,1399,1,11,100,100,200
10:24:00,200,600,1900,59,100,200
10:26:00,2028,600,9,241,15,100
10:28:00,300,400,530,90,100,100
10:30:00,6124,800,17,10,600,1
10:32:00,1300,800,1007,150,100,400
10:34:00,1200,300,15,400,1,300
10:36:00,1098,100,16,500,257,1000
10:38:00,2060,100,419,100,100,600
10:40:00,2264,200,471,100,100,3500
10:42:00,500,100,388,100,500,3716
10:44:00,494,100,108,100,200,130
10:46:00,1851,1,3390,100,1793,2853
10:48:00,1550,100,16,1900,116,1000
10:50:00,650,100,145,20962,1,14
10:52:00,1699,100,768,800,200,1086
10:54:00,707,100,489,300,100,100
10:56:00,200,100,110,100,100,400
10:58:00,1026,100,872,8126,200,100
11:00:00,704,100,1844,309,550,100
11:02:00,4040,100,313,100,3080,1546
11:04:00,30,100,373,1,2400,100
11:06:00,882,100,141,200,100,30
11:08:00,4875,200,201,301,500,70
11:10:00,4579,100,394,100,100,100
11:12:00,100,100,300,200,1534,400
11:14:00,3870,100,502,5340,100,324
11:16:00,6012,100,154,1481,900,3
11:18:00,100,200,300,600,266,100
11:20:00,100,800,200,2874,1,300
11:22:00,2510,1000,1015,400,100,1100
11:24:00,1000,200,59,200,200,900
11:26:00,1750,100,410,40,300,300
11:28:00,900,500,123,1197,900,2100
11:30:00,6710,102,892,1223,400,1100
11:32:00,200,100,100,574,100,2
11:34:00,3375,100,100,100,100,500
11:36:00,100,100,1502,29826,100,1200
11:38:00,512,200,200,222,100,600
11:40:00,528,600,852,500,100,1302
11:42:00,1650,400,442,1859,100,100
11:44:00,1300,901,4067,11981,100,1
11:46:00,700,400,425,300,100,100
11:48:00,100,200,17,200,100,100
11:50:00,900,300,200,54828,100,400
11:52:00,90,100,300,500,100,2
11:54:00,200,200,1163,15946,100,100
11:56:00,3100,600,297,3238,100,100
11:58:00,900,100,500,958,100,1000
12:00:00,387,400,2473,537,100,1700
12:02:00,2588,200,231,5680,100,2
12:04:00,4214,500,200,1057,265,1700
12:06:00,1400,200,100,38404,5,500
12:08:00,3300,100,111,11492,2,802
12:10:00,4900,102,983,673,98,1200
12:12:00,2200,100,15,400,4,200
12:14:00,3644,200,200,690,61,598
12:16:00,2651,100,835,1884,39,1332
12:18:00,100,200,725,986,100,300
12:20:00,700,300,319,1571,100,4680
12:22:00,800,200,13,167,100,1500
12:24:00,2763,600,234,385,100,1
12:26:00,2178,154,447,728,100,100
12:28:00,130,400,2604,319,100,1173
12:30:00,4128,300,403,1542,100,200
12:32:00,1037,600,7742,2761,561,100
12:34:00,1221,210,915,550,30,300
12:36:00,2364,100,309,3064,100,100
12:38:00,4038,200,500,1382,100,100
12:40:00,1577,200,1018,642,100,100
12:42:00,476,300,100,1203,100,200
12:44:00,1805,500,979,1631,100,200
12:46:00,500,400,200,1369,100,65
12:48:00,215,300,104,1896,100,95
12:50:00,1988,100,212,811,10,200
12:52:00,800,100,1414,600,100,405
12:54:00,100,100,625,1698,100,1300
12:56:00,2133,100,300,3303,100,1360
12:58:00,617,100,771,337,100,600
13:00:00,700,200,4100,5783,100,800
13:02:00,4600,5802,618,276,100,600
13:04:00,700,310,525,8674,100,100
13:06:00,2078,200,100,1314,100,2000
13:08:00,300,200,4861,1602,100,100
13:10:00,800,708,500,1007,100,100
13:12:00,2100,200,471,1624,600,100
13:14:00,1000,400,200,764,100,100
13:16:00,200,300,1131,3287,200,44
13:18:00,1295,301,300,163,100,1200
13:20:00,375,100,356,1519,100,1
13:22:00,2450,210,987,1688,100,599
