Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0.0,0.0,0,0.0,0.0,0.0
07:32:00,2.0,223.0,1,0.0,0.0,14.0
07:34:00,168.0,1.0,10,67.0,2.0,1.0
07:36:00,384.0,18.0,1,1.0,3.0,10.0
07:38:00,1.0,7.0,1,5.0,30.0,10.0
07:40:00,2.0,5.0,20,50.0,39.0,100.0
07:42:00,3.0,7.0,1,50.0,4.0,31.0
07:44:00,49.0,3.0,100,50.0,1.0,1.0
07:46:00,10.0,14.0,300,6.0,1.0,31.0
07:48:00,100.0,100.0,35,94.0,22.0,13.0
07:50:00,7.0,13.0,89,100.0,1.0,1.0
07:52:00,100.0,83.0,22,100.0,1.0,92.0
07:54:00,13.0,4.0,191,100.0,8.0,5.0
07:56:00,4.0,1.0,126,100.0,10.0,18.0
07:58:00,1.0,4.0,63,41.0,8.0,7.0
08:00:00,1.0,100.0,37,59.0,2.0,18.0
08:02:00,10.0,100.0,235,100.0,2.0,100.0
08:04:00,5.0,100.0,5,100.0,100.0,1900.0
08:06:00,1.0,3.0,1,100.0,601.0,1.0
08:08:00,100.0,100.0,5,100.0,267.0,1.0
08:10:00,100.0,1.0,27,100.0,1.0,30.0
08:12:00,100.0,100.0,1,100.0,6.0,7.0
08:14:00,2.0,3.0,1,50.0,10.0,100.0
08:16:00,1.0,3.0,1,100.0,5.0,332.0
08:18:00,23.0,1.0,2,100.0,100.0,1.0
08:20:00,360.0,3.0,1,200.0,715.0,10.0
08:22:00,100.0,1.0,35,200.0,12.0,1.0
08:24:00,2.0,4.0,10,100.0,498.0,1.0
08:26:00,1.0,2.0,146,100.0,2.0,4.0
08:28:00,3.0,1.0,104,998.0,10.0,2.0
08:30:00,1.0,4.0,100,32.0,2.0,1.0
08:32:00,458.0,2.0,100,590.0,100.0,168.0
08:34:00,1.0,3.0,23,100.0,100.0,10.0
08:36:00,100.0,7.0,25,44.0,6.0,3.0
08:38:00,100.0,7.0,24,300.0,100.0,3.0
08:40:00,100.0,7.0,100,100.0,10.0,2.0
08:42:00,5.0,7.0,100,241.0,100.0,1.0
