Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,2383,0,1367,5,864,178
07:34:00,57,1,238,1805,1,401
07:36:00,7,1,1626,3,146,22
07:38:00,170,2,485,200,1,681
07:40:00,745,1,315,5,100,185
07:42:00,583,1,261,235,210,855
07:44:00,164,1,45,376,5,628
07:46:00,1003,25,1674,150,530,169
07:48:00,463,15,955,1480,86,270
07:50:00,798,25,741,300,230,48
07:52:00,100,25,565,1135,190,170
07:54:00,533,68,1428,1356,10,92
07:56:00,463,3,420,1040,144,154
07:58:00,591,5,969,100,176,64
08:00:00,1582,35,3119,1735,180,49
08:02:00,1453,5,3941,290,140,406
08:04:00,916,5,73,160,476,5
08:06:00,2216,5,488,691,95,105
08:08:00,519,55,512,2515,171,192
08:10:00,173,75,1898,367,14,118
08:12:00,138,20,1020,2273,14,132
08:14:00,630,5,468,950,863,53
08:16:00,1065,25,1590,1607,60,101
08:18:00,446,15,35,893,55,181
08:20:00,131,85,1131,200,125,396
08:22:00,610,100,983,3776,3,277
08:24:00,758,21,628,621,142,340
08:26:00,674,15,347,4624,822,148
08:28:00,842,415,294,3734,243,119
08:30:00,498,130,619,123,190,93
08:32:00,850,438,1288,1040,144,289
08:34:00,944,274,361,325,198,194
08:36:00,3024,136,1935,1641,296,137
08:38:00,6485,70,636,1453,340,495
08:40:00,1867,238,750,1520,591,1941
08:42:00,1240,413,2671,485,735,196
08:44:00,1718,215,1338,910,20,252
08:46:00,923,60,2045,1116,850,3371
08:48:00,535,98,1633,1168,152,323
08:50:00,703,51,1141,525,1323,491
08:52:00,2230,237,1394,689,150,70
08:54:00,964,147,438,1575,79,43
08:56:00,1138,48,1041,990,195,217
08:58:00,928,64,1810,2460,1153,95
09:00:00,1110,382,858,190,150,91
09:02:00,1310,302,1452,460,435,379
09:04:00,245,69,1008,970,631,60
09:06:00,389,352,2768,3000,11,222
09:08:00,3008,325,2582,1066,16,126
09:10:00,1016,1,2096,979,55,224
09:12:00,1192,180,1206,294,45,392
09:14:00,977,3,960,740,467,612
09:16:00,408,25,3323,1295,143,447
09:18:00,1067,5,1538,1902,231,205
09:20:00,794,48,582,375,362,250
09:22:00,649,145,903,254,590,109
09:24:00,3599,226,2355,568,128,146
09:26:00,346,94,3092,1428,30,337
09:28:00,1051,203,834,1795,55,153
09:30:00,627,20,1987,100,308,163
09:32:00,435,330,1456,660,286,251
09:34:00,1074,118,391,1043,526,35
09:36:00,990,123,2297,610,10,259
09:38:00,819,451,1928,974,15,97
09:40:00,889,241,914,3285,101,784
09:42:00,990,15,1088,4002,524,386
09:44:00,819,50,1344,255,543,291
09:46:00,1787,25,458,500,25,186
09:48:00,906,60,1163,7206,35,23
09:50:00,706,125,1088,2526,171,87
09:52:00,292,205,574,1729,10,13
09:54:00,1009,200,388,2727,15,168
09:56:00,2812,25,1442,4298,125,75
09:58:00,1802,270,456,2406,255,365
10:00:00,719,70,1972,1295,829,126
10:02:00,862,155,1143,2070,560,35
10:04:00,512,136,422,84,87,183
10:06:00,3877,20,44353,417,200,45
10:08:00,243,280,208,2915,204,85
10:10:00,359,168,936,722,170,45
10:12:00,1037,191,942,1108,95,100
10:14:00,1739,340,880,923,175,526
10:16:00,1294,124,533,1013,596,120
10:18:00,983,70,1216,2280,111,263
10:20:00,665,171,747,30686,94,161
10:22:00,558,268,963,25595,153,8
10:24:00,1634,101,524,2325,309,209
10:26:00,840,6,839,417,90,65
10:28:00,531,279,3439,895,154,65
10:30:00,1433,140,1071,904,45,702
10:32:00,1053,102,349,335,273,190
10:34:00,833,190,509,330,12,556
10:36:00,1007,415,1714,921,170,93
10:38:00,2077,365,1016,797,245,539
10:40:00,715,270,1209,911,120,130
10:42:00,1448,150,4001,416,206,502
10:44:00,3758,364,2463,1163,105,225
10:46:00,989,235,5058,985,90,10
10:48:00,1893,400,1964,1285,75,1065
10:50:00,2075,280,71,960,1071,365
10:52:00,424,325,3761,1575,185,255
10:54:00,887,260,227,2196,210,150
10:56:00,572,255,801,982,240,206
10:58:00,2587,148,1975,448,215,535
11:00:00,477,21,1329,1944,205,1375
11:02:00,84970,380,3068,355,150,390
11:04:00,2315,315,241,708,195,130
11:06:00,1137,80,191,831,31,981
11:08:00,2367,20,1170,503,45,432
11:10:00,2976,95,742,135,196,195
11:12:00,577,212,1013,561,109,120
11:14:00,931,100,115,910,215,190
11:16:00,1888,301,604,656,484,880
11:18:00,1235,200,991,300,329,506
11:20:00,2206,295,3476,1561,297,660
11:22:00,1038,123,1669,2172,175,369
11:24:00,652,80,2292,375,127,214
11:26:00,1503,5,1253,772,56,45
11:28:00,3473,47,829,2768,5,58
11:30:00,1485,115,1073,1874,115,1198
11:32:00,1233,270,333,400,95,430
11:34:00,970,150,736,3695,70,1158
11:36:00,1122,345,744,1385,266,45
11:38:00,1863,808,285,613,133,35
11:40:00,1041,158,172,1660,1960,120
11:42:00,1326,384,1632,2153,290,238
11:44:00,1969,205,248,1684,325,69
11:46:00,674,55,189,1405,15,4228
11:48:00,1303,408,1411,30,815,748
11:50:00,2380,420,646,3641,445,533
11:52:00,921,69,615,180,363,139
11:54:00,1148,400,828,881,230,151
11:56:00,1225,480,169,166,335,335
11:58:00,1144,480,579,3202,55,128
12:00:00,1801,464,1576,1097,100,45
12:02:00,1616,160,633,5188,213,241
12:04:00,1612,195,325,1056,115,560
12:06:00,739,175,221,337,385,37
12:08:00,783,130,2200,1052,155,737
12:10:00,1286,81,2977,847,315,126
12:12:00,1470,270,602,553,150,37
12:14:00,1651,462,1330,30,45,140
12:16:00,1630,486,1405,1101,30,10
12:18:00,704,256,2477,1092,31,5
12:20:00,1315,516,602,2015,166,1498
12:22:00,1543,422,3329,814,285,75
12:24:00,7619,211,4363,733,176,18
12:26:00,1326,290,199,1351,495,290
12:28:00,2127,235,2586,580,80,38
12:30:00,2955,136,812,281,132,215
12:32:00,1198,390,9956,717,368,525
12:34:00,2368,439,2384,1268,145,400
12:36:00,1622,110,3184,2115,459,55
12:38:00,979,1629,863,996,110,25
12:40:00,1915,211,678,365,235,45
12:42:00,1356,83,902,2453,60,35
12:44:00,1803,340,5562,2037,281,5
12:46:00,2101,90,6262,1372,170,30
12:48:00,1256,230,1070,1090,155,1076
12:50:00,1857,130,2188,685,1905,261
12:52:00,4325,70,304,895,843,60
12:54:00,2539,260,3138,692,389,1260
12:56:00,1304,611,548,575,41,16
12:58:00,2987,56,3126,306,105,25
13:00:00,3523,110,805,1572,538,958
13:02:00,1357,120,1014,865,536,521
13:04:00,1568,15,12416,928,2392,20
13:06:00,2006,480,977,5810,180,450
13:08:00,1635,165,8694,8351,1300,2065
13:10:00,3025,980,3423,8088,225,476
13:12:00,1948,45,1028,6003,240,746
13:14:00,1715,216,5514,5617,769,1764
13:16:00,4377,355,4451,7262,710,210
13:18:00,10172,132,6219,4008,1531,1748
13:20:00,1413,137,745,2360,300,1252
13:22:00,2498,105,10032,3493,1337,1029
13:24:00,670,44,6796,6925,317,407
13:26:00,3314,429,2317,4529,2321,2360
13:28:00,2154,65,7596,8807,1238,1619
13:30:00,2275,422,1839,5834,1406,858
13:32:00,2784,466,1192,20557,4890,848
13:34:00,1654,90,3211,29305,1267,1863
13:36:00,896,593,2256,26680,3180,503
13:38:00,3174,732,4209,33511,1082,2302
13:40:00,2212,1458,4321,27210,1226,1049
13:42:00,5373,825,5260,33310,5832,2975
13:44:00,3612,2648,5000,46540,2569,3400
13:46:00,4676,1764,4905,44739,5011,3407
13:48:00,3451,2240,8526,49326,3566,3266
13:50:00,3769,3632,7796,51017,4788,2468
13:52:00,5737,1458,14019,60267,4213,4439
13:54:00,2060,951,6891,54536,2867,4220
13:56:00,4087,2573,5705,63633,3359,5501
13:58:00,2607,2068,5755,57878,3127,2461
14:00:00,3195,1471,3040,69435,3833,2623
