Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,4,27.0,43,0,0,0
07:34:00,1,3.0,210,2459,1,6
07:36:00,5,40.0,375,1360,181,3
07:38:00,703,45.0,45,153,290,1
07:40:00,10,2502.0,57,628,6,95
07:42:00,40,2.0,343,2276,250,100
07:44:00,529,10.0,534,15,100,514
07:46:00,1549,1.0,2339,33,1039,350
07:48:00,4994,3.0,50,10,70,70
07:50:00,90,1.0,260,10,148,35
07:52:00,143,5.0,846,15,5,60
07:54:00,100,28.0,797,10,5,91
07:56:00,1832,100.0,1798,45,20,388
07:58:00,10,100.0,645,90,25,95
08:00:00,5,7.0,1039,60,70,210
08:02:00,50,5.0,857,60,5,55
08:04:00,35,5.0,10,670,15,95
08:06:00,645,50.0,442,300,5,65
08:08:00,587,40.0,100,195,5,190
08:10:00,339,10.0,219,20,5,65
08:12:00,9,50.0,305,40,5,1269
08:14:00,273,15.0,1501,1176,3,167
08:16:00,2,32.0,2013,1236,15,1712
08:18:00,151,5.0,100,10,15,15
08:20:00,473,10.0,55,15,5,211
08:22:00,20,25.0,575,710,5,85
08:24:00,62,15.0,80,50,5,530
08:26:00,563,15.0,55,790,5,701
08:28:00,42,5.0,137,55,5,40
08:30:00,5,40.0,693,160,5,20
08:32:00,165,50.0,125,160,165,175
08:34:00,47,100.0,125,220,35,365
08:36:00,814,100.0,145,210,75,505
08:38:00,1772,1.0,195,220,5,20
08:40:00,91,18.0,20,5686,80,135
08:42:00,1119,50.0,265,100,15,20
08:44:00,5,8308.0,591,35,20,4925
08:46:00,65,20.0,3572,15,75,10
08:48:00,75,10.0,395,645,45,75
08:50:00,40,15.0,675,485,7,35
08:52:00,2580,56.0,185,4824,33,60
08:54:00,561,53.0,240,215,7,40
08:56:00,155,60.0,1147,153,1,395
08:58:00,490,5.0,10,480,615,185
09:00:00,361,8.0,15,244,43,1433
09:02:00,232,17.0,30,702,525,140
09:04:00,225,15.0,644,242,150,100
09:06:00,190,41.0,3767,188,10,1414
09:08:00,40,25.0,1619,551,25,30
09:10:00,130,26.0,2031,10,65,40
09:12:00,330,53.0,2414,1204,240,30
09:14:00,35,15.0,1114,600,116,81362
09:16:00,35,20.0,530,686,5,120
09:18:00,120,25.0,106,133,3,150
09:20:00,267,24.0,120,2425,30,65
09:22:00,145,56.0,881,686,15,10
09:24:00,193,30.0,2720,210,5,5
09:26:00,48,31.0,1552,1161,5,80
09:28:00,1125,56.0,581,300,15,5
09:30:00,122,10.0,873,95,10,36
09:32:00,269,10.0,2613,1257,50,100
09:34:00,40,10.0,224,25,15,100
09:36:00,95,29.0,846,50,40,100
09:38:00,345,5.0,985,100,15,650
09:40:00,705,49.0,3623,215,15,114
09:42:00,42,11.0,500,70,1,10
09:44:00,386,11.0,991,70,4,303
09:46:00,85,31.0,635,834,5,5
09:48:00,5,10.0,1262,1489,100,5
09:50:00,20,68.0,652,15,5,145
09:52:00,115,70.0,285,20,5,10
09:54:00,554,45.0,760,20,5,1
09:56:00,85,53.0,669,75,85,4
09:58:00,50,45.0,520,10,35,5
10:00:00,75,56.0,948,20,168,134
10:02:00,5,20.0,2145,240,15,110
10:04:00,10,60.0,1365,130,187,10
10:06:00,5,68.0,1930,476,58,225
10:08:00,10,5.0,1249,142,4,736
10:10:00,115,5.0,97,10,5,50
10:12:00,70,35.0,825,337,110,403
10:14:00,65,18.0,385,25,5,10
10:16:00,60,60.0,10039,5,50,60
10:18:00,25,56.0,701,5,20,50
10:20:00,45,15.0,600,100,10,1931
10:22:00,10,12.0,1237,1842,115,165
10:24:00,295,12.0,183,2838,10,139
10:26:00,30,36.0,1198,52,10,806
10:28:00,10,60.0,2402,2520,115,50
10:30:00,55,15.0,1109,3425,5,40
10:32:00,15,49.0,928,7,30,65
10:34:00,55,10.0,2481,10,90,95
10:36:00,4274,10.0,64,25,40,1
10:38:00,130,39.0,3519,131,15,5
10:40:00,55,64.0,712,809,10,70
10:42:00,185,35.0,1567,395,5,705
10:44:00,127,25.0,1365,599,2,75
10:46:00,124,12.0,2352,455,5,403
10:48:00,429,12.0,1,405,5,5
10:50:00,457,36.0,747,1406,5,135
10:52:00,125,64.0,530,415,5,30
10:54:00,492,53.0,155,677,100,5
10:56:00,127,49.0,1245,121,5,40
10:58:00,185,56.0,1136,3252,10,95
11:00:00,368,60.0,1602,312,11,55
11:02:00,703,30.0,314,765,5,60
11:04:00,265,49.0,973,516,5,5
11:06:00,260,64.0,199,296,50,18
11:08:00,322,55.0,193,638,952,4
11:10:00,367,56.0,2095,1333,25,5
11:12:00,80,10.0,753,65,35,51
11:14:00,20,49.0,384,113,20,2512
11:16:00,450,64.0,275,782,25,60
11:18:00,85,60.0,101,797,777,260
11:20:00,320,53.0,618,675,45,90
11:22:00,484,37.0,1022,1454,35,75
11:24:00,215,22.0,1816,671,10748,15
11:26:00,1152,10.0,2557,7481,100,1144
11:28:00,719,30.0,874,181,100,20
11:30:00,1015,5.0,890,5,100,5
11:32:00,630,170.0,1842,125,1220,3
11:34:00,176,150.0,954,390,335,5
11:36:00,5,170.0,918,575,100,10
11:38:00,1109,160.0,1423,925,340,50
11:40:00,544,50.0,1030,644,405,10
11:42:00,1243,80.0,455,224,273,15
11:44:00,499,15.0,556,715,145,341
11:46:00,245,9.0,215,85,1,106
11:48:00,582,60.0,2714,1110,1,5
11:50:00,1153,56.0,893,135,15,5
11:52:00,509,64.0,430,1315,23,5
11:54:00,310,56.0,950,205,107,100
11:56:00,310,56.0,623,75,318,997
11:58:00,7374,60.0,1405,60,161,100
12:00:00,1417,64.0,1491,80,480,37
12:02:00,474,60.0,526,715,225,140
12:04:00,499,3285.0,20,470,15,70
12:06:00,771,1.0,15,170,280,11079
12:08:00,1663,237.0,915,834,20,825
12:10:00,1487,1.0,899,82,15,3220
12:12:00,140,40.0,1075,183,15,260
12:14:00,93,30.0,106,19,40,115
12:16:00,235,35.0,2765,10,5,3175
12:18:00,95,75.0,1055,1126,10,275
12:20:00,330,45.0,3053,13,15,159
12:22:00,140,120.0,4025,45,80,1
12:24:00,1002,120.0,778,55,280,145
12:26:00,720,85.0,1330,327,35,155
12:28:00,675,75.0,929,105,15,90
12:30:00,1932,56.0,2667,3671,35,5
12:32:00,5,45.0,2056,60,45,5
12:34:00,55,60.0,415,30,60,5
12:36:00,230,56.0,742,185,40,5
12:38:00,335,53.0,860,510,20,5
12:40:00,391,49.0,2154,5,5,5
12:42:00,130,56.0,465,35,15,70
12:44:00,170,5926.0,2032,50,70,145
12:46:00,245,1.0,1409,34,25,100
12:48:00,935,3200.0,1189,1926,50,157
12:50:00,315,1300.0,415,135,70,265
12:52:00,505,962.0,1636,685,20,125
12:54:00,240,200.0,1496,2337,25,20
12:56:00,460,100.0,386,211,65,140
12:58:00,425,110.0,2508,55,70,5
13:00:00,250,115.0,1729,152,45,10
13:02:00,580,200.0,832,5,15,25
13:04:00,781,120.0,1771,990,30,20
13:06:00,324,240.0,1153,5,90,10
13:08:00,255,70.0,1603,274,110,5
13:10:00,160,160.0,804,16,338,15
13:12:00,336,135.0,313,82,2340,5
13:14:00,75,135.0,2031,40,4013,5
13:16:00,225,12.0,1389,50,1184,5
13:18:00,1140,12.0,2568,307,1583,25
13:20:00,527,36.0,3354,29,1649,30
13:22:00,280,115.0,1447,1017,3650,135
13:24:00,361,56.0,2941,799,2734,30
13:26:00,337,55.0,5756,647,2056,85
13:28:00,614,1.0,1387,4272,30,20
13:30:00,380,65.0,3057,1869,1740,25
13:32:00,853,65.0,1035,2692,260,35
13:34:00,335,35.0,3180,433,381,1744
13:36:00,1555,70.0,8853,2596,206,252
13:38:00,1247,135.0,9504,160,1239,323
13:40:00,1062,150.0,4862,804,110,10
13:42:00,1065,50.0,5735,2302,470,35
13:44:00,1369,110.0,2247,10851,784,274
13:46:00,1472,130.0,7402,1918,486,545
13:48:00,791,160.0,10181,5725,1181,525
13:50:00,1740,175.0,4578,4340,1079,195
13:52:00,1385,360.0,4809,8323,498,1662
13:54:00,3431,587.0,5221,5427,1097,185
13:56:00,1205,335.0,5395,40938,2550,500
13:58:00,2956,465.0,4346,202327,1172,1289
14:00:00,2220,,4908,7028,3149,460
