Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,100,20,100,0,0,100
07:34:00,3,600,100,700,23,100
07:36:00,101,600,100,1,15,100
07:38:00,100,1300,100,100,61,100
07:40:00,100,1902,800,20,18,100
07:42:00,25,100,100,250,10,100
07:44:00,214,2,200,100,2,29
07:46:00,100,3,65,600,3,600
07:48:00,100,100,4,1,100,600
07:50:00,100,100,17,202,115,600
07:52:00,10,1,83,600,100,100
07:54:00,71,7,2,197,20,50
07:56:00,61,5,500,200,48,100
07:58:00,100,100,2,100,52,100
08:00:00,100,2,200,389,248,600
08:02:00,100,100,800,1200,135,500
08:04:00,300,2,100,80,20,600
08:06:00,100,5,498,120,54,100
08:08:00,500,100,1500,100,25,100
08:10:00,600,45,3342,100,123,100
08:12:00,400,100,1302,100,600,100
08:14:00,201,100,1000,100,100,50
08:16:00,100,1200,400,100,12,50
08:18:00,161,100,100,100,132,50
08:20:00,618,5,100,1300,2165,100
08:22:00,3639,875,100,300,700,850
08:24:00,100,50,2400,2901,700,1
08:26:00,734,600,200,200,102,100
08:28:00,100,140,100,200,400,50
08:30:00,100,100,2,400,531,100
08:32:00,1501,100,190,500,100,600
08:34:00,670,113,100,700,26,150
08:36:00,1953,600,100,885,686,100
08:38:00,723,2,100,900,100,200
08:40:00,500,501,500,600,95,100
08:42:00,1334,5000,238,500,100,900
08:44:00,200,574,62,1244,100,2013
08:46:00,1076,5,100,700,41,100
08:48:00,10,5,300,1750,136,100
08:50:00,190,17,700,100,300,100
08:52:00,200,25,100,500,100,100
08:54:00,100,58,100,1000,466,100
08:56:00,100,17,1031,200,100,100
08:58:00,100,100,1000,356,82,3314
09:00:00,30,100,163,388,487,400
09:02:00,288,1,100,1675,2798,100
09:04:00,100,10,100,536,100,100
09:06:00,350,90,922,700,50,100
09:08:00,300,7,1079,898,50,100
09:10:00,1201,3,406,1227,100,100
09:12:00,200,165,751,600,1,10
09:14:00,100,500,58,500,804,90
09:16:00,79,3,300,300,307,100
09:18:00,20,1,524,2103,495,10
09:20:00,1,1,331,688,100,600
09:22:00,221,403,287,736,100,600
09:24:00,700,2,2866,100,100,442
09:26:00,500,100,200,1769,13,100
09:28:00,1588,3,200,300,266,100
09:30:00,2388,97,200,581,100,100
09:32:00,1335,1,148,2020,100,100
09:34:00,53,100,100,4556,100,100
09:36:00,1,1,2382,200,307,100
09:38:00,100,100,229,765,92,35
09:40:00,300,100,308,1300,1633,165
09:42:00,1602,1,400,610,11,70
09:44:00,42,100,1,1083,300,100
09:46:00,3291,7,99,403,100,307
09:48:00,2440,93,200,100,44,10
09:50:00,100,100,368,401,100,100
09:52:00,100,2,200,400,75,373
09:54:00,100,100,107,1000,100,127
09:56:00,100,300,3517,300,100,100
09:58:00,1556,100,1,4392,200,1
10:00:00,100,10,202,301,300,100
10:02:00,100,90,209,1419,188,100
10:04:00,694,10,648,8,101,100
10:06:00,998,200,1,900,100,10
10:08:00,128,100,1122,1566,83,490
10:10:00,1400,100,1,100,290,223
10:12:00,1421,100,1,700,202,100
10:14:00,100,100,281,100,663,100
10:16:00,300,258,5923,100,10,100
10:18:00,24,35,1503,1822,100,100
10:20:00,1994,100,401,1200,100,38
10:22:00,1200,226,8344,5194,200,62
10:24:00,500,1620,352,200,300,700
10:26:00,300,714,1,900,200,800
10:28:00,100,102,100,2000,2,100
10:30:00,3766,100,587,1378,2,100
10:32:00,600,2,723,1100,200,7
10:34:00,1506,198,101,300,230,100
10:36:00,331,100,4160,1009,313,200
10:38:00,100,402,555,400,310,100
10:40:00,700,412,300,700,242,10
10:42:00,200,300,309,645,1242,10
10:44:00,1400,300,100,800,300,100
10:46:00,100,224,1701,300,100,100
10:48:00,100,503,2241,625,390,10
10:50:00,100,501,1801,2371,100,917
10:52:00,400,456,327,1562,200,481
10:54:00,100,2,300,801,200,600
10:56:00,116,202,1207,722,100,100
10:58:00,1100,503,944,1300,100,101
11:00:00,1097,301,1401,875,254,100
11:02:00,100,2,834,1006,100,3
11:04:00,2,401,4282,504,100,100
11:06:00,100,107,1094,100,200,100
11:08:00,98,41,402,800,100,100
11:10:00,100,102,201,900,104,200
11:12:00,1600,202,402,300,60,110
11:14:00,200,310,1,3858,100,100
11:16:00,816,148,2170,900,504,100
11:18:00,100,102,2818,3415,537,100
11:20:00,100,514,898,2030,95,100
11:22:00,100,3277,247,110,587,100
11:24:00,400,2432,102,2264,100,100
11:26:00,1600,116,101,1631,1586,100
11:28:00,300,289,1365,364,1741,100
11:30:00,600,300,100,973,1716,100
11:32:00,1000,318,200,1400,232,70
11:34:00,100,180,501,1800,856,600
11:36:00,1000,200,201,100,6838,473
11:38:00,100,101,200,300,89,600
11:40:00,210,225,4134,3503,650,127
11:42:00,200,113,663,1200,488,14
11:44:00,10,210,5396,300,9697,117
11:46:00,10,301,401,300,3557,120
11:48:00,110,204,414,1695,2778,100
11:50:00,510,304,935,650,2228,42
11:52:00,781,202,590,3732,500,84
11:54:00,100,30,623,3270,1506,90
11:56:00,10,512,418,180,596,63
11:58:00,100,548,2671,888,400,100
12:00:00,620,300,2273,800,400,96
12:02:00,2000,224,1000,200,979,96
12:04:00,270,200,201,1027,500,67
12:06:00,600,1,2552,1096,1185,282
12:08:00,1410,797,211,1575,120,100
12:10:00,307,598,802,1757,400,100
12:12:00,300,144,301,2200,400,144
12:14:00,1300,546,825,3600,6041,116
12:16:00,100,592,301,700,2311,266
12:18:00,1900,8,601,680,100,420
12:20:00,203,646,400,2900,100,81
12:22:00,671,392,598,2145,100,831
12:24:00,100,419,800,1923,560,599
12:26:00,100,109,1,773,3492,576
12:28:00,73,368,1,500,400,981
12:30:00,5626,1113,1074,1100,832,96
12:32:00,400,300,101,1500,1648,201
12:34:00,271,522,400,500,300,283
12:36:00,900,540,300,2490,132,112
12:38:00,300,201,1088,300,2188,15
12:40:00,1,605,1728,4239,158,99
12:42:00,100,505,721,300,5438,199
12:44:00,563,115,1313,6875,4248,100
12:46:00,300,346,300,600,376,90
12:48:00,1048,15,1604,1300,500,100
12:50:00,100,3,1203,400,1141,100
12:52:00,200,355,200,3163,904,3
12:54:00,600,201,401,1849,500,111
12:56:00,100,101,821,636,417,117
12:58:00,100,203,1047,7163,100,340
13:00:00,13,300,402,100,624,460
13:02:00,100,405,297,2135,136,260
13:04:00,1025,500,2091,3499,158,350
13:06:00,400,691,19,6500,200,87
13:08:00,1900,200,226,9520,800,100
13:10:00,647,501,402,732,2040,200
13:12:00,853,100,2,2969,100,150
13:14:00,1300,500,2590,8964,701,346
13:16:00,501,1005,258,3528,2406,1244
13:18:00,100,570,346,6943,446,284
13:20:00,446,203,1202,1806,300,359
13:22:00,100,511,563,34391,110,357
13:24:00,3971,794,541,36646,1,60
13:26:00,502,275,205,11843,400,410
13:28:00,200,342,1932,17721,706,578
13:30:00,200,302,667,50293,1156,400
13:32:00,214,204,602,98230,106,448
13:34:00,211,401,702,26200,20,356
13:36:00,3583,407,1398,36199,1348,300
13:38:00,988,802,1787,69850,500,1813
13:40:00,100,200,5944,12320,100,575
13:42:00,7535,1242,5137,31642,710,1673
13:44:00,5266,1274,3021,58450,1399,1668
13:46:00,7059,800,4108,11460,2487,3210
13:48:00,6895,800,5405,18366,5539,4049
13:50:00,300,1455,5229,15460,4070,2457
13:52:00,6500,1432,6719,7436,1183,1100
13:54:00,4923,1708,7929,31371,511,4381
13:56:00,5767,1400,4243,29,776,1971
13:58:00,5376,952,5540,41196,2411,3015
14:00:00,6955,2197,2227,8997,452,764
