Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,0,58,1327,171,33,225
07:34:00,13,329,201,11215,3300,9
07:36:00,1,1,158,2002,2400,36
07:38:00,300,3670,92,700,1,300
07:40:00,100,100,100,700,1203,3100
07:42:00,100,5,204,7939,1422,15
07:44:00,222,1,9472,40,577,400
07:46:00,2700,10,2200,960,100,4261
07:48:00,1800,300,100,100,53,410
07:50:00,100,200,337,100,147,15
07:52:00,2600,100,788,100,53,585
07:54:00,3,100,20437,2400,200,200
07:56:00,3100,100,751,900,200,1200
07:58:00,29,1,7605,800,200,1100
08:00:00,1,7500,30,450,200,5338
08:02:00,400,200,109,100,3562,540
08:04:00,10,100,6244,7650,3,300
08:06:00,1727,57,100,300,100,115
08:08:00,800,1,5314,200,100,2000
08:10:00,30,142,2000,1300,1900,100
08:12:00,950,200,100,5696,2400,613
08:14:00,300,289,8535,20741,100,23296
08:16:00,203,300,2379,5462,37499,800
08:18:00,200,5,311,2200,30632,400
08:20:00,300,50,14092,2,15371,11630
08:22:00,100,25,565,2,100,1200
08:24:00,200,175,1831,15,1028,11350
08:26:00,400,200,65,21,100,300
08:28:00,300,100,100,2259,20,300
08:30:00,100,100,100,45944,480,300
08:32:00,300,300,301,4973,3218,936
08:34:00,300,75,15541,15,4,300
08:36:00,200,1825,4840,8,1928,200
08:38:00,500,25,165302,235,690,41
08:40:00,100,2,100,2831,3,159
08:42:00,100,2,590,715,2,162
08:44:00,1200,838,35,12,100,5235
08:46:00,510,200,134,88,100,200
08:48:00,1105,300,243,1200,100,100
08:50:00,99,4,18,5,616,500
08:52:00,3201,853,50,3800,6400,607
08:54:00,2000,764,828,3501,19984,100
08:56:00,900,100,100,33686,100,3692
08:58:00,401,590,100,15248,100,500
09:00:00,400,100,200,504,20,5654
09:02:00,1900,700,200,2600,23,6553
09:04:00,300,22,2861,2476,100,27058
09:06:00,10,100,15850,2,100,2060
09:08:00,124,100,10238,5344,8,440
09:10:00,200,10,20451,2,100,5915
09:12:00,100,19,5825,4865,117,2000
