Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,301,0,0,282,20,182
07:34:00,100,20,335,30,12,200
07:36:00,99,2,429,213,269,197
07:38:00,100,377,300,580,50,156
07:40:00,200,100,300,42,114,205
07:42:00,95,200,100,1835,16,10
07:44:00,40,100,100,28,16,724
07:46:00,60,9540,242,259,655,1057
07:48:00,16,1,100,100,1046,18
07:50:00,38,1,100,403,1611,179
07:52:00,5591,40,5,40,10,24
07:54:00,524,20,105,500,314,110
07:56:00,675,150,87,300,6,210
07:58:00,18,100,10,781,8,197
08:00:00,271,200,600,61,16,1317
08:02:00,122,70,105,148,8,389
08:04:00,50,1,5960,829,252,46
08:06:00,372,8,4129,218,9,49
08:08:00,129,100,5,1416,214,7
08:10:00,200,100,2,4,6,7
08:12:00,643,80,300,6,8,812
08:14:00,170,20,2410,707,100,904
08:16:00,118,70,700,1035,888,907
08:18:00,90,30,676,548,14,10
08:20:00,100,150,100,112,325,777
08:22:00,18,97,100,347,392,144
08:24:00,17,100,1,86,200,135
08:26:00,18,100,100,555,8,124
08:28:00,5,3,185,505,24,7
08:30:00,35,100,2222,1186,500,118
08:32:00,500,1,400,134,6,123
08:34:00,920,4,400,303,2,514
08:36:00,100,1,181,248,194,14
08:38:00,770,10,60,443,126,54
08:40:00,300,1,100,1041,100,2035
08:42:00,1105,100,10,1911,200,222
08:44:00,100,100,300,519,10,540
08:46:00,1491,100,130,43,110,18
08:48:00,100,100,2302,24,7,1012
08:50:00,100,100,1702,1124,14,795
08:52:00,100,1,800,429,7,94
08:54:00,200,100,730,2505,7,414
08:56:00,3177,100,801,34,110,809
08:58:00,3,270,300,652,306,732
09:00:00,3,44,228,800,354,2565
09:02:00,200,100,100,334,113,55
09:04:00,125,100,438,279,13,245
09:06:00,12,100,970,202,1912,632
09:08:00,100,100,1578,557,112,11
09:10:00,100,100,1988,610,90,11
09:12:00,100,201,2354,376,1378,410
09:14:00,100,199,4,469,908,646
09:16:00,25,100,10,3840,12,4
09:18:00,400,100,100,1100,11,14
09:20:00,423,100,100,310,520,122
09:22:00,384,100,757,939,116,22
09:24:00,100,14,738,544,15,27
09:26:00,296,86,204,1038,11,37
09:28:00,100,100,1122,3401,7,828
09:30:00,100,100,246,66,22,70
09:32:00,400,86,1303,105,16,508
09:34:00,1535,119,919,502,208,74
09:36:00,100,99,473,202,2169,70
09:38:00,300,1,652,6,18,13
09:40:00,3540,1,1294,1107,126,293
09:42:00,142,15,2,36,118,394
09:44:00,1044,100,102,23,106,47
09:46:00,285,50,251,100,6,26
09:48:00,1169,100,401,1667,6,11
09:50:00,2983,100,559,1600,4,41
09:52:00,270,9,100,340,12,15
09:54:00,4385,1,1340,237,22,29
09:56:00,2766,91,202,81,111,9
09:58:00,1153,10,900,2478,12,18
10:00:00,553,100,412,826,113,19
10:02:00,462,100,2159,1663,106,1236
10:04:00,903,100,836,637,8,30
10:06:00,3566,100,934,461,111,73
10:08:00,1146,600,2229,30,100,11
10:10:00,2592,600,734,165,4,144
10:12:00,403,100,1518,573,118,72
10:14:00,5140,100,1110,10,38,25
10:16:00,2426,100,300,523,412,32
10:18:00,187,17,1592,58,416,66
10:20:00,2339,100,2929,38,202,66
10:22:00,965,100,201,612,8,28
10:24:00,1870,210,396,664,10,24
10:26:00,3030,110,724,362,10,473
10:28:00,2486,1,922,17,6,214
10:30:00,100,108,302,420,8,25
10:32:00,4222,110,539,202,6,522
10:34:00,609,109,513,583,6,87
10:36:00,512,108,395,36,8,18
10:38:00,2692,107,326,715,11,295
10:40:00,100,200,12,538,471,2692
10:42:00,870,100,1426,207,1331,271
10:44:00,345,100,41,7,928,116
10:46:00,528,100,621,227,1171,158
10:48:00,306,100,463,588,100,130
10:50:00,598,100,311,519,15,147
10:52:00,420,100,112,200,18,92
10:54:00,89,5,490,968,18,93
10:56:00,385,101,925,120,10,139
10:58:00,319,100,1046,850,106,81
11:00:00,334,100,363,111,14,66
11:02:00,2003,100,412,132,18,90
