Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,166,0,160,627,6,711
07:34:00,149,10,356,3208,533,100
07:36:00,1552,100,1486,9934,1503,100
07:38:00,100,49,1630,2159,2639,100
07:40:00,1146,100,116,942,100,100
07:42:00,1400,473,2225,4107,100,71
07:44:00,2873,25,291,6823,100,1508
07:46:00,509,100,600,13043,448,613
07:48:00,2262,100,4193,245460,100,600
07:50:00,613,1200,2452,100,200,100
07:52:00,213,4058,117,1246,300,200
07:54:00,1441,2904,3757,8452,345,210
07:56:00,993,90,1705,5397,443,793
07:58:00,110,2618,528,14,801,364
08:00:00,200,400,965,2306,115,700
08:02:00,2002,100,978,1278,460,50
08:04:00,100,10,1905,888,1576,100
08:06:00,2419,300,1700,6748,100,1750
08:08:00,1400,200,1910,914,100,100
08:10:00,300,100,288,13605,20,200
08:12:00,1200,800,25377,1141,1,150
08:14:00,600,233,1600,9819,200,963
08:16:00,510,200,3700,5921,162,2640
08:18:00,1000,1378,2881,3059,100,300
08:20:00,908,356,3285,4980,326,1914
08:22:00,2043,1750,2683,11388,297,500
08:24:00,101,30,12871,8284,200,1952
08:26:00,820,1024,5792,700,2192,1205
08:28:00,863,809,1071,13763,165,200
08:30:00,800,300,1223,1126,200,101
08:32:00,2547,1,2943,957,300,1148
08:34:00,973,510,1802,250,898,430
08:36:00,392,1902,2821,3572,900,500
08:38:00,1090,1842,1357,3058,462,2200
08:40:00,410,4502,736,8572,133,100
08:42:00,5484,1655,6444,3416,366,1550
08:44:00,763,782,2730,689,200,3573
08:46:00,11644,1677,4931,200,879,1200
08:48:00,9152,3479,3444,233,200,5405
08:50:00,1000,2912,4050,2218,500,4192
08:52:00,1619,15,4337,8076,456,900
08:54:00,1303,10614,1938,290,102,135
08:56:00,4992,810,6537,4236,200,8789
08:58:00,1282,100,2700,734,4781,500
09:00:00,2183,1500,3557,314,4896,2400
09:02:00,4144,10,3808,1411,1562,265
09:04:00,1310,1905,4603,624,803,110
09:06:00,6755,1800,12638,1128,427,300
09:08:00,5205,500,4716,1365,10786,200
09:10:00,2263,900,6018,3092,2742,838
09:12:00,4060,3400,4458,5301,462,300
09:14:00,3676,160,5061,1231,200,3737
09:16:00,2163,8396,2250,10456,224,2260
09:18:00,6358,1700,1726,1017,2122,100
09:20:00,9983,280,2253,1116,2034,710
09:22:00,2441,2220,2147,2285,1233,650
09:24:00,4095,2657,6768,400,300,1750
09:26:00,953,779,2006,599,6269,210
09:28:00,7461,700,3532,1019,4356,600
09:30:00,3130,615,11843,2414,5294,5591
