Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,46,0,1,180,0,382
07:34:00,15,3,25,84,37,600
07:36:00,300,15,15,177,72,600
07:38:00,15,20,585,672,600,600
07:40:00,250,15,2,1437,600,30
07:42:00,70,20,5,859,600,890
07:44:00,15,10,10,120,9,271
07:46:00,57,15,10,10,367,620
07:48:00,172,30,15,1242,93,223
07:50:00,25,971,90,15,5,25
07:52:00,10,100,294,326,10,35
07:54:00,15,100,200,397,10,66
07:56:00,634,15,1439,45,5,181
07:58:00,5,105,672,446,60,107
08:00:00,65,714,219,234,55,988
08:02:00,41,1497,463,554,87,250
08:04:00,324,5,205,770,441,20
08:06:00,130,39,40,17,87,65
08:08:00,325,160,570,245,215,21
08:10:00,15,109,6266,1337,258,25
08:12:00,120,49,769,245,125,180
08:14:00,101,12,959,304,101,1994
08:16:00,5,347,751,1039,70,112
08:18:00,30,903,817,255,175,70
08:20:00,2,1,964,532,27,45
08:22:00,5,1,294,305,154,984
08:24:00,142,100,225,782,35,244
08:26:00,240,87,378,927,277,397
08:28:00,85,30,1061,1418,71,884
08:30:00,260,55,125,718,143,80
08:32:00,1003,100,305,1027,35,727
08:34:00,3,112,513,84,14,100
08:36:00,5,1,266,534,244,15
08:38:00,60,15,75,993,12,1025
08:40:00,17,952,495,252,60,1236
08:42:00,662,15,305,994,13,10
08:44:00,463,15,287,122,25,496
08:46:00,795,156,246,863,5,115
08:48:00,362,85,1600,297,159,250
08:50:00,120,475,677,265,35,10
08:52:00,262,243,75,97,8,15
08:54:00,155,20,350,496,4,60
08:56:00,95,20,325,565,9,25
08:58:00,356,102,660,82,2931,20
09:00:00,103,81,680,964,121,115
09:02:00,691,165,35,8884,100,561
09:04:00,233,28,361,155,25,60
09:06:00,341,637,523,229,175,1715
09:08:00,80,155,1138,1063,25,592
09:10:00,35,12,1847,477,10,122
09:12:00,549,16,701,5552,7,30
09:14:00,50,55,617,186,20,5
09:16:00,472,8,1789,366,34,110
09:18:00,120,154,278,328,15,40
09:20:00,1087,21,313,1425,36,133
09:22:00,45,23,705,975,55,10
09:24:00,310,33,1600,470,24,385
09:26:00,122,121,1591,704,8,130
09:28:00,105,189,294,115,17,260
09:30:00,1345,340,404,345,15,60
09:32:00,463,192,464,2242,40,5
09:34:00,690,676,237,328,25,328
09:36:00,40,55,345,729,353,1318
09:38:00,1267,70,1814,833,50,150
09:40:00,795,5,2072,595,14,110
09:42:00,330,1235,910,475,35,160
09:44:00,275,9,123,350,35,150
09:46:00,936,53,616,487,80,130
09:48:00,145,182,1317,363,15,5
09:50:00,553,187,186,735,3,75
09:52:00,45,18,56,299,117,65
09:54:00,219,152,420,1122,45,165
09:56:00,142,705,191,190,20,10
09:58:00,603,366,717,465,15,4203
10:00:00,19,10,75,405,55,1711
10:02:00,341,100,246,667,5,495
10:04:00,97,60,179,1863,10,430
10:06:00,77,52,2528,785,5,371
10:08:00,23,4675,161,1245,5,2962
10:10:00,561,57,749,140,5,118
10:12:00,135,22,549,418,939,5
10:14:00,372,96,548,298,24,5
10:16:00,10,519,248,418,10,5
10:18:00,660,101,381,629,104,5
10:20:00,546,33,311,308,74,5
10:22:00,51,464,330,140,75,190
10:24:00,52,301,409,405,121,520
10:26:00,4754,356,61,420,47,65
10:28:00,8086,199,512,1430,247,75
10:30:00,24,966,616,340,35,40
10:32:00,187,1379,187,200,63,194
10:34:00,94,56,509,270,12,1130
10:36:00,45,32,114,170,54,5
10:38:00,97,57,489,824,64,55
10:40:00,53,141,50,328,47,307
10:42:00,30,73,664,752,156,500
10:44:00,1291,51,341,110,395,180
