Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,181,0.0,0,2,3,1
07:34:00,62,200.0,1,7,62,1
07:36:00,200,200.0,8,62,392,600
07:38:00,100,200.0,100,100,173,100
07:40:00,100,100.0,600,12,100,366
07:42:00,62,946.0,600,100,100,47
07:44:00,100,85.0,600,5,52,61
07:46:00,62,100.0,50,62,52,195
07:48:00,100,250.0,600,600,52,600
07:50:00,100,985.0,371,600,50,600
07:52:00,62,100.0,100,500,1,336
07:54:00,285,600.0,600,62,1,156
07:56:00,100,235.0,1,38,161,200
07:58:00,100,415.0,600,1,7,100
08:00:00,100,35.0,250,1,400,193
08:02:00,100,85.0,309,300,1001,178
08:04:00,100,285.0,30,100,100,50
08:06:00,62,400.0,247,500,400,200
08:08:00,200,600.0,1,900,100,50
08:10:00,100,200.0,15,1200,100,75
08:12:00,347,346.0,25,762,100,125
08:14:00,100,3.0,200,300,100,57
08:16:00,100,9.0,62,600,100,443
08:18:00,100,1.0,124,1123,1513,500
08:20:00,100,600.0,124,200,1301,100
08:22:00,5,641.0,6,300,5600,374
08:24:00,166,100.0,100,3281,1400,126
08:26:00,100,372.0,100,1000,60,374
08:28:00,100,98.0,200,100,60,81
08:30:00,150,100.0,100,200,100,9
08:32:00,600,100.0,100,600,200,1
08:34:00,100,230.0,100,200,743,409
08:36:00,100,100.0,200,5357,1504,253
08:38:00,100,600.0,300,1395,164,231
08:40:00,100,600.0,14,1623,16,16
08:42:00,4,164.0,239,644,200,26
08:44:00,140,600.0,200,81,5100,600
08:46:00,100,400.0,11,171,100,600
08:48:00,100,600.0,11,1000,300,1012
08:50:00,100,600.0,489,1010,185,100
08:52:00,100,600.0,100,800,5155,100
08:54:00,357,250.0,100,100,105,522
08:56:00,200,8.0,400,100,2,417
08:58:00,200,288.0,1707,1880,1013,102
09:00:00,100,152.0,1600,2800,1891,1289
09:02:00,20,100.0,1661,350,412,122
09:04:00,100,100.0,83,4149,398,382
09:06:00,600,100.0,188,1200,550,100
09:08:00,50,100.0,195,88,62,230
09:10:00,10,100.0,38,297,38,2792
09:12:00,10,200.0,31,500,390,1126
09:14:00,10,600.0,37,100,24,134
09:16:00,10,385.0,100,100,1096,776
09:18:00,100,100.0,100,300,1378,1727
09:20:00,2,100.0,20,1159,4800,61
09:22:00,28,104.0,738,862,405,987
09:24:00,70,9.0,643,2848,5464,100
09:26:00,100,3.0,3114,800,100,711
09:28:00,600,1.0,3237,100,433,704
09:30:00,600,200.0,915,100,60,3513
09:32:00,100,600.0,110,400,250,270
09:34:00,62,600.0,697,500,100,759
09:36:00,50,600.0,14,500,100,87
09:38:00,100,600.0,551,500,30,200
09:40:00,50,111.0,756,500,100,1191
09:42:00,100,985.0,500,30,191,36
09:44:00,100,2.0,5570,2,100,61
09:46:00,62,85.0,330,100,29,56
09:48:00,100,45.0,1346,456,150,127
09:50:00,500,600.0,1275,44,321,1
09:52:00,5,600.0,1000,3886,400,49
09:54:00,95,5.0,100,100,3,300
09:56:00,100,13.0,12,200,193,46
09:58:00,250,100.0,100,62,50,39
10:00:00,10,100.0,1550,262,908,100
10:02:00,200,96.0,1200,62,2377,100
10:04:00,100,25.0,926,62,100,1300
10:06:00,200,100.0,1629,62,200,158
10:08:00,100,100.0,100,62,31,2599
10:10:00,100,985.0,100,62,100,351
10:12:00,100,341.0,100,62,3608,214
10:14:00,160,5.0,100,1,3611,338
10:16:00,3,885.0,1200,200,731,111
10:18:00,97,32.0,543,500,2825,201
10:20:00,3,100.0,229,1,31,100
10:22:00,119,100.0,2914,200,573,209
10:24:00,100,3.0,537,200,93,90
10:26:00,3,200.0,138,100,7,1000
10:28:00,100,100.0,1999,100,93,850
10:30:00,100,600.0,23,62,94,145
10:32:00,100,191.0,200,3,31,100
10:34:00,100,6.0,100,100,150,10
10:36:00,200,1088.0,1800,400,100,200
10:38:00,100,841.0,1761,62,849,100
10:40:00,100,100.0,531,62,193,200
10:42:00,100,1073.0,2,400,94,230
10:44:00,100,100.0,17,62,94,2692
10:46:00,400,100.0,1475,100,2,130
10:48:00,100,100.0,1000,62,100,230
10:50:00,100,600.0,400,350,300,390
10:52:00,100,100.0,1651,250,300,201
10:54:00,200,400.0,186,50,4131,800
10:56:00,100,600.0,828,100,4013,10
10:58:00,100,600.0,77,600,2193,20
11:00:00,100,200.0,200,185,3397,10
11:02:00,100,600.0,2,600,7080,500
11:04:00,100,600.0,98,687,79,2130
11:06:00,158,451.0,113,1713,21,100
11:08:00,45,500.0,100,500,100,116
11:10:00,1,100.0,300,100,279,2707
11:12:00,100,323.0,100,96,150,1463
11:14:00,200,1641.0,100,87,31,1071
11:16:00,150,100.0,100,200,6194,4552
11:18:00,100,1.0,100,200,918,600
11:20:00,100,100.0,100,51,1166,16
11:22:00,100,100.0,100,308,100,1583
11:24:00,600,37.0,100,246,1661,630
11:26:00,600,141.0,30,246,531,50
11:28:00,100,100.0,200,123,400,151
11:30:00,600,100.0,1519,123,100,300
11:32:00,102,600.0,100,600,100,2530
11:34:00,300,600.0,100,175,100,2985
11:36:00,600,100.0,100,100,100,5000
11:38:00,247,100.0,100,62,31,500
11:40:00,108,600.0,77,200,184,1210
11:42:00,200,600.0,23,100,70,1100
11:44:00,100,100.0,1432,100,30,5225
11:46:00,100,3.0,200,100,600,3439
11:48:00,100,597.0,2013,50,1235,3500
11:50:00,80,600.0,500,500,349,500
11:52:00,20,105.0,66,62,200,183
11:54:00,15,100.0,500,62,248,100
11:56:00,85,100.0,413,62,459,200
11:58:00,35,100.0,87,100,493,3744
12:00:00,100,100.0,100,100,173,1000
12:02:00,100,100.0,92,100,300,5561
12:04:00,102,100.0,401,100,100,6923
12:06:00,86,100.0,5,600,100,29519
12:08:00,25,100.0,142,100,300,3550
12:10:00,25,100.0,100,300,93,1802
12:12:00,100,100.0,600,600,62,200
12:14:00,38,100.0,758,500,94,3
12:16:00,102,100.0,378,44,124,2
12:18:00,100,100.0,13,1,124,701
12:20:00,38,100.0,100,50,318,130
12:22:00,49,100.0,100,50,205,500
12:24:00,25,100.0,600,50,31,100
12:26:00,182,100.0,1811,100,124,1000
12:28:00,107,100.0,125,399,100,600
12:30:00,139,100.0,100,50,202,1043
12:32:00,74,100.0,400,100,93,1444
12:34:00,45,100.0,100,100,1,100
12:36:00,172,100.0,100,100,380,100
12:38:00,25,100.0,186,62,93,500
12:40:00,3163,100.0,1309,62,1161,2000
12:42:00,870,100.0,3921,500,600,100
12:44:00,60,141.0,100,62,514,30
12:46:00,598,181.0,1,500,3093,600
12:48:00,83,319.0,1,62,617,975
12:50:00,48,141.0,100,62,121,81
12:52:00,669,141.0,96,62,12946,700
12:54:00,674,152.0,96,62,698,100
12:56:00,244,100.0,83,100,3703,157
12:58:00,194,359.0,117,50,966,700
13:00:00,290,15.0,100,62,1447,542
13:02:00,116,500.0,3381,62,281,61
13:04:00,164,92.0,1015,100,3,700
13:06:00,1476,130.0,278,62,62,7082
13:08:00,333,165.0,100,62,500,100
13:10:00,2320,600.0,362,548,187,300
13:12:00,66,600.0,3209,400,300,6444
13:14:00,244,3531.0,300,686,1294,1300
13:16:00,245,829.0,121,62,200,4698
13:18:00,217,85.0,100,200,479,5000
13:20:00,74,1131.0,62,972,31,1200
13:22:00,317,10.0,100,104,926,2700
13:24:00,75,100.0,62,1249,2708,200
13:26:00,103,95.0,1306,2,345,300
13:28:00,104,5.0,681,559,62,800
13:30:00,1617,94.0,250,62,999,673
13:32:00,130,15.0,400,1342,30,600
13:34:00,526,9.0,481,774,600,1400
13:36:00,315,82.0,388,706,378,600
13:38:00,131,81.0,1117,951,370,600
13:40:00,100,100.0,234,950,31,225
13:42:00,1344,100.0,589,1240,1367,344
13:44:00,120,300.0,481,1380,1685,3116
13:46:00,108,100.0,657,1603,283,3959
13:48:00,1600,27.0,1428,7234,1301,2475
13:50:00,100,,588,4093,3114,5266
13:52:00,412,,3055,223,1469,4100
13:54:00,962,,2537,1478,454,4572
13:56:00,185,,530,1719,2527,5909
13:58:00,1500,,624,5574,1618,6871
14:00:00,1907,,924,3679,2479,8682
