Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,0,0.0,3,5,22,2
07:34:00,11,100.0,99,7,29,97
07:36:00,100,2.0,200,440,38,600
07:38:00,21,100.0,507,600,37,501
07:40:00,1,52.0,500,200,29,2
07:42:00,178,262.0,10,4002,712,157
07:44:00,189,100.0,100,2,31,2635
07:46:00,31,100.0,100,2,42,2
07:48:00,680,2.0,100,100,44,100
07:50:00,182,100.0,100,1,14,4
07:52:00,1652,100.0,1000,100,26,100
07:54:00,319,100.0,10,158,38,500
07:56:00,2055,40.0,1731,4,839,796
07:58:00,1631,100.0,100,3,6,391
08:00:00,100,100.0,81,1,13,429
08:02:00,200,100.0,319,600,31,600
08:04:00,700,2.0,190,600,30,100
08:06:00,42,100.0,1300,32,29,100
08:08:00,529,100.0,2939,68,27,100
08:10:00,1428,100.0,294,40,31,29
08:12:00,1400,1.0,100,116,32,100
08:14:00,500,100.0,155,600,2,100
08:16:00,1067,100.0,13,284,27,60
08:18:00,303,100.0,1,252,134,100
08:20:00,226,100.0,100,32,182,322
08:22:00,139,100.0,158,235,32,8970
08:24:00,4,100.0,63,17,26,1206
08:26:00,100,100.0,103,100,41,600
08:28:00,100,100.0,296,100,23,3814
08:30:00,296,100.0,158,158,224,100
08:32:00,200,66.0,158,100,25,110
08:34:00,101,34.0,179,1006,62,229
08:36:00,254,66.0,397,1377,25,29
08:38:00,312,34.0,99,727,52,71
08:40:00,49,14.0,176,3453,33,371
08:42:00,100,66.0,22,1314,28,300
08:44:00,1896,20.0,11,860,44,241
08:46:00,592,48.0,18,4033,43,13
08:48:00,200,100.0,1497,159,15,220
08:50:00,400,100.0,100,828,1,400
08:52:00,689,100.0,100,746,40,5
08:54:00,236,100.0,727,652,21,100
08:56:00,21,100.0,1098,586,43,695
08:58:00,120,100.0,3,168,137,280
09:00:00,54,100.0,2,2115,29,1020
09:02:00,91,600.0,900,1221,152,100
09:04:00,10,100.0,479,5192,170,200
09:06:00,338,100.0,1203,10,27,100
