Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0.0,0,0
07:32:00,120,0,4,0.0,163910,0
07:34:00,210,2,1,2103.0,4066,100
07:36:00,710,400,150,1773.0,635,470
07:38:00,1510,100,100,900.0,15500,200
07:40:00,300,100,100,300.0,2215,577
07:42:00,713,100,1925,2256.0,2540,100
07:44:00,1312,11,2311,800.0,600,972
07:46:00,954,50,5164,711.0,2238,2376
07:48:00,1351,100,1213,400.0,1835,100
07:50:00,1381,200,994,1900.0,1142,100
07:52:00,2610,15,871,566.0,844,100
07:54:00,400,13,1350,349.0,1336,827
07:56:00,810,100,4640,450.0,100,1574
07:58:00,200,12,5407,1000.0,664,2880
08:00:00,428,100,1636,100.0,312,2070
08:02:00,1400,100,8679,2224.0,383,600
08:04:00,963,20,3391,1300.0,1180,200
08:06:00,1095,100,4102,500.0,300,1600
08:08:00,1094,100,1274,600.0,1071,700
08:10:00,311,1,1800,100.0,3569,600
08:12:00,900,15,2311,1713.0,579,1800
08:14:00,400,34,2878,1500.0,1138,1100
08:16:00,550,100,1909,2122.0,900,4144
08:18:00,400,50,389,601.0,1176,400
08:20:00,3203,50,1418,223.0,857,1309
08:22:00,1951,125,1396,1709.0,500,800
08:24:00,200,100,1232,2086.0,300,911
08:26:00,1813,100,4628,7967.0,4719,1100
08:28:00,100,100,1629,2674.0,3267,1180
08:30:00,1210,200,1478,1600.0,300,13226
08:32:00,500,100,1748,1400.0,500,800
08:34:00,400,11,1197,4328.0,500,811
08:36:00,1174,20,6472,3847.0,204,1100
08:38:00,1574,80,1300,13854.0,200,900
08:40:00,200,50,8837,86.0,300,700
08:42:00,311,12,2058,27394.0,426,100
08:44:00,2191,10,2517,1545.0,554,469
08:46:00,400,1300,4457,755.0,500,1400
08:48:00,400,1,671,1336.0,900,334
08:50:00,600,100,3661,1323.0,300,200
08:52:00,1700,32,3672,5709.0,6785,410
08:54:00,2184,11,6700,3586.0,300,500
08:56:00,1174,89,1907,600.0,600,8062
08:58:00,5149,11,1900,800.0,12028,50
09:00:00,404,89,2212,1110.0,2800,129
09:02:00,100,100,9069,186.0,400,200
09:04:00,1007,100,3312,300.0,3151,100
09:06:00,200,721,13244,1000.0,400,1585
09:08:00,2821,13,10072,333.0,1111,100
09:10:00,2420,400,2247,100.0,922,100
09:12:00,2424,800,6588,3233.0,748,100
09:14:00,100,187,2997,300.0,802,10
09:16:00,3326,25,427,1627.0,211,1
09:18:00,300,110,3574,1109.0,638,100
09:20:00,2327,200,4414,2273.0,500,200
09:22:00,317,120,1632,1030.0,700,500
09:24:00,3818,80,2899,150.0,1456,100
09:26:00,1100,1,6837,1751.0,1059,1100
09:28:00,885,30,1310,3446.0,4586,100
09:30:00,765,199,1846,411.0,900,100
09:32:00,300,19,3877,7883.0,9304,200
09:34:00,500,11,2901,1514.0,3559,1200
09:36:00,2957,100,3111,200.0,446,1600
09:38:00,800,10,2333,386.0,7264,300
09:40:00,2151,160,3447,2334.0,2830,100
09:42:00,1100,226,3714,621.0,1884,100
09:44:00,100,19,2358,1084.0,600,200
09:46:00,1985,1600,1833,1778.0,500,100
09:48:00,1205,100,906,2330.0,1547,100
09:50:00,200,100,2028,1134.0,300,100
09:52:00,1300,11,927,1686.0,400,200
09:54:00,1100,289,715,623.0,700,400
09:56:00,100,200,1127,500.0,406,110
09:58:00,1010,21,2996,586.0,300,500
10:00:00,200,79,4392,2496.0,650,430
10:02:00,700,100,1939,1798.0,502,449
10:04:00,2233,100,565,1122.0,300,1000
10:06:00,100,100,1822,610.0,400,800
10:08:00,52,100,4124,286.0,5786,510
10:10:00,48,100,478,5355.0,18162,100
10:12:00,1000,22,2919,2383.0,1000,431
10:14:00,500,600,2366,3889.0,1048,100
10:16:00,400,100,100,1000.0,863,7766
10:18:00,3162,900,1620,2586.0,2360,500
10:20:00,200,291,1794,5459.0,1448,1400
10:22:00,300,106,1518,1086.0,133,100
10:24:00,8292,222,2449,700.0,681,100
10:26:00,1900,418,655,300.0,300,610
10:28:00,600,103,779,1208.0,1063,405
10:30:00,400,282,2918,2211.0,400,100
10:32:00,200,15,2022,1211.0,712,418
10:34:00,52,34,1419,643.0,192,100
10:36:00,459,308,1253,703.0,100,100
10:38:00,100,100,1749,100.0,200,400
10:40:00,2000,100,424,2132.0,100,1621
10:42:00,350,300,2918,848.0,100,800
10:44:00,110,1202,2961,1200.0,300,200
10:46:00,1209,100,4031,886.0,400,400
10:48:00,1548,154,884,1410.0,300,400
10:50:00,400,6,2616,1311.0,700,100
10:52:00,300,20,3118,1075.0,5700,100
10:54:00,1653,100,1656,1086.0,100,200
10:56:00,1411,20,2332,100.0,585,520
10:58:00,400,120,3355,1282.0,389,2500
11:00:00,100,126,4558,697.0,811,1310
11:02:00,1144,200,2135,100.0,1000,100
11:04:00,1200,110,319,500.0,400,600
11:06:00,2400,460,21,200.0,400,100
11:08:00,1996,99,116,1634.0,422,500
11:10:00,2292,74,222,1259.0,900,200
11:12:00,1718,1145,2105,1350.0,1347,100
11:14:00,622,237,120,336.0,1000,3561
11:16:00,780,300,2532,1700.0,11261,348
11:18:00,700,106,223,100.0,8940,300
11:20:00,222,100,2449,1897.0,811,324
11:22:00,900,100,249,801.0,992,3196
11:24:00,548,100,622,100.0,511,185
11:26:00,1381,37,6922,200.0,955,300
11:28:00,3033,63,19,300.0,1553,200
11:30:00,1072,37,384,1970.0,7613,658
11:32:00,2780,63,419,201.0,3032,1800
11:34:00,422,200,24,1148.0,1481,200
11:36:00,800,100,543,100.0,711,2200
11:38:00,1448,100,395,581.0,1122,100
11:40:00,600,100,110,1348.0,300,100
11:42:00,700,100,120,2076.0,999,200
11:44:00,552,100,100,100.0,1759,500
11:46:00,1540,965,422,300.0,11581,500
11:48:00,885,100,1989,10.0,3007,2288
11:50:00,2050,100,421,1146.0,200,1311
11:52:00,1300,100,119,14.0,1960,200
11:54:00,448,100,61,487.0,759,100
11:56:00,810,145,18,660.0,897,100
11:58:00,800,300,3079,1250.0,1532,100
12:00:00,400,500,2450,200.0,1811,8685
12:02:00,1310,3274,200,1352.0,807,1500
12:04:00,2232,100,38,1400.0,4150,1110
12:06:00,500,900,100,300.0,1911,600
12:08:00,10,825,947,100.0,1633,530
12:10:00,190,900,561,1394.0,400,615
12:12:00,810,100,2090,300.0,1551,100
12:14:00,700,100,9,200.0,1011,600
12:16:00,1000,100,7489,1346.0,4970,500
12:18:00,1000,100,114,1120.0,1606,500
12:20:00,100,100,669,671.0,1911,200
12:22:00,100,100,124,200.0,3111,920
12:24:00,730,400,120,100.0,1600,300
12:26:00,891,535,942,700.0,200,600
12:28:00,1500,65,3108,500.0,2695,10
12:30:00,200,35,1603,800.0,1248,585
12:32:00,600,639,1585,760.0,511,300
12:34:00,200,100,765,700.0,1400,100
12:36:00,2122,100,300,900.0,100,732
12:38:00,100,56,967,2918.0,1500,100
12:40:00,700,44,1691,298.0,300,1400
12:42:00,200,315,1013,2411.0,2141,648
12:44:00,600,200,3463,831.0,759,10
12:46:00,200,100,1563,757.0,1688,300
12:48:00,711,100,1320,1745.0,3300,2228
12:50:00,1000,500,626,942.0,700,1810
12:52:00,200,100,2556,1806.0,4103,8076
12:54:00,470,200,1700,4088.0,548,100
12:56:00,100,200,1892,399.0,1385,500
12:58:00,930,1200,1659,2259.0,600,100
13:00:00,2110,500,300,759.0,1103,400
13:02:00,500,2975,992,250.0,400,1030
13:04:00,700,50,6274,100.0,200,596
13:06:00,1905,200,1523,951.0,4471,100
13:08:00,700,100,1289,1807.0,1200,2000
13:10:00,1074,100,1471,2172.0,500,200
13:12:00,910,305,2581,5487.0,300,400
13:14:00,1111,100,2224,811.0,2000,100
13:16:00,459,4293,3994,800.0,2463,1110
13:18:00,3800,200,3062,2634.0,9062,1812
13:20:00,944,249,3239,662.0,4900,3867
13:22:00,3079,100,620,1541.0,100,1032
13:24:00,1330,100,309,2322.0,400,737
13:26:00,1646,4352,2013,3269.0,400,1017
13:28:00,300,1958,3759,4883.0,300,5762
13:30:00,1772,1137,3445,2807.0,1260,6574
13:32:00,3551,971,1857,28995.0,1305,3270
13:34:00,1891,330,3995,52858.0,4198,4422
13:36:00,5910,895,2664,65596.0,2911,1500
13:38:00,2440,2942,1923,68534.0,1385,9432
13:40:00,878,7164,6666,72785.0,2374,10891
13:42:00,2430,100,2359,78132.0,6303,7772
13:44:00,5949,4438,6560,93945.0,1511,3542
13:46:00,3650,9432,5104,12029.0,3376,11850
13:48:00,3198,1004,1992,,3138,6562
13:50:00,1720,400,4227,,4900,5057
13:52:00,1410,500,5391,,3711,9533
13:54:00,2763,1001,5713,,5964,6472
13:56:00,2572,2111,4725,,11028,9093
13:58:00,5531,1691,5943,,14950,33130
14:00:00,3501,891,11051,,12582,19977
