Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0.0
07:32:00,3,37.0,43,0,28,2.0
07:34:00,100,400.0,49,240,140,100.0
07:36:00,368,1.0,51,299,100,49.0
07:38:00,249,100.0,1,600,100,600.0
07:40:00,749,100.0,200,50,400,149.0
07:42:00,100,100.0,400,50,89,149.0
07:44:00,24,100.0,149,1,600,187.0
07:46:00,1746,600.0,149,1,200,100.0
07:48:00,793,100.0,451,500,237,100.0
07:50:00,200,100.0,100,530,10523,149.0
07:52:00,100,100.0,149,140,100,400.0
07:54:00,230,100.0,149,500,400,32.0
07:56:00,590,100.0,600,2,1600,200.0
07:58:00,11,100.0,300,200,736,100.0
08:00:00,100,100.0,200,100,581,14.0
08:02:00,5,100.0,600,100,60,100.0
08:04:00,95,100.0,1367,140,514,300.0
08:06:00,1150,100.0,334,600,14,100.0
08:08:00,529,100.0,784,100,29,100.0
08:10:00,100,100.0,149,100,236,296.0
08:12:00,350,500.0,249,100,35,600.0
08:14:00,450,100.0,150,60,1,600.0
08:16:00,1575,100.0,840,7,149,100.0
08:18:00,210,100.0,28,40,100,700.0
08:20:00,100,100.0,1172,400,56,9.0
08:22:00,49,100.0,300,100,5,600.0
08:24:00,100,100.0,125,500,71,100.0
08:26:00,268,100.0,100,100,235,100.0
08:28:00,40,100.0,600,600,1,100.0
08:30:00,100,118.0,149,100,2,2398.0
08:32:00,500,90.0,600,100,2,1703.0
08:34:00,50,90.0,600,179,100,50.0
08:36:00,32,210.0,3323,600,100,300.0
08:38:00,1109,100.0,300,10,100,550.0
08:40:00,15,100.0,600,100,49,1088.0
08:42:00,21,400.0,600,400,12,100.0
08:44:00,302,100.0,3300,100,38,200.0
08:46:00,7,125.0,189,600,300,710.0
08:48:00,100,100.0,234,625,9,100.0
08:50:00,224,300.0,567,2146,100,82.0
08:52:00,2651,100.0,101,925,49,100.0
08:54:00,100,100.0,101,100,236,69.0
08:56:00,40,100.0,408,50,100,600.0
08:58:00,260,200.0,191,100,244,300.0
09:00:00,100,123.0,102,958,500,1600.0
09:02:00,400,122.0,600,200,149,200.0
09:04:00,100,123.0,1073,100,121,568.0
09:06:00,100,123.0,1979,100,100,1032.0
09:08:00,100,122.0,3325,700,35,100.0
09:10:00,327,100.0,312,100,65,800.0
09:12:00,20,200.0,757,1179,253,201.0
09:14:00,80,136.0,1141,1,47,100.0
09:16:00,100,136.0,164,100,221,200.0
09:18:00,285,135.0,202,99,34,18.0
