Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,203,2,0,0,520,12
07:34:00,2,10,100,877,100,122
07:36:00,100,255,100,177,580,121
07:38:00,100,100,5,2491,157,100
07:40:00,42,500,600,888,106,22
07:42:00,10,500,122,3056,600,700
07:44:00,16,8,200,162,417,1109
07:46:00,261,92,10,122,270,309
07:48:00,477,100,100,678,623,90
07:50:00,153,100,58,384,152,10
07:52:00,57,100,122,200,4,500
07:54:00,600,100,991,400,100,800
07:56:00,1560,100,213,1100,18,822
07:58:00,300,100,599,1912,391,1663
08:00:00,300,100,910,476,234,1770
08:02:00,2669,100,1064,230,41,1750
08:04:00,2943,58,1252,100,777,20
08:06:00,100,52,266,500,97,110
08:08:00,603,10,157,1130,235,890
08:10:00,96,8,3196,600,107,10
08:12:00,200,100,152,3877,11,1535
08:14:00,100,100,491,9444,302,300
08:16:00,6303,100,245,1780,1741,1792
08:18:00,400,100,5645,2673,309,600
08:20:00,180,600,1319,100,19,495
08:22:00,48,600,1178,710,790,2419
08:24:00,701,600,4040,430,300,1300
08:26:00,228,100,244,6623,335,1200
08:28:00,674,10,12,4779,232,600
08:30:00,344,100,507,878,119,100
08:32:00,88,100,713,48,132,300
08:34:00,23,100,112,20,1,299
08:36:00,74,100,531,400,17,2130
08:38:00,26,100,100,110,122,942
08:40:00,202,100,100,5119,495,1100
08:42:00,230,100,300,100,1054,500
08:44:00,100,100,720,2210,1396,1300
08:46:00,1101,100,2804,140,3673,2705
08:48:00,4,100,1007,100,335,1500
08:50:00,96,100,600,620,1401,600
08:52:00,473,100,66,1799,787,400
08:54:00,20,1,234,100,620,569
08:56:00,230,100,600,200,475,110
08:58:00,678,10,10,100,193,2719
09:00:00,10973,100,58,152,507,2100
09:02:00,1295,100,719,400,10,2834
09:04:00,14,1,1025,7110,504,490
09:06:00,134,100,1753,901,100,2103
09:08:00,40,100,1228,1290,100,2000
09:10:00,19,200,1237,1300,21,8111
09:12:00,110,2,1496,2070,300,1270
09:14:00,200,98,1581,8954,42,990
09:16:00,301,100,1784,5,1,40
09:18:00,300,100,3321,7190,1658,3000
09:20:00,37,300,1125,2390,400,1759
09:22:00,431,100,1284,735,200,2758
09:24:00,100,200,879,803,1083,1300
09:26:00,100,31,1253,920,1534,169
09:28:00,358,100,455,600,66,1210
09:30:00,100,100,1159,160,363,203
09:32:00,173,100,1124,2193,90,693
09:34:00,100,100,665,1390,100,300
09:36:00,75,100,293,930,496,896
09:38:00,110,5,473,100,200,600
09:40:00,198,100,292,360,21,600
09:42:00,61,100,617,550,100,3400
09:44:00,494,100,815,50,112,2100
09:46:00,210,100,272,400,100,1600
09:48:00,300,8,441,1039,100,170
09:50:00,417,1,18,1100,1188,100
09:52:00,150,600,625,210,382,100
09:54:00,100,600,281,31,100,100
09:56:00,1284,600,600,240,100,210
09:58:00,17439,100,1571,100,100,700
10:00:00,74,200,125,510,60,1000
10:02:00,135,100,361,300,18,200
10:04:00,173,300,125,1100,100,100
10:06:00,100,100,453,100,100,100
10:08:00,300,100,499,120,316,100
10:10:00,1019,100,441,110,122,200
10:12:00,580,100,100,600,122,2000
10:14:00,186,101,100,970,100,700
10:16:00,100,100,74,310,100,90
10:18:00,100,99,448,110,122,10
10:20:00,225,2,1423,503,256,1000
10:22:00,756,100,168,117,1421,3523
10:24:00,262,100,145,530,200,700
10:26:00,405,100,157,500,43,10
10:28:00,455,100,613,150,350,90
10:30:00,100,100,3123,100,30,2306
10:32:00,173,98,300,2694,61,2898
10:34:00,1900,2,660,200,70,942
10:36:00,163,100,1411,320,106,590
10:38:00,160,100,800,110,552,128
10:40:00,315,100,522,1076,80,130
10:42:00,100,100,459,841,2,4058
10:44:00,400,1800,1823,431,30,800
10:46:00,100,200,6655,1266,50,200
10:48:00,100,300,406,202,3205,125
10:50:00,296,100,289,300,531,400
10:52:00,50,100,538,900,140,200
10:54:00,100,200,431,200,70,10
10:56:00,253,300,1093,565,210,100
10:58:00,100,100,210,100,780,600
11:00:00,444,100,1969,10,30,600
11:02:00,330,25,70,100,30,3136
11:04:00,100,600,826,280,3120,13326
11:06:00,100,700,111,100,90,405
11:08:00,100,100,545,221,101,200
11:10:00,930,100,91,570,30,2900
11:12:00,173,100,301,100,30,29769
11:14:00,300,100,310,64,4851,2141
11:16:00,111,10,1154,36,30,900
11:18:00,914,200,600,340,581,804
11:20:00,200,200,600,60,30,221
11:22:00,414,100,4199,110,800,20
11:24:00,1855,100,1425,500,400,100
11:26:00,100,100,2552,300,739,10
11:28:00,2884,100,1150,100,30,600
11:30:00,137,100,899,300,1050,1302
11:32:00,1346,200,771,200,670,2500
11:34:00,1705,200,296,110,700,2100
11:36:00,1555,600,383,107,560,35
11:38:00,265,400,372,100,2645,158
11:40:00,1271,300,2309,300,268,1384
11:42:00,80,100,553,120,122,605
11:44:00,1168,100,4869,520,2448,400
11:46:00,1559,65,877,10,947,100
11:48:00,10256,100,1986,240,10,600
11:50:00,1776,100,558,400,190,710
11:52:00,2242,100,450,410,2267,510
11:54:00,1216,100,5448,220,1200,10
11:56:00,1640,600,4694,300,740,40
11:58:00,2118,100,1577,420,80,10
12:00:00,4175,100,445,340,240,90
12:02:00,310,100,1526,500,1330,855
12:04:00,391,100,1105,1567,802,114
12:06:00,1684,100,2524,869,261,103
12:08:00,854,1,1635,413,890,12085
12:10:00,112,100,887,520,15,919
12:12:00,1211,100,1520,450,507,2805
12:14:00,4874,100,1056,1496,200,755
12:16:00,1228,100,1399,110,1430,100
12:18:00,4337,79,100,230,10,1143
12:20:00,102,21,366,700,680,100
12:22:00,66,221,551,625,582,10
12:24:00,338,100,576,400,50,2209
12:26:00,529,21,835,280,10,600
12:28:00,37,100,303,220,10,100
12:30:00,452,100,889,205,110,200
12:32:00,1308,100,100,710,1330,500
12:34:00,225,100,1175,1132,1028,600
12:36:00,631,99,100,1130,30,1605
12:38:00,300,1,16,1718,2261,586
12:40:00,884,100,2061,290,750,1800
12:42:00,470,10,206,230,1244,1044
12:44:00,658,100,786,430,18,10
12:46:00,1670,100,1732,200,30,710
12:48:00,7664,600,1699,540,1139,909
12:50:00,295,600,506,3846,22,10
12:52:00,1572,300,430,367,6690,762
12:54:00,19,600,4260,241,1236,1124
12:56:00,581,400,2859,470,400,300
12:58:00,1732,100,567,700,2644,1110
13:00:00,100,600,2387,640,3092,410
13:02:00,235,600,9438,930,2280,506
13:04:00,9,500,3349,508,4114,319
13:06:00,400,100,2144,4269,980,110
13:08:00,5681,100,4373,1575,4570,300
13:10:00,454,17,3573,1334,1460,24
13:12:00,1838,100,1072,1590,1098,810
13:14:00,250,100,3830,3986,1888,3100
13:16:00,60,100,255,1998,1739,10
13:18:00,452,100,992,1917,791,210
13:20:00,15990,100,960,2634,190,100
13:22:00,1394,100,333,1580,3094,612
13:24:00,2020,100,1033,2060,2360,300
13:26:00,2299,101,1653,1043,2976,600
13:28:00,9761,230,1305,5254,3630,100
13:30:00,1823,101,627,1672,1027,1348
13:32:00,10190,68,978,999,1051,100
13:34:00,1842,32,5968,2794,437,1063
13:36:00,7261,100,3267,5016,2468,84
13:38:00,450,24,3304,2268,898,798
13:40:00,3043,102,1677,2524,320,1600
13:42:00,2457,164,3058,1885,5912,3913
13:44:00,4308,101,2337,2050,4634,3112
13:46:00,4868,100,1140,1507,4391,3025
13:48:00,1191,1299,4161,1517,5147,558
13:50:00,3282,1579,8336,2370,7057,2343
13:52:00,2522,493,9137,1539,6534,1060
13:54:00,2288,1150,3957,3725,5036,1360
