Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,50,1561,9813,682,552,6978
07:34:00,11,50,100,7606,100,300
07:36:00,221,17,12956,7893,400,2
07:38:00,5139,1400,5708,1466,200,1
07:40:00,1166,1,4066,1730,100,611
07:42:00,500,3,1342,1200,1,500
07:44:00,200,730,3255,3322,133,7266
07:46:00,100,28,1952,800,791,1435
07:48:00,3857,60,2843,200,1000,20812
07:50:00,400,500,442,2400,500,401
07:52:00,300,130,3185,700,100,11
07:54:00,1201,20,11321,4000,8,702
07:56:00,471,42,7890,100,1,1600
07:58:00,2010,200,512,101,238,2583
08:00:00,2623,199,499,100,10,2253
08:02:00,1515,20,2370,2101,500,500
08:04:00,6522,1,1419,2500,822,600
08:06:00,2686,31,19056,7202,100,1000
08:08:00,915,1,13485,2500,210,300
08:10:00,503,20,8140,1010,10,200
08:12:00,1221,100,1225,700,200,610
08:14:00,515,90,2798,400,10,800
08:16:00,400,30,11959,1593,100,346
08:18:00,5600,8,1472,200,100,500
08:20:00,6706,1,5982,5000,1800,174
08:22:00,7650,100,5117,7300,10,100
08:24:00,1600,230,235,202,4,595
08:26:00,18810,800,6651,6,526,5185
08:28:00,6297,980,365,610,711,1198
08:30:00,774,70,749,200,2,754
08:32:00,1001,30,90,100,700,1170
08:34:00,800,1,602,630,84,10342
08:36:00,5120,9,290,400,106,3481
08:38:00,544,95,702,900,10,1507
08:40:00,3652,39,3212,1400,10,1125
08:42:00,7458,716,400,1600,10,690
08:44:00,1926,45,30,14350,10,191
08:46:00,2539,2,103,200,50,2
08:48:00,3100,2,3402,200,5,298
08:50:00,1015,100,100,700,1,8508
08:52:00,907,100,413,1016,6,4200
08:54:00,3086,90,50,595,1,18051
08:56:00,1080,100,5153,2674,800,1188
08:58:00,1315,1800,1900,100,686,8
09:00:00,3333,2300,100,300,10,852
09:02:00,300,2400,287,400,4040,9000
09:04:00,7633,1800,414,4000,1,600
09:06:00,1368,340,2578,6821,1000,8200
09:08:00,515,100,4206,2333,500,90
09:10:00,616,200,9896,4500,1500,20
09:12:00,5502,1059,1942,3002,10,1154
09:14:00,11100,719,71,100,1,2200
09:16:00,8104,80,13,631,42,551
09:18:00,800,20,238,370,357,100
09:20:00,1401,100,2420,1310,1800,3838
09:22:00,721,1,510,1574,191,1686
09:24:00,300,2400,5748,1200,100,100
09:26:00,1130,659,740,600,2939,200
09:28:00,2705,2400,386,485,10,1
09:30:00,1200,660,313,100,1524,99
09:32:00,835,100,5514,1014,806,536
09:34:00,1409,910,296,4063,1,2
09:36:00,891,120,6390,100,36,100
09:38:00,706,60,10921,200,64,100
09:40:00,1802,70,1605,1854,10,100
09:42:00,5803,100,1647,1772,6,500
09:44:00,649,100,442,4701,1,2546
09:46:00,1000,460,1195,400,8,102
09:48:00,3400,280,1742,1186,18,2496
09:50:00,6000,520,4677,400,1,1
09:52:00,15673,220,1641,900,400,200
09:54:00,18707,1,42,1,520,2
09:56:00,500,1105,100,3825,934,98
09:58:00,100,129,1620,2000,1206,100
10:00:00,1080,14305,2930,5032,220,220
10:02:00,361,100,280,1300,300,4690
10:04:00,2244,60,635,5300,1000,1800
10:06:00,191,210,674,1200,200,10600
10:08:00,804,1,10354,2000,204,5500
10:10:00,586,100,586,25448,411,1250
10:12:00,200,5,512,22,20,3000
10:14:00,400,2,400,275,80,120
10:16:00,1,3,137,300,300,110
10:18:00,200,97,1466,3092,246,7689
10:20:00,736,200,162,200,400,204
10:22:00,1807,100,694,10210,100,1
10:24:00,10,2,318,3876,5297,200
10:26:00,1,1183,4,190,204,400
10:28:00,2,100,9964,1631,895,1700
10:30:00,930,1787,244,5825,200,900
10:32:00,2585,2,406,4700,600,50
10:34:00,24625,60,420,300,2,1
10:36:00,3901,50,100,300,100,4219
10:38:00,500,340,1310,315,100,12801
10:40:00,6286,306,421,208,2,200
10:42:00,500,400,400,1776,400,2800
10:44:00,1653,1,498,7622,184,600
10:46:00,7172,100,1144,500,100,10242
10:48:00,453,129,129,16112,50,100
10:50:00,215,628,17,14926,200,1249
10:52:00,18828,9273,100,6923,100,396
10:54:00,2002,800,210,3475,400,1301
10:56:00,2300,200,2767,1210,1,9
10:58:00,100,33,245,180,100,3211
11:00:00,3200,682,5788,625,216,7380
11:02:00,3036,370,313,2482,100,3
11:04:00,1000,100,776,1500,100,1
11:06:00,705,498,1052,997,100,100
11:08:00,15894,400,413,400,100,200
11:10:00,215,11,2929,1357,100,200
11:12:00,11659,100,150,1294,200,235
11:14:00,12791,100,1446,1300,1100,635
11:16:00,1220,100,845,100,200,10
11:18:00,1505,1800,154,1580,2400,1
11:20:00,313,87,1429,135,2929,600
11:22:00,1349,15,300,1528,800,814
11:24:00,928,300,235,100,5120,200
11:26:00,1314,200,3388,300,3302,100
11:28:00,1,330,1234,516,100,2
11:30:00,100,115,5557,3404,200,300
11:32:00,700,200,2939,1097,200,50
11:34:00,1197,595,102,239,100,200
11:36:00,22916,2120,805,302,1530,900
11:38:00,200,250,22,2245,100,100
11:40:00,100,200,743,1684,300,19587
11:42:00,440,724,100,1148,8450,1000
11:44:00,113,46,19,1219,3014,100
11:46:00,4806,1,435,545,300,100
11:48:00,200,200,263,222,200,380
11:50:00,9693,1,4517,2646,1505,2400
11:52:00,2412,200,3859,2062,1000,1700
11:54:00,4987,200,17,1911,300,900
11:56:00,1,301,551,44,17494,200
11:58:00,100,200,459,743,4600,300
12:00:00,200,1263,600,2019,190,446
12:02:00,1607,100,441,152,217,100
12:04:00,1449,100,247,3000,12989,500
12:06:00,32625,100,324,7292,2100,3472
12:08:00,70953,100,410,318,400,400
12:10:00,18771,200,43,117759,274,1761
12:12:00,2616,1306,111,100,200,611
12:14:00,9487,291,19920,15564,3100,800
12:16:00,820,100,371,5190,816,78
12:18:00,4,653,275,800,2,3820
12:20:00,3,253,1214,335,7000,400
12:22:00,591,100,706,10,300,698
12:24:00,21249,100,327,915,4533,100
12:26:00,100,15,386,620,2808,1112
12:28:00,5010,3,346,1115,10285,77
12:30:00,364,153,242,1500,614,126
12:32:00,8306,566,119,545,200,200
12:34:00,1584,100,314,100,100,1
12:36:00,5900,200,565,1955,100,5228
12:38:00,100,464,638,4510,100,228
12:40:00,2,200,1030,6115,616,3428
12:42:00,830,100,1261,23869,670,1601
12:44:00,5178,103,718,2028,777,559
12:46:00,725,200,1126,2714,100,5594
12:48:00,444,100,148,1908,5460,1291
12:50:00,155,100,703,9076,1619,856
12:52:00,4746,1000,586,9420,152,431
12:54:00,221,526,701,3868,2483,1805
12:56:00,1507,100,722,5175,9200,700
12:58:00,100,591,7591,4475,100,4400
13:00:00,1935,100,874,6891,6579,100
13:02:00,15686,100,5090,2600,2096,2010
13:04:00,100,100,512,1488,1864,2840
13:06:00,100,250,701,3000,400,1236
13:08:00,10,200,162,8131,20,9811
13:10:00,20,86,567,9515,428,1214
13:12:00,1853,14,1417,12234,5874,10
13:14:00,20,14,788,3594,10,89
