Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,7600,0,0
07:32:00,36601,3860,17545,5702,7297,16024
07:34:00,856,5417,1468,8585,2130,1761
07:36:00,4093,13199,772,17645,4122,52183
07:38:00,14625,3856,2163,14363,7680,38814
07:40:00,7780,6990,4483,12143,5617,42666
07:42:00,4286,5320,5015,12601,7411,13166
07:44:00,3163,6439,3057,10488,6303,6339
07:46:00,5229,9117,22117,4535,12089,17498
07:48:00,11351,6961,2546,14339,1955,6324
07:50:00,3077,10474,5734,4259,4942,5290
07:52:00,12370,1721,15156,13617,10475,15058
07:54:00,14026,2200,10512,16293,7618,20207
07:56:00,16473,2866,16411,28223,7697,22039
07:58:00,6746,10559,18900,22993,4800,10600
08:00:00,3094,1604,3481,6620,4436,27219
08:02:00,9144,1,38037,4977,4809,20141
08:04:00,6806,500,19932,6873,18039,11071
08:06:00,6893,2424,14460,22510,3827,8606
08:08:00,7137,6544,7830,9633,13407,27949
08:10:00,6071,2,23392,5796,6290,13271
08:12:00,4269,1422,24266,11133,7584,10658
08:14:00,8606,3129,61999,9595,6589,18296
08:16:00,16103,3855,54202,22108,16737,15040
08:18:00,12902,2408,35291,22664,7996,15159
08:20:00,21619,4,25394,44826,18202,40814
08:22:00,16400,2114,38619,23877,13398,10029
08:24:00,25508,3155,25634,98954,10350,52158
08:26:00,13681,7270,26802,73218,12983,43545
08:28:00,18053,832,24444,51436,2728,33811
08:30:00,34721,3550,20465,21859,6081,9222
08:32:00,19341,3512,42577,36265,5483,15652
08:34:00,14855,930,33850,27309,6100,14721
08:36:00,24636,13072,73151,48410,20582,40420
08:38:00,18612,4696,43365,52661,9279,25847
08:40:00,22520,2347,13332,27978,12364,9241
08:42:00,31646,5097,40618,35845,20110,31158
08:44:00,15419,2638,36169,3592,10404,46969
08:46:00,20735,3560,50764,19016,42219,14476
08:48:00,25497,3841,81986,27172,16567,9790
08:50:00,63453,2526,52558,38053,15363,4210
08:52:00,39651,4372,14592,45169,59440,9892
08:54:00,30442,8130,13355,6971,6029,8355
08:56:00,8736,7677,19150,10282,12148,7181
08:58:00,14221,1900,12036,8398,14375,8205
09:00:00,25639,752,10059,6693,25507,9027
09:02:00,16284,3759,6374,12334,22532,8685
09:04:00,34731,1847,15366,8265,19167,5099
09:06:00,52219,2548,29376,9002,2893,12628
09:08:00,57466,1351,36935,16834,18810,6775
09:10:00,277220,2709,66135,22782,25738,2718
09:12:00,100919,4003,28353,29382,103659,19291
09:14:00,27333,2600,23470,12756,12839,4015
09:16:00,34627,2691,39817,7635,24181,3406
09:18:00,26257,707,47354,15513,20114,10131
09:20:00,16688,3623,18536,27917,58210,15878
09:22:00,62877,66469,18411,34826,12614,7500
09:24:00,28317,1,55854,64328,25296,3527
09:26:00,65025,673,32010,83233,19881,2722
09:28:00,12380,2861,22107,188609,28915,7658
09:30:00,74820,2562,23685,16152,17127,3962
09:32:00,16126,13799,45741,21130,37733,16399
09:34:00,8205,4528,30736,50086,16862,7141
09:36:00,22607,1900,36022,17737,46135,3087
09:38:00,67904,1616,32584,8690,19360,8452
09:40:00,24852,2488,60352,26947,10706,3975
09:42:00,47063,1389,107177,12172,13687,7198
09:44:00,49852,3527,24293,11292,16034,15515
09:46:00,11308,3301,24857,7416,18733,1877
09:48:00,14730,145,30284,1435000,9036,16696
09:50:00,10286,9817,21561,31862,7219,7904
09:52:00,13739,3570,41339,13553,9973,1889
09:54:00,15805,1745,25325,27693,6158,9701
09:56:00,22657,1,33486,11684,8742,6144
09:58:00,20072,1035,37640,12243,9177,8935
10:00:00,13836,1689,236083,21078,18862,7535
10:02:00,10803,2526,25451,16860,4038,7240
10:04:00,12326,16715,25370,7072,7607,6500
10:06:00,13363,9057,29470,21833,28439,5812
10:08:00,22178,4822,21280,15751,7415,10584
10:10:00,9230,1030,10642,20774,9696,7509
10:12:00,7109,1737,19603,8878,5386,6011
10:14:00,11046,1923,17723,9638,12216,6368
10:16:00,8882,1392,21543,16852,14922,3845
10:18:00,9205,266,23152,28792,14808,3467
10:20:00,15512,1660,32495,12448,8194,11873
10:22:00,22196,677,13051,15661,15405,13015
10:24:00,11997,7232,57041,14618,20192,5544
10:26:00,11405,5823,21604,15989,19553,4491
10:28:00,14451,1511,22243,5781,11392,6419
10:30:00,9946,3529,12806,11551,6755,5584
10:32:00,12050,2029,18939,11509,13454,9802
10:34:00,10218,2386,21839,4178,10639,8637
10:36:00,23878,5629,12133,7528,5100,6227
10:38:00,10692,1036,12000,12477,12184,2030
10:40:00,9442,4205,61153,31621,12182,3374
10:42:00,34429,1207,57143,27182,20153,9504
10:44:00,9984,2022,16440,13498,11395,11847
10:46:00,7626,357,15652,3923,11949,5977
10:48:00,16359,252,13293,19471,4804,4033
10:50:00,22729,702,34911,57497,16832,6046
10:52:00,50225,2817,20819,46263,19732,2830
10:54:00,9892,5135,30788,25984,19556,5459
10:56:00,22387,1475,20643,15392,8866,6889
10:58:00,6708,7603,23529,11975,16953,4784
11:00:00,4691,260,39904,16445,16901,12230
11:02:00,20620,13992,15753,43213,37559,2731
11:04:00,12643,2572,23730,25907,10507,3791
11:06:00,11592,12367,15793,15922,18669,5289
11:08:00,6272,2929,13818,17112,9072,5232
11:10:00,6018,2377,8055,32139,12587,2324
11:12:00,20416,1751,24188,10457,4550,4599
11:14:00,7820,3326,19668,57698,8780,19610
11:16:00,4802,1219,11220,27461,17080,12306
11:18:00,17475,4122,22079,33063,7801,2258
11:20:00,25890,28557,20181,22327,12522,12216
11:22:00,13881,61393,17203,43218,6644,9410
11:24:00,9912,3152,14662,56268,12720,3238
11:26:00,19677,12378,13460,16498,15979,7501
11:28:00,25445,3358,17581,25369,20576,14183
11:30:00,16292,13991,21121,38934,14861,13840
11:32:00,15637,987,15310,23662,15906,8285
11:34:00,23712,2401,18652,15140,4456,4134
11:36:00,22081,6705,16382,33671,32595,8236
11:38:00,14314,7123,20263,7554,24041,3545
11:40:00,16626,1835,13402,17387,28816,18980
11:42:00,17977,4188,21326,42831,17996,16504
11:44:00,5882,6596,10809,6561,24796,10015
11:46:00,24429,2153,26914,26827,14021,19303
11:48:00,16782,1234,35477,9727,19459,7241
11:50:00,12824,7028,12786,40957,19154,6401
11:52:00,27570,5579,20681,23012,21962,13422
11:54:00,6281,5628,36435,32278,15379,9064
11:56:00,13379,6156,45147,17415,7797,21785
11:58:00,39921,1413,16314,38423,44324,18763
12:00:00,16206,4950,21470,29609,3724,3428
12:02:00,19523,549,15600,15425,24521,3209
12:04:00,32270,13288,21496,24904,11533,7685
12:06:00,52134,5213,29955,26161,5274,5707
12:08:00,27191,5341,17757,10092,19692,12481
12:10:00,36216,5469,18038,105513,15372,18248
12:12:00,30454,1657,26834,63349,10971,10816
12:14:00,13029,3770,15810,24204,3336,4470
12:16:00,16580,3283,30472,62698,14971,6814
12:18:00,5784,2808,19703,13505,7817,12853
12:20:00,18784,5086,31331,23477,26810,4404
12:22:00,17259,815,18014,22793,11223,16498
12:24:00,9244,2031,16291,45691,5082,7779
12:26:00,20572,1677,28847,41114,6057,16209
12:28:00,7240,2406,27899,69275,27772,12654
12:30:00,5209,2244,28220,16452,5333,5186
12:32:00,13908,2284,97113,28447,20332,10876
12:34:00,4109,5075,50305,15120,22226,19606
12:36:00,68083,2447,21147,70679,22253,11292
12:38:00,12773,2347,23708,15147,14076,7444
12:40:00,7803,3044,22775,18311,23486,13093
12:42:00,14588,4315,21094,21972,16318,6178
12:44:00,17354,1346,39153,13389,26799,4766
12:46:00,8594,2290,24819,28454,18259,7395
12:48:00,28844,6594,31973,56360,25448,1765
12:50:00,4751,3948,36661,62094,22860,15004
12:52:00,17065,7543,26750,42473,35077,17489
12:54:00,9362,2301,22803,10622,50025,5095
12:56:00,14132,1773,32121,601560,25095,9296
12:58:00,20612,3269,25282,23525,23845,2817
13:00:00,20481,1512,23871,19232,27233,8738
13:02:00,13172,16523,34962,23354,31677,31796
13:04:00,4516,4636,53321,20887,22827,11834
13:06:00,16317,6506,34486,40758,21187,16531
13:08:00,20728,4422,31168,32432,12099,7048
