Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0.0,0.0,0,0.0,0.0,0.0
07:32:00,3202.0,8.0,14,17.0,5014.0,50.0
07:34:00,4.0,1.0,10000,152025.0,56.0,36.0
07:36:00,925.0,1.0,10000,300.0,1.0,15000.0
07:38:00,9.0,1.0,29245,93.0,1.0,6400.0
07:40:00,10.0,1.0,20,2100.0,2.0,3600.0
07:42:00,5.0,1.0,1,1400.0,2.0,6400.0
07:44:00,5.0,1.0,4,1800.0,8.0,2000.0
07:46:00,785.0,1.0,295,1.0,20000.0,2800.0
07:48:00,5.0,1.0,20,4.0,20000.0,2000.0
07:50:00,100.0,30.0,53928,2400.0,3.0,1800.0
07:52:00,24.0,1.0,53928,12.0,10000.0,1.0
07:54:00,1.0,15.0,53928,5.0,5.0,1.0
07:56:00,1450.0,2.0,28217,3.0,3.0,15.0
07:58:00,2.0,1.0,2,1.0,20000.0,10.0
08:00:00,615.0,19.0,1,3.0,11173.0,10.0
08:02:00,1450.0,100.0,4,3.0,10000.0,1.0
08:04:00,91.0,4.0,100,1.0,10000.0,8.0
08:06:00,1.0,50.0,300,1.0,1200.0,10.0
08:08:00,1.0,1.0,10800,230.0,1500.0,1.0
08:10:00,1.0,3.0,3900,400.0,60.0,5.0
08:12:00,100.0,3.0,10000,1900.0,70.0,1.0
08:14:00,500.0,3.0,10000,400.0,2.0,94.0
08:16:00,5000.0,3.0,1,1000.0,20.0,14.0
08:18:00,800.0,3.0,10000,1800.0,400.0,1.0
08:20:00,1000.0,3.0,1,11.0,10.0,2.0
08:22:00,32.0,3.0,50,2489.0,2.0,10.0
08:24:00,133.0,2.0,4,2000.0,2.0,30.0
08:26:00,218.0,800.0,6,2600.0,1.0,10.0
08:28:00,20.0,1.0,22,1400.0,3.0,14.0
08:30:00,217.0,6.0,6,22671.0,1.0,1.0
08:32:00,2.0,5.0,100,27207.0,500.0,1.0
08:34:00,26.0,3.0,1,101306.0,9.0,2.0
08:36:00,113.0,8.0,1,57341.0,1.0,8.0
08:38:00,271.0,144.0,2,50.0,10.0,7.0
08:40:00,26.0,1.0,13,1400.0,1.0,46.0
08:42:00,290.0,938.0,4,3.0,1.0,2.0
08:44:00,19.0,50.0,9,1800.0,9.0,2.0
08:46:00,665.0,381.0,30,300.0,9.0,4.0
08:48:00,241.0,2000.0,200,2000.0,200.0,9.0
08:50:00,243.0,2000.0,1400,1900.0,200.0,9.0
08:52:00,298.0,700.0,10000,1.0,10000.0,30.0
08:54:00,290.0,1290.0,37,2200.0,10000.0,943.0
08:56:00,1450.0,1010.0,13,1800.0,10000.0,50.0
08:58:00,237.0,2173.0,20,200.0,10000.0,1.0
09:00:00,14.0,2500.0,1,1200.0,300.0,1.0
09:02:00,10.0,2500.0,20,2500.0,3.0,1.0
09:04:00,13.0,2500.0,1,2300.0,57.0,1.0
09:06:00,195.0,2500.0,1,2200.0,1400.0,50.0
09:08:00,290.0,2500.0,1,2400.0,300.0,19.0
09:10:00,290.0,768.0,7,2100.0,646.0,1.0
09:12:00,870.0,1000.0,5,1900.0,4.0,1.0
09:14:00,1.0,488.0,2,2300.0,1200.0,1.0
09:16:00,1449.0,10.0,1,2300.0,4000.0,300.0
09:18:00,192.0,15.0,10000,1.0,2314.0,5.0
09:20:00,1450.0,2.0,300,19.0,586.0,2.0
09:22:00,1450.0,3.0,4900,1800.0,579.0,2.0
09:24:00,1450.0,1.0,1605,9000.0,10000.0,4.0
09:26:00,2.0,,700,2200.0,2.0,1.0
09:28:00,650.0,,800,8600.0,500.0,1.0
09:30:00,290.0,,100,2000.0,15000.0,4498.0
09:32:00,45.0,,1,6000.0,150.0,1.0
09:34:00,435.0,,1397,2900.0,100.0,4.0
09:36:00,457.0,,70,1.0,1.0,1.0
09:38:00,145.0,,10,10896.0,250.0,290.0
09:40:00,290.0,,1240,66.0,860.0,15.0
09:42:00,138.0,,2,10.0,1900.0,10.0
09:44:00,1450.0,,1339,2300.0,3300.0,24.0
09:46:00,1450.0,,235,400.0,2000.0,15000.0
09:48:00,1450.0,,235,1500.0,8000.0,3970.0
09:50:00,1450.0,,23,400.0,10.0,10000.0
09:52:00,1450.0,,128,1600.0,10.0,3600.0
09:54:00,1450.0,,143,1900.0,10.0,
09:56:00,14276.0,,59,1500.0,1900.0,
09:58:00,1450.0,,143,1400.0,2962.0,
10:00:00,1450.0,,143,1.0,10.0,
10:02:00,1450.0,,32,2000.0,9096.0,
10:04:00,1450.0,,68,2500.0,139.0,
10:06:00,290.0,,90,10.0,10.0,
10:08:00,1450.0,,32,1600.0,5000.0,
10:10:00,290.0,,90,1500.0,10000.0,
10:12:00,3.0,,21,4.0,14836.0,
10:14:00,1450.0,,1,1.0,10000.0,
10:16:00,4626.0,,90,2400.0,3171.0,
10:18:00,2354.0,,54,2500.0,10100.0,
10:20:00,100.0,,1600,1600.0,1472.0,
10:22:00,7800.0,,15,2300.0,26964.0,
10:24:00,1600.0,,1600,1900.0,73036.0,
10:26:00,1400.0,,3600,2500.0,2.0,
10:28:00,2903.0,,56,3100.0,1.0,
10:30:00,800.0,,56,100.0,6933.0,
10:32:00,100.0,,330,300.0,8679.0,
10:34:00,100.0,,442,60.0,5786.0,
10:36:00,100.0,,386,1700.0,103600.0,
10:38:00,100.0,,56,9.0,44511.0,
10:40:00,100.0,,192,1800.0,161.0,
10:42:00,100.0,,99,10.0,2000.0,
10:44:00,100.0,,192,1.0,6192.0,
10:46:00,100.0,,224,91.0,4650.0,
10:48:00,1002.0,,234,300.0,26833.0,
10:50:00,100.0,,77,2400.0,8960.0,
10:52:00,400.0,,134,4.0,2711.0,
10:54:00,4100.0,,23,2300.0,500.0,
10:56:00,1400.0,,92,2600.0,10000.0,
10:58:00,3900.0,,211,1700.0,1.0,
11:00:00,100.0,,125,1900.0,1.0,
