Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,1477,520.0,20,0,2327,156
07:34:00,197,10.0,3,223,100,262
07:36:00,100,71.0,1,1147,200,20
07:38:00,200,1100.0,600,2851,1500,33
07:40:00,100,100.0,100,35,50,67
07:42:00,849,100.0,431,2501,450,560
07:44:00,1433,100.0,1500,235,100,738
07:46:00,19,100.0,200,300,1300,800
07:48:00,1421,100.0,56171,300,300,198
07:50:00,219,700.0,600,100,100,214
07:52:00,119,110.0,1300,800,1097,528
07:54:00,519,200.0,300,700,1000,7
07:56:00,2000,1.0,600,290,100,838
07:58:00,800,715.0,200,663,1104,362
08:00:00,349,51.0,100,485,10,1691
08:02:00,500,100.0,6100,735,200,687
08:04:00,100,400.0,1500,192,1000,1132
08:06:00,230,100.0,1600,100,200,53
08:08:00,229,100.0,200,101,1015,53
08:10:00,100,400.0,1116,1900,507,1599
08:12:00,707,3.0,2491,2352,518,640
08:14:00,700,100.0,426,420,206,53
08:16:00,490,200.0,1600,200,2,252
08:18:00,5102,155.0,100,1400,700,216
08:20:00,6001,400.0,100,3320,1200,100
08:22:00,500,100.0,1600,1236,610,700
08:24:00,5831,11.0,700,2190,110,335
08:26:00,400,10.0,496,1000,500,153
08:28:00,200,16.0,500,703,2302,106
08:30:00,9756,1.0,1000,1500,981,1
08:32:00,101,300.0,300,2200,1000,427
08:34:00,101,9.0,423,2200,600,1399
08:36:00,3271,11.0,640,504,100,284
08:38:00,300,2.0,2800,1221,100,1175
08:40:00,1600,300.0,3916,2100,1495,53
08:42:00,2310,250.0,520,2470,300,647
08:44:00,100,10.0,1048,2500,500,200
08:46:00,100,100.0,300,900,200,200
08:48:00,200,100.0,1948,306,300,663
08:50:00,100,1.0,2718,305,1000,100
08:52:00,800,46.0,900,1300,100,53
08:54:00,913,50.0,8018,100,400,53
08:56:00,100,100.0,318,620,500,356
08:58:00,4700,100.0,835,400,998,884
09:00:00,200,11.0,1374,2547,200,426
09:02:00,400,1.0,748,800,400,100
09:04:00,100,200.0,401,1300,744,100
09:06:00,200,1.0,2984,710,200,153
09:08:00,1400,11.0,1363,762,100,1331
09:10:00,1947,2.0,2266,502,230,100
09:12:00,400,100.0,3503,1017,1800,101
09:14:00,1,100.0,750,5832,120,206
09:16:00,900,537.0,1020,2491,180,853
09:18:00,136,1.0,700,300,5,53
09:20:00,1100,100.0,800,860,100,947
09:22:00,364,7.0,500,1475,1200,10
09:24:00,2900,100.0,2014,400,100,398
09:26:00,1300,100.0,4168,360,300,106
