Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0.0,0
07:32:00,186,0.0,0,0,734.0,0
07:34:00,7,1.0,100,604,80.0,50
07:36:00,120,99.0,20,433,100.0,151
07:38:00,1,54.0,600,1,100.0,83
07:40:00,16,25.0,100,1193,23.0,20
07:42:00,7,5.0,479,3973,230.0,316
07:44:00,5,20.0,471,100,405.0,292
07:46:00,88,87.0,138,1134,806.0,2164
07:48:00,11,3.0,100,25,221.0,259
07:50:00,109,657.0,287,266,200.0,198
07:52:00,181,1.0,154,70,110.0,373
07:54:00,281,600.0,441,106,80.0,11
07:56:00,558,60.0,505,100,120.0,1
07:58:00,8,100.0,403,11,200.0,400
08:00:00,2,3.0,40,2,102.0,472
08:02:00,15,150.0,434,403,62.0,5
08:04:00,97,17.0,355,883,235.0,527
08:06:00,12,21.0,68,109,103.0,186
08:08:00,93,20.0,100,25,338.0,176
08:10:00,7,4.0,8,107,4.0,8
08:12:00,1,110.0,100,91,449.0,412
08:14:00,100,364.0,377,19,100.0,186
08:16:00,100,8.0,228,814,95.0,943
08:18:00,1,729.0,1,903,699.0,1789
08:20:00,31,13.0,91,1319,337.0,28
08:22:00,210,718.0,1,18,1789.0,197
08:24:00,2,188.0,100,1,10.0,260
08:26:00,77,22.0,3,2,700.0,345
08:28:00,1,20.0,57,532,12.0,214
08:30:00,1,131.0,271,57,100.0,89
08:32:00,1,1.0,10,600,250.0,1018
08:34:00,232,1.0,70,2264,101.0,84
08:36:00,5,296.0,77,116,18.0,253
08:38:00,48,100.0,298,500,105.0,372
08:40:00,6,1.0,46452,13,3110.0,186
08:42:00,1,5.0,783,660,1.0,100
08:44:00,64,1.0,115,46,45.0,86
08:46:00,5,13.0,519,262,241.0,476
08:48:00,9,183.0,2703,59,200.0,596
08:50:00,2,68.0,10,1850,201.0,237
08:52:00,100,131.0,100,353,324.0,40
08:54:00,65,218.0,100,144,10.0,109
08:56:00,200,206.0,138,39,94.0,900
08:58:00,4203,185.0,1,585,50.0,1
09:00:00,72,2.0,2724,162,5.0,86
09:02:00,60,58.0,10,1423,101.0,187
09:04:00,566,667.0,796,79,1107.0,806
09:06:00,1,5.0,1777,218,508.0,190
09:08:00,367,13.0,835,11,76.0,212
09:10:00,116,24.0,1166,149,7.0,10
09:12:00,251,1.0,1444,346,41.0,90
09:14:00,129,76.0,131,263,112.0,639
09:16:00,131,105.0,258,159,15.0,1
09:18:00,30,6.0,635,469,86.0,26
09:20:00,195,25.0,12,201,63.0,158
09:22:00,415,10.0,50,351,1119.0,233
09:24:00,5,18.0,2300,187,1.0,186
09:26:00,100,2.0,1040,258,163.0,277
09:28:00,100,24.0,853,89,16.0,223
09:30:00,5,53.0,343,165,8.0,86
09:32:00,10,2.0,851,634,50.0,14
09:34:00,151,130.0,3,4,240.0,186
09:36:00,16,1.0,429,50,1640.0,63
09:38:00,80,102.0,539,26,5470.0,102
09:40:00,35,4.0,473,387,218.0,93
09:42:00,201,29.0,97,6,1.0,201
09:44:00,28,29.0,285,101,342.0,101
09:46:00,5,105.0,360,1,3.0,372
09:48:00,5,3.0,559,534,97.0,1
09:50:00,300,100.0,481,5,158.0,2
09:52:00,7,283.0,9,2,22.0,228
09:54:00,193,20.0,271,1,146.0,40
09:56:00,3,42.0,135,120,51.0,825
09:58:00,197,39.0,261,55,499.0,328
10:00:00,1,13.0,946,5,10.0,330
10:02:00,5,115.0,576,4,152.0,270
10:04:00,3,88.0,117,1,5024.0,186
10:06:00,71,102.0,163,12,295.0,261
10:08:00,7,3.0,601,70,136.0,886
10:10:00,320,148.0,109,2858,434.0,6
10:12:00,316,752.0,166,282,323.0,372
10:14:00,14,13.0,23,29,121.0,3
10:16:00,86,5.0,13,5,303.0,2
10:18:00,280,50.0,375,10,155.0,202
10:20:00,7,40.0,84,29,439.0,939
10:22:00,8,30.0,182,539,417.0,188
10:24:00,166,7.0,1,23,259.0,49
10:26:00,3,10.0,197,27,1.0,624
10:28:00,316,2.0,425,12,1244.0,39
10:30:00,589,100.0,100,10,310.0,6
10:32:00,835,34.0,171,94,169.0,333
10:34:00,100,2.0,190,116,814.0,417
10:36:00,100,6.0,32,3,300.0,287
10:38:00,43,8.0,41,25,259.0,22
10:40:00,1,64.0,346,1060,486.0,183
10:42:00,53,14.0,24,12,422.0,371
10:44:00,103,5.0,66,10,100.0,100
10:46:00,7,100.0,157,810,220.0,86
10:48:00,65,262.0,10,917,74.0,64
10:50:00,195,3.0,10,3,27.0,77
10:52:00,7,5.0,27,48,1.0,3
10:54:00,109,1.0,17,100,125.0,25
10:56:00,191,30.0,311,445,500.0,185
10:58:00,1,9.0,388,31,1.0,100
11:00:00,21,5.0,334,63,101.0,56
11:02:00,45,170.0,20,627,100.0,50
11:04:00,10,110.0,676,10,3.0,49
11:06:00,10,12.0,200,26,660.0,73
11:08:00,39,10.0,25,55,210.0,1075
11:10:00,10,3.0,659,28,6.0,10
11:12:00,662,1.0,20,1484,214.0,20
11:14:00,10,1.0,6,5,210.0,24
11:16:00,58,125.0,170,27,250.0,280
11:18:00,125,18.0,105,3,1355.0,2
11:20:00,100,9.0,8,29,100.0,203
11:22:00,12,10.0,77,25,1.0,196
11:24:00,118,610.0,294,23,10.0,292
11:26:00,129,100.0,965,5,90.0,286
11:28:00,301,100.0,1,426,60.0,141
11:30:00,2,60.0,45,1200,135.0,992
11:32:00,20,103.0,174,234,240.0,2
11:34:00,11,55.0,100,72,120.0,251
11:36:00,100,2.0,9,13,101.0,116
11:38:00,200,200.0,7,410,502.0,186
11:40:00,247,230.0,129,281,11.0,186
11:42:00,123,14.0,12,361,96.0,866
11:44:00,65,300.0,498,810,480.0,187
11:46:00,5,100.0,705,211,46.0,6
11:48:00,10,1.0,338,879,5.0,15
11:50:00,110,12.0,3,1177,89.0,14
11:52:00,21,100.0,200,112,375.0,186
11:54:00,3505,16.0,3,312,2.0,186
11:56:00,173,118.0,1364,650,16.0,81
11:58:00,44,1.0,701,856,35.0,179
12:00:00,46,100.0,731,790,100.0,3
12:02:00,10,5.0,1132,416,1.0,370
12:04:00,10,20.0,115,510,158.0,186
12:06:00,15,20.0,1,412,2.0,50
12:08:00,100,5.0,10,888,10.0,85
12:10:00,49,300.0,1,475,19.0,1
12:12:00,1086,22.0,8,551,126.0,6
12:14:00,20,4.0,70,105,2.0,187
12:16:00,4,200.0,202,3109,5.0,186
12:18:00,5,21.0,10,70,300.0,185
12:20:00,100,15.0,60,2234,900.0,47
12:22:00,10,110.0,21,1120,10.0,1
12:24:00,44,75.0,1359,555,151.0,372
12:26:00,100,10.0,100,2446,30.0,189
12:28:00,1,100.0,219,468,59.0,186
12:30:00,99,2.0,352,29,40.0,1
12:32:00,200,3.0,321,164,5.0,4
12:34:00,115,110.0,259,1232,242.0,2
12:36:00,600,3.0,246,120,8.0,186
12:38:00,102,40.0,169,239,18.0,1982
12:40:00,9,5.0,215,667,74.0,255
12:42:00,426,59.0,44,4891,26.0,4
12:44:00,20,50.0,976,2,101.0,1
12:46:00,201,100.0,997,11,3.0,8
12:48:00,201,35.0,111,852,100.0,1
12:50:00,120,2.0,252,189,100.0,99
12:52:00,235,100.0,315,280,23.0,43
12:54:00,1,50.0,215,244,1.0,1
12:56:00,111,101.0,351,604,236.0,100
12:58:00,310,300.0,529,3992,115.0,26
13:00:00,139,1.0,201,1316,106.0,69
13:02:00,10,100.0,402,975,1402.0,5
13:04:00,33,195.0,101,17,54.0,100
13:06:00,299,1.0,400,48,277.0,20
13:08:00,50,3.0,227,247,16.0,100
13:10:00,50,2.0,222,618,71.0,100
13:12:00,50,3.0,200,1060,118.0,31
13:14:00,551,200.0,100,472,104.0,100
13:16:00,2,100.0,10,30,1.0,10
13:18:00,21,100.0,114,352,15.0,15
13:20:00,40,100.0,8,10456,6.0,40
13:22:00,3,20.0,100,3526,10.0,8
13:24:00,15,100.0,200,426,10.0,100
13:26:00,2,100.0,375,650,6.0,100
13:28:00,10,4.0,308,8259,5.0,1
13:30:00,1,77.0,100,288,10.0,209
13:32:00,415,23.0,327,578,79.0,81
13:34:00,1156,20.0,2,215,2.0,17
13:36:00,812,110.0,100,1053,13.0,2
13:38:00,561,100.0,1602,2190,2.0,15
13:40:00,200,100.0,11,1872,86.0,5
13:42:00,2,26.0,805,451,107.0,1
13:44:00,53,100.0,93,251,100.0,50
13:46:00,236,74.0,500,32,665.0,6
13:48:00,10,28.0,500,364,100.0,21
13:50:00,210,5.0,300,8380,371.0,615
13:52:00,100,10.0,187,5653,208.0,368
13:54:00,259,21.0,344,5951,276.0,72
13:56:00,1130,79.0,1,5924,203.0,716
13:58:00,823,1.0,409,2319,,66
14:00:00,768,,380,9948,,329
