Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,121,90,140,0,0,2
07:34:00,200,7,5,59,5,18
07:36:00,2,5,150,695,10,355
07:38:00,1245,1,101,17,95,100
07:40:00,500,3,100,202,30,200
07:42:00,259,97,361,4422,174,100
07:44:00,471,3,10,200,100,1200
07:46:00,325,2,500,400,85,400
07:48:00,100,100,2,100,1,100
07:50:00,76,40,10,202,174,100
07:52:00,100,63,90,602,100,1
07:54:00,20,30,1910,1,3,100
07:56:00,1560,1,100,372,100,100
07:58:00,100,33,100,3400,100,1
08:00:00,100,2,100,100,100,100
08:02:00,100,6,2006,100,174,100
08:04:00,2,5,800,250,174,100
08:06:00,420,5,120,3,174,100
08:08:00,100,56,1,100,174,24
08:10:00,182,20,1000,284,200,18
08:12:00,100,6,85,157,10,2
08:14:00,518,5,553,284,100,100
08:16:00,251,13,2984,100,100,100
08:18:00,100,1,100,100,69,400
08:20:00,258,86,4,368,300,100
08:22:00,100,5,100,284,33,100
08:24:00,79,8,31,452,100,300
08:26:00,482,100,17,291,50,1809
08:28:00,186,4,45,1593,200,300
08:30:00,100,3,5,2340,8,200
08:32:00,276,100,100,1230,100,100
08:34:00,100,5,1,5,300,100
08:36:00,100,100,700,300,100,1200
08:38:00,100,100,300,437,200,300
08:40:00,100,2,10,2860,100,100
08:42:00,200,25,501,352,601,54
08:44:00,36,100,500,1300,1044,312
08:46:00,100,1,1290,66,200,300
08:48:00,100,34,1148,317,300,100
08:50:00,3,18,700,2996,200,245
08:52:00,567,8,1000,1401,199,329
08:54:00,449,2,100,500,100,489
08:56:00,1506,4,40,1345,1,200
08:58:00,3881,100,100,293,100,100
09:00:00,29,100,300,500,100,100
09:02:00,200,1,2020,100,2994,60
09:04:00,4929,7,2005,300,161,200
09:06:00,100,100,4411,1,670,600
09:08:00,100,1,1320,11,140,50
09:10:00,100,100,622,14,7,100
09:12:00,800,100,1,3890,482,201
09:14:00,800,3,430,15,500,700
09:16:00,400,100,100,37,174,200
09:18:00,1300,18,100,1,2,840
09:20:00,400,100,628,204,10407,307
09:22:00,200,5600,7,447,1398,100
09:24:00,529,9,6500,3,300,100
09:26:00,1,10,5558,600,10,3000
09:28:00,7,12,486,1,113,100
09:30:00,193,100,4609,299,2565,100
09:32:00,2,100,775,2965,1234,500
09:34:00,198,100,300,800,400,400
09:36:00,3966,100,100,18,1130,600
09:38:00,105,100,487,1,974,200
09:40:00,1,100,510,203,125,100
09:42:00,654,100,100,3,300,800
09:44:00,100,400,438,172,300,800
09:46:00,100,100,1660,600,14664,100
09:48:00,300,100,100,3550,100,50
09:50:00,100,100,104,100,100,200
09:52:00,100,400,3,4,56,100
09:54:00,700,700,400,10,100,100
09:56:00,1031,100,200,637,230,100
09:58:00,10,4,110,280,100,100
10:00:00,14449,4,963,100,100,2
10:02:00,100,9,1,1000,100,97
10:04:00,429,6,150,49,1,3
10:06:00,100,4,19,951,200,103
10:08:00,100,15,1007,202,100,200
10:10:00,283,122,893,142,4,100
10:12:00,417,3,272,300,164,3
10:14:00,83,7,383,20,100,100
10:16:00,1000,2,100,1,4,100
10:18:00,202,100,1083,40,29,162
10:20:00,20,100,534,50,172,100
10:22:00,100,100,488,357,100,338
10:24:00,278,10,791,147,1773,100
10:26:00,100,50,1751,102,887,900
10:28:00,200,2,600,160,400,300
10:30:00,227,3,5,35,300,2
10:32:00,100,2,100,104,250,400
10:34:00,158,100,600,277,15,500
10:36:00,500,100,9,4500,600,100
10:38:00,105,10,20,100,311,400
10:40:00,10,23,323,400,1,901
10:42:00,100,127,911,5,2,400
10:44:00,150,1,615,95,15,19
10:46:00,150,100,7876,100,200,100
10:48:00,100,100,116,301,205,205
10:50:00,100,100,2,506,1,795
