Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,100,52.0,46,20,69,130
07:34:00,3,2.0,70,725,58,84
07:36:00,100,2.0,230,1292,44,30
07:38:00,1200,100.0,15,4,47,84
07:40:00,100,100.0,5,100,7,294
07:42:00,3914,1.0,29,2208,46,188
07:44:00,300,6.0,100,3,54,584
07:46:00,158,46.0,1027,2,547,1273
07:48:00,1901,19.0,810,200,460,84
07:50:00,806,100.0,5,2,157,114
07:52:00,400,20.0,474,100,103,100
07:54:00,32,2.0,142,7,2202,600
07:56:00,964,4.0,3827,100,200,300
07:58:00,153,2.0,293,100,100,1801
08:00:00,318,1.0,200,5,600,4073
08:02:00,1355,1.0,807,5,436,401
08:04:00,300,1.0,207,100,1000,20
08:06:00,541,1.0,1500,34,54,164
08:08:00,1300,20.0,300,2,320,168
08:10:00,330,600.0,100,600,304,184
08:12:00,200,600.0,100,100,400,284
08:14:00,300,1.0,300,1320,100,1300
08:16:00,158,1.0,807,2,170,2212
08:18:00,18,2.0,178,5,193,170
08:20:00,200,100.0,100,1,140,100
08:22:00,200,100.0,1143,100,804,284
08:24:00,100,100.0,300,1,378,1768
08:26:00,100,18.0,403,5,111,191
08:28:00,100,582.0,900,1732,89,1002
08:30:00,948,100.0,100,10,46,299
08:32:00,268,600.0,500,174,220,800
08:34:00,18,1.0,1,1,100,784
08:36:00,408,49.0,300,101,5480,84
08:38:00,100,5.0,100,1977,200,184
08:40:00,35,1.0,31,2,100,1400
08:42:00,2,2.0,444,30,200,114
08:44:00,100,1.0,101,1699,200,598
08:46:00,115,1.0,640,700,31,368
08:48:00,285,100.0,403,2270,55,100
08:50:00,100,43.0,804,2097,100,100
08:52:00,1092,95.0,3827,3228,41,16
08:54:00,429,5.0,2,377,4,152
08:56:00,10,5.0,361,1300,78,704
08:58:00,804,30.0,3,300,1489,168
09:00:00,939,9.0,1420,100,200,1208
09:02:00,100,100.0,219,3100,49,3
09:04:00,300,100.0,1041,200,301,268
09:06:00,100,100.0,1255,200,600,968
09:08:00,10,11.0,4899,1,100,84
09:10:00,2212,5.0,2535,25,649,84
09:12:00,200,200.0,2730,128,100,100
09:14:00,210,200.0,1682,505,101,201
09:16:00,200,100.0,375,89,157,84
09:18:00,10,1.0,1314,3,45,84
09:20:00,100,34.0,1453,1,100,92
09:22:00,253,,100,2,330,342
09:24:00,90,,1196,400,100,84
09:26:00,754,,611,736,100,168
09:28:00,295,,315,10,88,16
09:30:00,300,,695,9,100,487
09:32:00,410,,413,703,200,84
09:34:00,250,,273,315,100,84
09:36:00,600,,1852,4,100,16
09:38:00,600,,696,100,41,84
09:40:00,1650,,449,607,183,47
09:42:00,100,,395,1323,246,84
09:44:00,3394,,800,45,128,90
09:46:00,210,,900,300,100,152
09:48:00,530,,183,1363,41,210
09:50:00,100,,383,100,464,84
09:52:00,100,,200,203,100,84
09:54:00,10,,100,100,100,100
09:56:00,400,,200,600,124,131
09:58:00,200,,10,2003,100,200
10:00:00,1500,,2021,100,100,955
10:02:00,17,,973,100,100,302
10:04:00,83,,229,10,100,107
10:06:00,4,,897,600,100,346
10:08:00,407,,508,3600,51,352
10:10:00,200,,1026,300,59,268
10:12:00,500,,100,100,100,84
10:14:00,100,,200,100,101,84
10:16:00,35,,601,100,100,257
10:18:00,165,,524,100,189,168
10:20:00,20,,1244,200,100,84
10:22:00,200,,119,200,200,973
10:24:00,317,,1,100,69,269
10:26:00,600,,6,601,143,268
10:28:00,443,,189,800,629,84
10:30:00,285,,400,100,100,84
10:32:00,2240,,786,106,140,84
10:34:00,258,,1,632,100,184
10:36:00,100,,99,300,50,712
10:38:00,500,,239,200,237,184
10:40:00,780,,135,200,67,100
10:42:00,200,,2907,1000,100,12
10:44:00,100,,11,400,410,100
10:46:00,100,,338,500,200,100
10:48:00,110,,388,1000,129,82
10:50:00,300,,200,577,10,400
10:52:00,300,,710,350,190,100
10:54:00,110,,76,8,270,100
10:56:00,35,,653,100,257,573
10:58:00,10,,245,1200,141,168
11:00:00,100,,1669,300,401,168
11:02:00,100,,12,100,110,84
11:04:00,190,,168,100,400,2
11:06:00,200,,619,101,1008,84
11:08:00,240,,1505,1300,254,18
11:10:00,960,,648,600,563,116
11:12:00,600,,3,1544,157,100
11:14:00,300,,1,1,1292,584
11:16:00,100,,100,1,100,3
11:18:00,200,,120,900,403,397
11:20:00,400,,103,1,557,1169
11:22:00,600,,2,100,284,268
11:24:00,839,,51,600,1298,232
11:26:00,20,,962,100,253,285
11:28:00,276,,289,900,368,200
11:30:00,46,,1,400,29120,100
11:32:00,100,,215,7203,301,4
11:34:00,100,,1424,541,102,97
11:36:00,10,,112,41,400,84
11:38:00,200,,324,2169,300,184
11:40:00,67,,418,820,300,84
11:42:00,7,,100,167,100,300
11:44:00,1788,,100,767,261,84
11:46:00,200,,467,100,235,84
11:48:00,1,,1148,100,510,100
11:50:00,399,,100,100,500,84
11:52:00,600,,200,488,227,184
11:54:00,3834,,109,100,231,1222
11:56:00,7,,8,601,400,168
11:58:00,443,,107,101,539,100
12:00:00,4,,11,76,161,312
12:02:00,443,,8,597,701,20
12:04:00,678,,26,1374,300,134
12:06:00,1395,,112,100,651,10
12:08:00,348,,55,800,54,1100
12:10:00,100,,109,400,352,168
12:12:00,100,,12,100,357,109
12:14:00,1,,8,200,400,168
12:16:00,33,,230,1200,367,84
12:18:00,400,,206,1,475,60
12:20:00,34,,1156,599,349,84
12:22:00,10,,153,1600,100,84
12:24:00,100,,9,100,200,444
12:26:00,100,,424,700,403,84
12:28:00,400,,1906,3,54,84
12:30:00,1,,628,397,402,184
12:32:00,20,,1905,1095,210,2
12:34:00,100,,27,900,455,3
12:36:00,100,,87,400,570,100
12:38:00,200,,35,701,482,225
12:40:00,100,,130,600,100,2108
12:42:00,100,,118,20,440,100
12:44:00,100,,1885,600,726,8
12:46:00,100,,319,1100,1100,92
12:48:00,100,,231,4,522,167
12:50:00,300,,796,300,260,100
12:52:00,80,,136,1994,300,100
12:54:00,100,,628,108,935,11
12:56:00,100,,65,1,697,189
12:58:00,600,,837,1400,1546,200
13:00:00,380,,230,12,100,10
13:02:00,600,,502,100,600,100
13:04:00,285,,792,502,476,100
13:06:00,100,,592,620,300,100
13:08:00,1000,,3983,100,449,100
13:10:00,5614,,388,200,2010,100
13:12:00,513,,697,300,200,100
13:14:00,2392,,575,1300,504,200
13:16:00,127,,1121,142,503,42
13:18:00,158,,321,200,1103,14
13:20:00,110,,444,100,1005,96
13:22:00,100,,158,400,200,4
13:24:00,548,,1555,100,2334,2029
13:26:00,1142,,841,300,302,48
13:28:00,500,,230,200,310,52
13:30:00,278,,3569,100,100,48
13:32:00,2000,,475,6900,3245,100
13:34:00,100,,3106,2589,300,100
13:36:00,300,,921,21091,300,100
13:38:00,600,,921,2867,500,100
13:40:00,3700,,1831,4006,3001,100
13:42:00,200,,1807,5474,638,200
13:44:00,1958,,910,1601,700,400
13:46:00,285,,885,12101,2366,979
13:48:00,400,,451,19965,5416,1198
13:50:00,315,,5721,11045,2231,3768
13:52:00,575,,816,12586,1001,1007
13:54:00,300,,1089,4681,1358,906
13:56:00,3239,,1839,15237,1061,16204
13:58:00,1839,,1466,9961,3151,9699
14:00:00,2760,,6385,9186,4225,3723
