Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,2641,0,0
07:32:00,88,817,2,5338,1184,873
07:34:00,4,309,130,4349,75,4138
07:36:00,1496,1784,7517,15457,1244,2398
07:38:00,4090,400,1750,3375,1935,300
07:40:00,5550,400,1601,7817,100,12763
07:42:00,2757,300,6260,13243,200,959
07:44:00,3504,100,4496,810,3623,8300
07:46:00,1262,200,6999,2435,4541,2307
07:48:00,4518,300,300,2391,1352,406
07:50:00,2960,76,1600,7009,209,1611
07:52:00,1533,900,6513,11447,800,223
07:54:00,1000,1183,6920,5620,1300,1130
07:56:00,2427,2270,3992,8054,650,3025
07:58:00,1023,10,5001,4914,1305,1
08:00:00,575,800,8204,14838,1014,7483
08:02:00,224,928,8672,8592,875,756
08:04:00,831,5681,799,8305,2002,506
08:06:00,4833,2203,3756,4519,800,1603
08:08:00,15235,914,1611,6116,3593,703
08:10:00,233,808,1006,12476,400,1463
08:12:00,2194,1033,4488,6585,5995,6719
08:14:00,1700,210,12642,25692,3405,5202
08:16:00,815,2507,8213,11640,2883,2803
08:18:00,1923,1418,2260,4599,301,6264
08:20:00,2421,4055,5218,35926,1905,1606
08:22:00,1083,250,2100,484481,1092,706
08:24:00,1846,7,4660,3072,2210,6319
08:26:00,8602,1167,2623,30983,1781,5881
08:28:00,2402,401,4708,567392,586,520
08:30:00,1880,813,2709,12033,5478,1201
08:32:00,1102,2885,3400,18313,1050,16349
08:34:00,6601,2210,1404,15347,1559,1300
08:36:00,2371,20,5959,8224,1540,100
08:38:00,1741,39,9247,5413,930,206
08:40:00,3940,500,5434,3363,2100,403
08:42:00,5505,1000,11033,21555,2550,2313
08:44:00,6188,4781,7672,5227,1610,8677
08:46:00,303,82,6863,3812,3390,900
08:48:00,300,600,5618,6052,556,503
08:50:00,10203,2266,7470,10980,1500,606
08:52:00,3700,1469,4058,8582,281,11170
08:54:00,3260,1362,2120,15141,920,303
08:56:00,7177,1036,4663,6664,2300,5212
08:58:00,3749,1004,5457,2955,7714,913
09:00:00,821,457,2563,4194,650,2513
