Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0.0,0,0,0,0
07:32:00,0,11.0,50,4,4,478
07:34:00,9,7.0,20,2012,100,252
07:36:00,100,20.0,80,1212,199,126
07:38:00,200,4.0,10,227,100,100
07:40:00,100,17.0,625,1,10,26
07:42:00,100,2.0,75,200,100,26
07:44:00,100,1.0,6,100,100,374
07:46:00,100,2.0,4,100,100,326
07:48:00,601,100.0,6,100,10,152
07:50:00,100,100.0,6,110,1000,2
07:52:00,100,3.0,296,200,100,1
07:54:00,100,5.0,337,1308,100,200
07:56:00,200,400.0,100,195,300,100
07:58:00,347,1.0,400,227,1920,227
08:00:00,100,2.0,1508,100,31,200
08:02:00,814,100.0,700,984,55,100
08:04:00,400,15.0,400,1,1545,1
08:06:00,100,200.0,827,5,1110,1
08:08:00,625,100.0,30,865,400,126
08:10:00,64,1.0,100,14,2,100
08:12:00,1245,10.0,100,56,98,126
08:14:00,100,1.0,434,44,200,4
08:16:00,120,19.0,300,1,402,70
08:18:00,100,100.0,500,30,300,200
08:20:00,103,14.0,870,100,700,100
08:22:00,742,19.0,400,5,11,126
08:24:00,200,14.0,200,100,400,74
08:26:00,966,2.0,100,227,100,1
08:28:00,100,200.0,100,200,100,100
08:30:00,100,100.0,100,11,100,100
08:32:00,227,100.0,200,1570,45,100
08:34:00,100,100.0,1,100,30,96
08:36:00,731,133.0,327,101,10,100
08:38:00,1188,1.0,827,10,40,26
08:40:00,200,100.0,1,100,98,200
08:42:00,100,200.0,200,658,2,100
08:44:00,2794,112.0,1110,731,60,30
08:46:00,100,267.0,2667,531,100,70
08:48:00,100,200.0,2827,631,301,100
08:50:00,2082,189.0,400,1184,700,100
08:52:00,1300,100.0,100,1279,109,100
08:54:00,405,100.0,100,300,2,100
08:56:00,1447,112.0,100,415,500,50
08:58:00,446,629.0,1,100,4577,126
09:00:00,758,100.0,100,2,200,100
09:02:00,1311,300.0,76,7,365,126
09:04:00,100,200.0,2115,821,2116,126
09:06:00,100,300.0,1785,100,100,100
09:08:00,200,200.0,3926,200,200,100
09:10:00,100,871.0,3230,993,1,126
09:12:00,3648,343.0,659,463,200,126
09:14:00,377,200.0,200,200,14,100
09:16:00,1882,15.0,500,800,200,100
09:18:00,100,1.0,527,23,14,100
09:20:00,4122,1.0,200,504,100,5
09:22:00,500,200.0,100,201,100,100
09:24:00,400,100.0,1764,200,100,100
09:26:00,5,100.0,1011,100,600,100
09:28:00,100,100.0,426,200,100,100
09:30:00,100,66.0,31,100,100,126
09:32:00,100,200.0,1227,1211,100,100
09:34:00,16,200.0,197,100,100,74
09:36:00,84,100.0,755,1000,1801,52
09:38:00,455,300.0,684,38,100,10
09:40:00,240,5.0,1132,100,100,1
09:42:00,8231,684.0,600,894,100,126
09:44:00,200,4.0,308,100,100,126
09:46:00,900,1.0,803,113,395,100
09:48:00,100,10.0,10,860,295,100
09:50:00,200,200.0,408,100,5,100
09:52:00,200,25.0,1,100,100,100
09:54:00,100,25.0,200,100,100,100
09:56:00,100,95.0,100,100,100,3
09:58:00,1510,28.0,227,200,200,100
10:00:00,56942,100.0,20,32,100,297
10:02:00,400,100.0,784,202,60,100
10:04:00,100,69.0,327,100,6,100
10:06:00,100,10.0,485,10,32,100
10:08:00,100,,560,96,100,100
10:10:00,15255,,493,810,34,100
10:12:00,1151,,100,100,100,100
10:14:00,400,,380,200,100,100
10:16:00,300,,50,100,1022,100
10:18:00,501,,403,700,73,300
10:20:00,800,,562,100,5,3
10:22:00,700,,3182,300,3614,97
10:24:00,874,,212,200,100,100
10:26:00,400,,19,886,400,126
10:28:00,1200,,733,100,100,10
10:30:00,400,,120,700,200,10
10:32:00,200,,311,27,100,10
10:34:00,600,,348,173,100,54
10:36:00,200,,100,4,3,100
10:38:00,700,,652,400,1,26
10:40:00,100,,242,810,100,100
10:42:00,200,,997,200,200,100
10:44:00,700,,303,20,100,26
10:46:00,200,,1667,100,200,100
10:48:00,500,,301,227,100,26
10:50:00,300,,200,100,100,100
10:52:00,201,,13,100,141,3
10:54:00,700,,100,300,59,126
10:56:00,100,,235,100,200,5
10:58:00,300,,101,100,100,100
11:00:00,600,,1128,413,100,26
11:02:00,400,,600,1,20,100
11:04:00,700,,543,2,38,100
11:06:00,1000,,50,100,40,26
11:08:00,201,,100,100,260,100
11:10:00,800,,7,10,300,100
11:12:00,200,,100,100,592,126
11:14:00,600,,100,100,400,1
11:16:00,200,,100,42,100,126
11:18:00,300,,10,900,600,126
11:20:00,800,,55,22,14,100
11:22:00,400,,1010,78,400,100
11:24:00,537,,101,100,200,100
11:26:00,1400,,3482,400,300,40
11:28:00,700,,100,1000,500,160
11:30:00,1200,,140,400,100,100
11:32:00,600,,101,1319,300,227
11:34:00,800,,100,402,300,500
11:36:00,1700,,400,300,100,1
11:38:00,1774,,1,914,100,199
11:40:00,3793,,100,1000,200,1
11:42:00,3572,,200,405,200,37
11:44:00,300,,100,300,1150,163
11:46:00,1500,,37,510,350,37
11:48:00,32256,,139,700,100,100
11:50:00,5839,,200,404,100,26
11:52:00,1904,,200,400,226,126
11:54:00,400,,100,600,1,48
11:56:00,5100,,100,801,100,78
11:58:00,100,,50,102,300,5
12:00:00,2423,,1,298,100,10
12:02:00,100,,8,604,100,63
12:04:00,400,,527,1478,100,12
12:06:00,552,,200,200,100,100
12:08:00,57,,1200,100,100,100
12:10:00,4213,,2120,100,100,100
12:12:00,600,,2853,910,2,88
12:14:00,100,,147,105,200,100
12:16:00,400,,2483,200,100,100
12:18:00,200,,910,103,401,100
12:20:00,3020,,382,397,139,100
12:22:00,200,,2400,982,200,100
12:24:00,100,,500,100,394,100
12:26:00,400,,100,1545,231,200
12:28:00,400,,1212,56,292,100
12:30:00,200,,199,44,200,100
12:32:00,200,,900,703,400,100
12:34:00,10113,,1000,104,500,200
12:36:00,700,,1,203,100,1000
12:38:00,201,,100,94,115,4463
12:40:00,2419,,300,201,200,101
12:42:00,200,,2177,437,200,100
12:44:00,700,,521,593,1600,100
12:46:00,200,,3642,834,100,100
12:48:00,433,,900,1200,100,199
12:50:00,1467,,306,615,1,101
12:52:00,29474,,1200,2800,200,105
12:54:00,200,,3107,301,40,45
12:56:00,500,,600,200,274,51
12:58:00,200,,747,500,186,249
13:00:00,400,,1327,200,100,90
13:02:00,400,,2564,929,42,109
13:04:00,100,,2622,406,131,95
13:06:00,2272,,1584,101,364,1
13:08:00,517,,2298,204,87,10
13:10:00,427,,200,562,100,100
13:12:00,8986,,3062,433,76,100
