Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,0,0,0
07:32:00,1929,40,0,3804,333,100
07:34:00,100,600,200,1799,100,600
07:36:00,3,600,200,766,600,600
07:38:00,15,100,100,200,754,100
07:40:00,48,600,200,44,99,1200
07:42:00,519,100,1900,1733,487,1795
07:44:00,3907,600,2205,100,500,1797
07:46:00,60,3900,3536,100,600,2029
07:48:00,10,100,1500,100,600,29986
07:50:00,190,1800,100,100,600,2000
07:52:00,300,100,9725,300,200,200
07:54:00,200,100,4224,500,30,1300
07:56:00,300,25,5375,100,3000,254
07:58:00,16,600,16915,200,100,2048
08:00:00,1,100,15,318,1,142
08:02:00,100,550,600,366,100,2500
08:04:00,19,600,10,945,100,2223
08:06:00,200,100,400,400,1,246
08:08:00,20,100,200,150,96,1585
08:10:00,80,100,147,30,10,11
08:12:00,100,600,400,1,5,303
08:14:00,699,1,553,100,97,54
08:16:00,13,2406,331,6204,100,1046
08:18:00,248,200,1702,600,800,54
08:20:00,200,20,564,2600,607,54
08:22:00,556,642,99,100,100,200
08:24:00,500,20,1263,50,600,4067
08:26:00,770,221,587,100,66,1554
08:28:00,6,300,3374,1610,19,508
08:30:00,100,286,647,30,100,108
08:32:00,400,100,842,4413,100,54
08:34:00,1,201,1302,700,100,3261
08:36:00,100,2,1740,2200,100,1500
08:38:00,600,100,3186,100,900,554
08:40:00,400,200,191,100,3,1700
08:42:00,2967,150,1363,1844,84,354
08:44:00,100,1,1178,2266,100,54
08:46:00,100,100,2424,328,100,46
08:48:00,100,1,601,144,10,8
08:50:00,600,5,2489,115,300,658
08:52:00,200,10,632,1000,100,508
08:54:00,1323,3,500,14,500,500
08:56:00,220,96,2226,600,5916,818
08:58:00,100,404,762,100,101,108
09:00:00,400,100,1297,271,20,1100
09:02:00,100,100,1704,900,10,312
09:04:00,368,200,4765,100,300,54
09:06:00,97,1740,2762,100,600,754
09:08:00,30,35,6071,300,100,154
09:10:00,10,100,2033,100,1,175
09:12:00,1716,100,2931,2877,100,401
09:14:00,137,100,369,2,200,54
09:16:00,198,100,1045,100,400,54
09:18:00,1856,100,1,2471,100,64
09:20:00,450,105,101,800,300,56
09:22:00,973,700,600,1619,100,54
09:24:00,925,600,3116,350,10,197
09:26:00,2362,100,1552,2000,160,2218
09:28:00,55,10,361,115,265,384
09:30:00,300,100,528,601,200,1914
09:32:00,400,100,618,1264,100,54
09:34:00,2102,100,934,500,100,3264
09:36:00,125,100,2890,600,100,3756
09:38:00,2770,100,318,1354,100,257
09:40:00,222,100,1483,601,30,165
09:42:00,250,300,810,200,100,3651
09:44:00,125,100,3451,106,100,1701
09:46:00,612,100,8428,2154,2341,314
09:48:00,752,200,2098,261,443,155
09:50:00,324,300,1638,134,27,354
09:52:00,989,6402,2434,264,100,138
09:54:00,471,300,1606,400,145,54
09:56:00,396,204,894,773,100,3323
09:58:00,774,100,1150,715,66,1764
10:00:00,6319,500,408,554,100,384
10:02:00,1721,300,952,600,234,149
10:04:00,939,104,640,1000,200,140
10:06:00,1427,200,2427,227,6374,179
10:08:00,135,1,526,2,100,300
10:10:00,300,200,1709,301,100,172
10:12:00,316,200,801,658,150,400
10:14:00,1658,110,974,100,733,141
10:16:00,665,500,100,422,29,1534
10:18:00,2732,100,2089,500,210,240
10:20:00,651,32,2330,91,2300,317
10:22:00,881,50,100,9,166,408
10:24:00,1085,10,499,100,33,6375
10:26:00,429,3,606,2464,100,1161
10:28:00,2515,30,699,10,813,401
10:30:00,513,10,154,887,102,1400
10:32:00,1189,31,2685,1973,100,927
10:34:00,307,10,2276,100,67,74
10:36:00,776,200,1099,600,1001,119
10:38:00,608,100,291,300,919,4200
10:40:00,325,300,2325,729,1776,3449
10:42:00,1410,781,334,600,33,377
10:44:00,3475,32,1785,200,327,4777
10:46:00,325,20,6026,5227,10,2918
10:48:00,454,405,126,100,33,735
10:50:00,1430,100,1035,144,15187,156
10:52:00,275,100,1329,173,33,108
10:54:00,1852,10,505,1157,244,864
10:56:00,895,200,238,100,33,308
10:58:00,1143,100,2100,560,100,408
11:00:00,2153,100,1105,637,67,200
11:02:00,396,100,531,100,33,450
11:04:00,200,100,509,100,33,155
11:06:00,1220,100,317,100,1,287
11:08:00,700,10,285,100,133,230
11:10:00,100,66,1896,200,33,154
