Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,2320,2900,0,0
07:32:00,7,0,0,15,228,121
07:34:00,75,4,5,69,675,537
07:36:00,483,80,5,105,1311,100
07:38:00,180,12,5,643,1431,140
07:40:00,131,15,10,139,55,55
07:42:00,2377,3,187,933,240,363
07:44:00,50,3,145,155,55,545
07:46:00,1585,92,55,338,90,50
07:48:00,2063,26,245,1280,5,75
07:50:00,630,228,465,325,2467,50
07:52:00,736,48,100,85,315,225
07:54:00,900,233,526,585,91,307
07:56:00,2481,22,425,691,113,352
07:58:00,3281,100,305,38,130,110
08:00:00,2625,5,494,390,5,195
08:02:00,4178,50,349,1205,225,905
08:04:00,4004,2,175,235,974,160
08:06:00,677,1,225,361,167,160
08:08:00,3297,25,189,86,378,295
08:10:00,1794,79,719,2501,662,85
08:12:00,514,134,775,2731,164,125
08:14:00,1032,229,247,305,169,4579
08:16:00,1027,96,1159,782,317,695
08:18:00,7669,52,109,1569,151,3354
08:20:00,2652,81,257,3032,238,1490
08:22:00,1825,180,1910,498,359,276
08:24:00,2232,410,1279,524,63,376
08:26:00,1985,86,1013,815,417,469
08:28:00,1597,7,506,2044,172,533
08:30:00,1453,267,631,1081,245,3190
08:32:00,1854,34,355,777,210,1333
08:34:00,1164,308,388,253,1235,5670
08:36:00,1453,183,327,1122,180,846
08:38:00,2394,65,364,2335,117,1137
08:40:00,601,189,516,412,1328,1728
08:42:00,988,27,656,1322,1252,2086
08:44:00,1445,193,926,381,179,4121
08:46:00,1757,21,6501,751,222,2467
08:48:00,2261,109,897,248,229,629
08:50:00,513,136,786,804,1727,2091
08:52:00,3811,228,2053,3090,1851,1677
08:54:00,1223,1505,1017,1181,308,1335
08:56:00,887,21,1641,160,473,3732
08:58:00,1571,48,686,371,662,665
09:00:00,1380,170,688,204,543,1676
09:02:00,1159,5,509,823,750,1025
09:04:00,1325,59,422,265,676,1003
09:06:00,1678,130,752,402,110,782
09:08:00,1144,212,1315,730,211,375
09:10:00,2184,145,773,315,351,95
09:12:00,1029,159,743,1374,409,1079
09:14:00,1666,91,982,475,388,1683
09:16:00,1372,140,1363,1727,332,1029
09:18:00,2761,21,887,239,110,255
09:20:00,1172,60,548,482,1027,100
09:22:00,1218,138,318,700,372,375
09:24:00,984,10,840,220,410,526
09:26:00,886,43,2095,268,210,465
09:28:00,1440,139,556,80,295,243
09:30:00,1324,87,594,323,305,451
09:32:00,1704,399,1116,419,1626,2819
09:34:00,852,209,691,130,200,1048
09:36:00,1541,241,263,402,230,194
09:38:00,1112,231,1477,480,356,321
09:40:00,1277,246,989,1215,278,112
09:42:00,637,166,1275,511,339,301
09:44:00,1157,186,612,1013,588,2077
09:46:00,998,102,1275,579,310,680
09:48:00,1591,208,2770,545,329,729
09:50:00,955,119,2309,1241,136,1593
09:52:00,1120,1932,485,241,100,345
09:54:00,1179,1,572,151,309,397
09:56:00,812,5,678,684,126,218
09:58:00,162,430,1248,261,100,1017
10:00:00,1371,20,1369,550,205,784
10:02:00,995,4,2105,708,180,830
10:04:00,1035,1,205,580,261,411
10:06:00,1285,86,2537,479,283,333
10:08:00,954,90,885,547,194,174
10:10:00,4649,356,1082,400,185,4004
10:12:00,2451,385,901,612,220,300
10:14:00,1026,441,6231,530,170,260
10:16:00,6147,495,618,760,146,397
10:18:00,486,210,309,558,223,1313
10:20:00,398,277,611,658,190,724
10:22:00,3699,396,671,2395,1491,691
10:24:00,668,63,3021,336,210,285
10:26:00,1143,5,1116,506,275,285
10:28:00,578,53,5377,1707,552,593
10:30:00,1870,84,1253,860,1132,1558
10:32:00,490,131,1311,319,363,1106
10:34:00,585,219,1224,699,164,545
10:36:00,3419,318,1096,688,301,35
10:38:00,301,1207,761,695,145,421
10:40:00,2222,164,857,635,110,265
10:42:00,1156,35,977,2043,382,1509
10:44:00,824,84,796,800,199,488
10:46:00,3863,349,3338,409,115,841
10:48:00,1594,186,1487,1278,273,328
10:50:00,3029,35,1581,884,661,447
10:52:00,1341,42,845,562,443,10
10:54:00,15243,123,1356,1475,1828,336
10:56:00,4380,259,1045,1319,660,1036
10:58:00,3544,231,1581,787,347,543
11:00:00,4997,516,737,2294,25,55
11:02:00,748,590,438,575,160,553
11:04:00,242,307,197,558,130,260
11:06:00,2810,362,752,1058,120,85
11:08:00,2437,65,553,818,691,401
11:10:00,1090,90,2203,379,230,10
11:12:00,2431,77,794,1364,1612,648
11:14:00,686,222,1281,1525,213,3625
11:16:00,3243,185,2004,777,379,435
11:18:00,3963,169,505,404,684,520
11:20:00,1253,174,480,622,3497,679
11:22:00,2229,196,984,1357,559,280
11:24:00,5916,349,1145,649,2220,372
11:26:00,207,198,1319,3384,1298,238
11:28:00,243,158,846,4132,464,446
11:30:00,1251,218,803,988,548,428
11:32:00,1291,606,954,555,1241,572
11:34:00,1310,421,1377,1620,4888,2353
11:36:00,645,107,2171,3175,627,718
11:38:00,2166,108,3452,1518,2730,486
11:40:00,1876,432,3152,1155,4775,245
11:42:00,2156,228,3666,1057,3407,1900
11:44:00,716,99,1677,374,1063,1794
11:46:00,583,208,1633,1154,1384,25
11:48:00,707,192,3187,785,508,855
11:50:00,2369,191,2337,922,1444,620
11:52:00,2366,388,1894,1275,535,87
11:54:00,1008,906,1536,1063,457,3431
11:56:00,1878,461,5663,1725,2652,1882
11:58:00,2077,268,4148,415,452,15
12:00:00,420,85,1276,804,873,525
12:02:00,2761,123,1002,1275,429,2868
12:04:00,444,110,1532,1144,210,170
12:06:00,1739,360,1908,2366,370,614
12:08:00,1374,1179,3054,1574,1149,15
12:10:00,767,90,5482,770,1947,155
12:12:00,152,483,1528,1217,395,650
12:14:00,2149,92,697,1487,244,340
12:16:00,614,107,819,674,295,475
12:18:00,754,917,1894,507,55,3449
12:20:00,489,607,898,315,1302,366
12:22:00,3307,296,2021,498,621,1360
12:24:00,2363,1005,1290,1887,30,55
12:26:00,773,143,748,1980,359,75
12:28:00,3101,102,3260,327,167,360
12:30:00,1638,641,1239,810,240,235
12:32:00,2753,137,992,5168,312,3809
12:34:00,776,605,789,271,339,574
12:36:00,947,71,2508,1011,950,765
12:38:00,1175,163,967,5957,234,370
12:40:00,902,509,2035,2466,125,205
12:42:00,985,196,849,4033,135,1393
12:44:00,1674,781,970,2702,1396,5484
12:46:00,602,153,1877,1467,105,975
12:48:00,2854,637,4792,7325,330,275
12:50:00,419,716,1420,1178,111,497
12:52:00,896,195,636,2988,2576,15
12:54:00,1316,833,1688,1623,838,45
12:56:00,2366,115,858,1314,1020,215
12:58:00,1692,579,1044,1169,95,170
13:00:00,2701,459,1778,1349,205,90
13:02:00,1477,1728,1713,2453,687,234
13:04:00,1194,120,1622,1964,389,4461
13:06:00,2009,190,1210,3752,90,1573
13:08:00,2504,395,2002,2469,3281,355
13:10:00,1064,334,684,2038,11353,300
13:12:00,4781,562,1895,3472,1553,208
13:14:00,9397,243,2102,2754,905,2797
13:16:00,2169,331,1591,1797,2557,840
13:18:00,1743,287,1837,2728,389,1107
13:20:00,2165,150,1369,3485,1131,2701
13:22:00,4040,721,4714,2975,1115,1086
13:24:00,3214,207,2879,3683,805,735
13:26:00,1402,297,2417,2067,7956,835
13:28:00,2799,688,2338,1744,1202,926
13:30:00,2794,504,3581,747,408,2448
13:32:00,1220,149,3952,7128,326,2475
13:34:00,4194,254,2112,2390,679,1824
13:36:00,2151,666,4376,7303,1729,4116
13:38:00,5500,337,3264,17663,471,2065
13:40:00,685,718,5928,20844,1027,4989
13:42:00,4525,500,2795,12522,1222,2773
13:44:00,4444,1084,5637,22951,1290,2932
13:46:00,6498,1195,5331,25885,1561,3507
13:48:00,10437,745,6855,20799,4880,2152
13:50:00,3012,1777,3330,21752,1811,3219
13:52:00,4773,1221,5782,17740,1481,4434
13:54:00,4437,2200,13517,21952,2410,3625
13:56:00,7908,1525,5181,24057,2763,3896
13:58:00,4482,2373,6918,20854,2539,2865
14:00:00,3243,1088,4087,11639,2201,1207
