Hora Final,2023.05.26,2023.05.29,2023.05.30,2023.05.31,2023.06.01,2023.06.02
07:30:00,0,0,0,259,0,0
07:32:00,4632,390,1098,504,772,215
07:34:00,1915,100,400,1300,51,4000
07:36:00,4133,2400,4300,10423,12047,200
07:38:00,900,3400,1121,4195,1500,4800
07:40:00,4338,1100,3000,12500,100,3400
07:42:00,2201,3550,1661,6900,880,700
07:44:00,5253,6289,103,600,12210,9200
07:46:00,309,10,2876,1801,12759,24791
07:48:00,6940,2,8087,2700,5900,23722
07:50:00,11603,400,1619,7500,300,25133
07:52:00,814,1200,1351,1400,300,1500
07:54:00,6311,2100,250,1400,1140,15759
07:56:00,642,50,7409,900,10,341
07:58:00,81,1,2023,10569,420,5541
08:00:00,4131,450,10361,2397,200,7102
08:02:00,100,403,12436,3500,618,3100
08:04:00,9424,1203,100,5100,4210,951
08:06:00,4617,702,1885,2600,420,900
08:08:00,461,63,11800,1700,600,2701
08:10:00,828,348,5500,19481,400,2901
08:12:00,3050,1151,1322,3805,300,11362
08:14:00,417,30,10104,9300,2573,100
08:16:00,1488,22,7800,5933,4134,6001
08:18:00,300,912,2514,4500,500,1879
08:20:00,1531,518,3276,7664,2920,708
08:22:00,1913,1,3300,1200,300,361
08:24:00,7526,52,3358,5604,1820,753
08:26:00,3517,351,4948,5003,700,8095
08:28:00,998,1675,6043,2605,34203,3501
08:30:00,463,1,8934,1366,50525,12600
08:32:00,4103,101,4902,5273,1429,6682
08:34:00,438,1,9253,6557,5230,1681
08:36:00,319,631,8446,5675,16100,301
08:38:00,1119,273,10120,11864,1288,1361
08:40:00,2036,605,5500,6000,20900,1501
08:42:00,100,500,5604,5700,5764,463
08:44:00,838,200,4522,4900,2718,3641
08:46:00,4729,301,7257,1700,7920,1321
08:48:00,11174,1403,3336,1904,3145,4223
08:50:00,3611,37,23898,4100,4484,43042
08:52:00,2617,93,9394,2200,850,14741
08:54:00,21269,2956,24008,3900,4230,2989
08:56:00,557,100,33543,600,3420,215
08:58:00,796,5,8042,3222,300,721
09:00:00,4849,8900,11796,7183,347,2800
09:02:00,146,100,7188,2664,100,600
09:04:00,55,300,6858,3202,9327,1
09:06:00,6028,600,16040,1303,500,1600
09:08:00,1401,900,7303,8700,3000,9
09:10:00,119,1,7263,1100,625,200
09:12:00,300,2,9661,2202,200,9794
09:14:00,16288,103,10341,1600,1600,100
09:16:00,1900,5,11113,4658,6820,1000
09:18:00,225,122,1961,5123,201,400
09:20:00,1800,1,9669,5008,400,1203
09:22:00,1300,2,3859,2500,595,12
09:24:00,400,902,10791,3300,2,11511
09:26:00,2708,1001,6386,3971,706,803
09:28:00,672,503,6970,2700,500,975
09:30:00,800,2400,7640,5772,6131,400
09:32:00,915,2404,14286,3433,2900,2902
09:34:00,750,2,6448,2000,1788,200
09:36:00,4937,1,4025,7602,3804,100
09:38:00,6514,101,7114,500,18103,50
09:40:00,600,98,8954,2305,15085,1420
09:42:00,100,204,7751,12329,12761,2
09:44:00,600,3109,8500,3283,7097,402
09:46:00,1700,5,6584,3040,287,15493
09:48:00,9312,200,10564,4693,17990,1098
09:50:00,2832,1101,10457,1746,10090,2
09:52:00,100,400,3597,3370,6330,1
09:54:00,238,1301,4400,3688,5300,332
09:56:00,500,2200,5945,4852,6052,105
09:58:00,3900,400,11851,5582,300,95
10:00:00,1500,100,7793,2559,7243,205
10:02:00,1021,503,4725,1064,420,10
10:04:00,300,1,3537,2798,960,7892
10:06:00,5400,200,16564,6646,300,941
10:08:00,819,2,9065,9910,600,300
10:10:00,1599,5,4105,1394,300,350
10:12:00,2101,1,22359,2739,100,301
10:14:00,800,2,2106,3370,200,300
10:16:00,500,1,19705,1818,200,300
10:18:00,1000,400,5338,2784,300,200
10:20:00,1870,1001,21327,6186,100,296
10:22:00,8946,1810,5782,39437,500,104
10:24:00,800,1221,5765,4047,300,2
10:26:00,798,67,6951,4535,410,1198
10:28:00,70,101,4311,1169,601,300
10:30:00,1202,100,2909,10892,200,1100
10:32:00,1889,2,7161,3258,230,10000
10:34:00,799,202,9437,778,1500,4
10:36:00,4600,503,9617,3954,899,600
10:38:00,6054,505,6516,8106,634,400
10:40:00,2186,1,7536,1020,1003,2
10:42:00,2570,506,5110,2413,700,998
10:44:00,12806,115,4336,4444,302,1231
10:46:00,677,204,9926,1930,200,350
10:48:00,2600,301,2301,2683,1000,181
10:50:00,900,300,4758,4913,700,3474
10:52:00,1298,300,10837,4818,506,420
10:54:00,1500,2,14838,1371,400,383
10:56:00,500,501,8096,2804,1440,200
10:58:00,398,605,6051,10106,300,500
11:00:00,688,2197,10587,4668,400,3139
11:02:00,3819,411,2974,11584,300,300
11:04:00,303,3473,9077,960,145,1400
11:06:00,300,1,3201,71,1010,100
11:08:00,902,401,18417,3877,641,100
11:10:00,3602,102,8329,894,8686,200
11:12:00,6609,202,4579,1135,200,389
11:14:00,1300,100,7590,1199,420,1610
11:16:00,7600,100,4010,10506,400,500
11:18:00,1678,1103,7534,2197,15821,1500
11:20:00,5288,500,4934,15624,21231,1800
11:22:00,2650,600,6877,1658,1100,100
11:24:00,2500,405,5660,5600,600,1750
11:26:00,100,100,6041,2792,2700,500
11:28:00,2000,7291,7531,1058,200,19161
11:30:00,2477,1,5198,372,7102,200
11:32:00,5100,100,5168,859,5350,200
11:34:00,8358,600,17381,4480,10630,1420
11:36:00,200,303,16762,2940,7401,501
11:38:00,296,807,1962,1981,500,300
11:40:00,900,205,900,13877,1139,200
11:42:00,2507,1006,2030,872,5369,400
11:44:00,4132,900,2330,1738,700,100
11:46:00,1436,1500,7530,2178,21316,500
11:48:00,3039,901,13787,3748,2261,800
11:50:00,2025,3325,8150,726,1500,7064
11:52:00,1030,200,2620,526,28381,900
11:54:00,2900,300,4677,307,720,200
11:56:00,7577,200,5290,511,4953,1098
11:58:00,1118,500,30612,791,2734,600
12:00:00,5623,602,1830,1489,705,200
12:02:00,100,327,17486,8854,204,200
12:04:00,500,500,1979,5248,500,1700
12:06:00,4089,401,7759,2262,23153,401
12:08:00,198,400,6039,11725,6500,100
12:10:00,905,500,9865,4638,500,1819
12:12:00,2900,300,3765,876,9895,2602
12:14:00,2091,813,29403,8234,5650,1600
12:16:00,1731,4103,5459,18498,800,1200
12:18:00,100,601,3005,3031,6440,300
12:20:00,1757,200,5020,5183,1458,200
12:22:00,1600,100,4700,6278,500,2202
12:24:00,800,603,20449,3899,2280,9300
12:26:00,400,1109,12977,11503,2002,5
12:28:00,745,500,7099,6669,420,95
12:30:00,2700,200,9999,13634,802,100
12:32:00,5600,401,6834,2285,299,800
12:34:00,400,1315,2758,4946,37,1001
12:36:00,1400,343,14198,4503,406,1829
12:38:00,1300,601,11496,11276,700,1301
12:40:00,2000,200,17016,10186,400,400
12:42:00,16298,1902,3100,5042,8685,600
12:44:00,6457,1006,10085,3790,18383,100
12:46:00,6187,900,12902,16972,88802,600
12:48:00,3896,1004,17888,6048,40972,7323
12:50:00,1200,1001,1100,7118,167400,108
12:52:00,1036,4201,30111,12399,16518,800
12:54:00,746,474,3368,6274,10427,3127
12:56:00,5210,602,7192,10491,100,700
12:58:00,2022,506,6559,1739,6000,7000
13:00:00,1401,300,7167,8383,500,800
13:02:00,2100,2649,10586,8394,1000,213
13:04:00,2702,500,4700,3426,2560,2328
13:06:00,3100,98,15874,4358,1102,500
13:08:00,600,2323,9643,12505,13904,200
13:10:00,2907,380,24185,2212,700,403
13:12:00,9751,2000,10309,10690,3048,6600
13:14:00,1200,604,14177,11840,603,3000
13:16:00,190,1301,13460,7151,7662,2400
13:18:00,5977,3281,2790,16983,1200,5010
13:20:00,396,700,7304,4104,1400,6099
13:22:00,1102,1001,7642,12562,13068,4430
13:24:00,6290,1709,7604,6819,12205,9498
13:26:00,2640,1211,3603,6172,26835,1180
13:28:00,10917,604,19828,2904,1400,2063
13:30:00,7851,3030,13315,3360,1428,4806
13:32:00,10312,1200,22093,58960,1368,2000
13:34:00,400,2600,15424,55880,2400,11100
13:36:00,2816,2268,11454,91060,27366,1698
13:38:00,6587,3987,7830,83274,2065,10700
13:40:00,30905,5097,40512,84540,8929,20824
13:42:00,3017,1720,16948,96382,5100,7311
13:44:00,20679,6167,37785,162807,41741,24663
13:46:00,5225,3618,30885,137903,26615,8093
13:48:00,5123,2647,30349,89576,10849,10682
13:50:00,16713,8310,20825,114394,6738,6279
13:52:00,12814,4600,41361,125622,27014,14388
13:54:00,25358,2946,16813,220906,43965,10422
